idx,src1,src2,src1_sf,src2_sf
0,bˈalɡan,bˈalɡas,lɡ,lɡ
1,manutˈenɡa,manutjˈenen,nɡ,n
2,astɾinçˈimos,astɾˈinxas,nç,nx
3,konbensˈejs,konbˈenses,ns,ns
4,entenebɾˈese,entenebɾˈeskas,s,sk
5,sobɾekˈoxan,sobɾekˈoxa,x,x
6,bendˈise,bendiɡˈajs,s,ɡ
7,konbensˈajs,konbensˈamos,ns,ns
8,abastesˈejs,abastˈese,s,s
9,entenebɾesˈemos,entenebɾˈesko,s,sk
10,adusˈimos,adusˈis,s,s
11,ˈuɾxas,ˈuɾxa,ɾx,ɾx
12,konbˈensa,konbˈenso,ns,ns
13,estaɾsˈimos,estˈaɾsa,ɾs,ɾs
14,enkˈoçe,enkoxˈajs,ç,x
15,ˈuɾçes,uɾxˈajs,ɾç,ɾx
16,enkoxˈajs,enkoxˈamos,x,x
17,ˈuɾçen,uɾçˈis,ɾç,ɾç
18,estaɾsˈamos,estˈaɾsa,ɾs,ɾs
19,adoɾmesˈemos,adoɾmeskˈajs,s,sk
20,konbˈenses,konbensˈamos,ns,ns
21,bendiɡˈajs,bendˈiɡo,ɡ,ɡ
22,adoɾmesˈejs,adoɾmˈeskas,s,sk
23,ɾedˈises,ɾedˈiɡas,s,ɡ
24,ɾobustˈesen,ɾobustˈese,s,s
25,uɾçˈimos,uɾxˈamos,ɾç,ɾx
26,sostˈenɡan,sostˈenɡa,nɡ,nɡ
27,entenebɾesˈemos,entenebɾeskˈamos,s,sk
28,astɾˈinçe,astɾinxˈajs,nç,nx
29,adˈusen,adˈuska,s,sk
30,entenebɾesˈejs,entenebɾesˈemos,s,s
31,tɾadˈuskas,tɾadˈusko,sk,sk
32,ɾediɡˈajs,ɾedˈiɡan,ɡ,ɡ
33,tɾadˈuses,tɾadˈuse,s,s
34,ɾejmpˈonen,ɾejmponɡˈajs,n,nɡ
35,ɾedesˈis,ɾediɡˈamos,s,ɡ
36,pɾotˈeçen,pɾotˈexa,ç,x
37,uɾxˈamos,ˈuɾxas,ɾx,ɾx
38,enkˈoçen,enkˈoxa,ç,x
39,korixˈajs,korˈixo,x,x
40,sobɾekˈoçen,sobɾekˈoxan,ç,x
41,enkoçˈemos,enkˈoxa,ç,x
42,bendˈiɡas,bendˈiɡa,ɡ,ɡ
43,manutenˈemos,manutˈenɡan,n,nɡ
44,ɾejmpˈonen,ɾejmpˈonɡa,n,nɡ
45,bendˈiɡan,bendˈiɡas,ɡ,ɡ
46,ɾedesˈis,ɾedˈiɡa,s,ɡ
47,abastˈeses,abastˈeska,s,sk
48,ˈuɾçen,ˈuɾçes,ɾç,ɾç
49,ɾedesˈis,ɾedˈisen,s,s
50,ˈuɾçes,uɾçˈimos,ɾç,ɾç
51,ɾobusteskˈajs,ɾobusteskˈamos,sk,sk
52,ɾejmpˈone,ɾejmponɡˈamos,n,nɡ
53,ɾejmpˈonen,ɾejmpˈonɡo,n,nɡ
54,bendˈiɡa,bendˈiɡa,ɡ,ɡ
55,astɾˈinxa,astɾˈinxo,nx,nx
56,entenebɾˈeses,entenebɾeskˈamos,s,sk
57,pɾotexˈajs,pɾotˈexa,x,x
58,inteɾpˈone,inteɾpˈonɡan,n,nɡ
59,sobɾekˈoçe,sobɾekˈoxan,ç,x
60,pɾotˈeçen,pɾotˈexa,ç,x
61,pɾotexˈamos,pɾotˈexa,x,x
62,astɾˈinçen,astɾˈinxa,nç,nx
63,tɾadˈusen,tɾaduskˈajs,s,sk
64,abastˈeses,abastˈeskan,s,sk
65,manutjˈenen,manutjˈenes,n,n
66,pɾotˈexa,pɾotˈexo,x,x
67,ɾestableskˈamos,ɾestablˈeska,sk,sk
68,korixˈamos,korˈixas,x,x
69,enkaʃesˈejs,enkaʃeskˈajs,s,sk
70,entenebɾˈese,entenebɾˈeskas,s,sk
71,konbˈenses,konbˈensan,ns,ns
72,sostˈenɡo,sostjˈenen,nɡ,n
73,ɾejmpˈones,ɾejmpˈonɡas,n,nɡ
74,enkoçˈejs,enkˈoxo,ç,x
75,korˈiçen,korixˈamos,ç,x
76,inteɾponˈejs,inteɾpˈonɡas,n,nɡ
77,manutˈenɡa,manutjˈenes,nɡ,n
78,ˈuɾçe,ˈuɾxas,ɾç,ɾx
79,sobɾekoçˈejs,sobɾekoçˈemos,ç,ç
