idx,src1,src2,src1_sf,src2_sf
0,ɡwaɾnesˈemos,ɡwaɾnˈesko,s,sk
1,konflˈixan,konflˈixa,x,x
2,antepˈonen,antepˈone,n,n
3,konflˈiçe,konflixˈamos,ç,x
4,empobɾesˈejs,empobɾeskˈajs,s,sk
5,peɾtenˈeses,peɾtenˈesko,s,sk
6,enkaɾeskˈajs,enkaɾˈeskas,sk,sk
7,intɾoduskˈajs,intɾodˈuskas,sk,sk
8,kontenɡˈamos,kontˈenɡa,nɡ,nɡ
9,tɾasponˈejs,tɾaspˈones,n,n
10,aɡɾadˈeskan,aɡɾadˈeska,sk,sk
11,pɾobˈenɡa,pɾobjˈenes,nɡ,n
12,enkaɾeskˈamos,enkaɾˈeska,sk,sk
13,supˈones,suponɡˈajs,n,nɡ
14,embɾutˈeses,embɾutˈese,s,s
15,ataɾdesˈemos,ataɾdˈesko,s,sk
16,enlokˈesen,enlokˈeskas,s,sk
17,inbˈenɡan,inbjˈenen,nɡ,n
18,ɾobusteskˈamos,ɾobustˈeskan,sk,sk
19,pɾekonosˈejs,pɾekonˈoska,s,sk
20,abastesˈejs,abastˈeskan,s,sk
21,enɾoxesˈemos,enɾoxˈeska,s,sk
22,ɾetenɡˈajs,ɾetjˈenen,nɡ,n
23,enkaʃeskˈamos,enkaʃˈeskan,sk,sk
24,abastesˈemos,abastˈesko,s,sk
25,ɾekonduskˈajs,ɾekondˈuska,sk,sk
26,konbenɡˈamos,konbˈenɡas,nɡ,nɡ
27,despɾotˈexan,despɾotˈexa,x,x
28,ɾekomponɡˈajs,ɾekompˈonɡan,nɡ,nɡ
29,apaɾˈeska,apaɾˈesko,sk,sk
30,kˈoçes,kˈoxas,ç,x
31,eskaɾnesˈejs,eskaɾnˈeska,s,sk
32,obskuɾˈese,obskuɾˈeskas,s,sk
33,ɾobustˈeses,ɾobusteskˈamos,s,sk
34,pɾekonˈosen,pɾekonˈose,s,s
35,atɾˈae,atɾˈajɡa,,jɡ
36,neɡɾeskˈajs,neɡɾˈeskan,sk,sk
37,desɡwaɾnesˈejs,desɡwaɾneskˈajs,s,sk
38,ˈuɾçes,ˈuɾçe,ɾç,ɾç
39,enkaɾˈeses,enkaɾˈeska,s,sk
40,ɾekonbenɡˈajs,ɾekonbenˈis,nɡ,n
41,establˈeskan,establˈesko,sk,sk
42,komponɡˈamos,kompˈonɡas,nɡ,nɡ
43,kontˈenɡan,kontˈenɡa,nɡ,nɡ
44,enlˈuska,enlˈusko,sk,sk
45,faʃˈeses,faʃˈeskan,s,sk
46,establesˈemos,establˈese,s,s
47,ennoblesˈejs,ennoblˈesko,s,sk
48,pɾebaleskˈajs,pɾebalˈeska,sk,sk
49,meɾˈesen,meɾˈeskan,s,sk
50,neɡlixˈamos,neɡlˈixo,x,x
51,enlentˈeses,enlentˈeskan,s,sk
52,enkaʃˈese,enkaʃeskˈajs,s,sk
53,apetˈese,apetˈesko,s,sk
54,abstˈeɾçen,abstˈeɾxas,ɾç,ɾx
55,eliçˈis,elixˈajs,ç,x
56,enɾikesˈejs,enɾikˈeses,s,s
57,ɾekonbenɡˈajs,ɾekonbˈenɡan,nɡ,nɡ
58,manutenɡˈamos,manutjˈenes,nɡ,n
59,adolˈese,adolˈeska,s,sk
60,suponˈemos,supˈonen,n,n
61,pɾeestableskˈajs,pɾeestableskˈamos,sk,sk
62,akɾˈesen,akɾˈese,s,s
63,apaɾˈeses,apaɾeskˈajs,s,sk
64,komplˈaskas,komplˈaska,sk,sk
65,kaˈejs,kˈae,,
66,suponɡˈajs,supˈonɡas,nɡ,nɡ
67,enaɾdeskˈajs,enaɾdˈeska,sk,sk
68,enmudˈeskas,enmudˈeska,sk,sk
69,enaɾdˈesen,enaɾdeskˈamos,s,sk
70,akɾesˈejs,akɾˈesen,s,s
71,deskosˈajs,deskˈosas,s,s
72,apeteskˈajs,apetˈeska,sk,sk
73,pɾebaleskˈajs,pɾebaleskˈamos,sk,sk
74,akoxˈamos,akˈoxas,x,x
75,meɾesˈemos,meɾˈeskas,s,sk
76,ɾepˈonɡa,ɾepˈonɡo,nɡ,nɡ
77,enlentˈeska,enlentˈeska,sk,sk
78,ɾelusˈimos,ɾelˈusko,s,sk
79,enkˈoçe,enkˈoxas,ç,x
80,desaɡɾadesˈemos,desaɡɾadˈeses,s,s
81,entɾetenˈemos,entɾetjˈenes,n,n
82,ɾebeɾdeskˈamos,ɾebeɾdˈeska,sk,sk
83,detɾaˈemos,detɾˈajɡa,,jɡ
84,enɾoxeskˈajs,enɾoxˈeska,sk,sk
85,foɾtaleskˈamos,foɾtalˈeska,sk,sk
86,aɡɾadeskˈajs,aɡɾadeskˈamos,sk,sk
87,enmudesˈemos,enmudˈese,s,s
88,balbuskˈajs,balbˈuska,sk,sk
89,despɾotˈeçen,despɾotˈeçe,ç,ç
90,adbˈenɡa,adbenˈis,nɡ,n
91,obedesˈemos,obedˈesko,s,sk
92,aɡɾadeskˈajs,aɡɾadˈesko,sk,sk
93,adbenɡˈamos,adbˈenɡa,nɡ,nɡ
94,deskˈosa,deskosˈemos,s,s
95,adbenˈimos,adbjˈenes,n,n
96,eskaɾnˈeskas,eskaɾnˈesko,sk,sk
97,balbˈuses,balbuskˈamos,s,sk
98,padesˈemos,padˈesen,s,s
99,tɾadusˈis,tɾaduskˈajs,s,sk
100,ʃˈaska,ʃˈaska,sk,sk
101,ɡwaɾnesˈejs,ɡwaɾneskˈamos,s,sk
102,absteɾçˈejs,absteɾçˈemos,ɾç,ɾç
103,kˈae,kˈajɡo,,jɡ
104,emˈulçen,emˈulçes,lç,lç
105,enmoeskˈajs,enmoˈeskan,sk,sk
106,ɾobusteskˈamos,ɾobustˈesko,sk,sk
107,asˈemos,ˈaɡas,s,ɡ
108,enduɾesˈejs,enduɾˈesen,s,s
109,ɡwaɾnesˈemos,ɡwaɾneskˈamos,s,sk
110,anoʧˈeska,anoʧˈeska,sk,sk
111,pɾekonˈose,pɾekonˈoska,s,sk
112,konflˈiçen,konflˈixa,ç,x
113,pɾebalˈeskas,pɾebalˈeska,sk,sk
114,enflakesˈejs,enflakeskˈajs,s,sk
115,entɾetenˈejs,entɾetenɡˈajs,n,nɡ
116,ɾefulxˈamos,ɾefˈulxo,lx,lx
117,ɾeluskˈajs,ɾelˈuskas,sk,sk
118,ɾekondˈuses,ɾekondusˈimos,s,s
119,foɾtaleskˈamos,foɾtalˈesko,sk,sk
120,korˈixa,korˈixa,x,x
121,faboɾˈeskan,faboɾˈeskas,sk,sk
122,akoçˈejs,akˈoxo,ç,x
123,anoʧˈeskas,anoʧˈesko,sk,sk
124,fɾˈanxas,fɾˈanxo,nx,nx
125,intɾodˈusen,intɾoduskˈamos,s,sk
126,padˈesen,padˈese,s,s
127,ɾediɾˈiçen,ɾediɾˈixan,ç,x
128,akˈoxan,akˈoxas,x,x
129,neɡliçˈis,neɡlixˈamos,ç,x
130,obedesˈemos,obedˈeskas,s,sk
131,padˈeses,padˈeskas,s,sk
132,inteɾpˈonɡan,inteɾpˈonɡas,nɡ,nɡ
133,ɾeelˈiçes,ɾeelˈiçe,ç,ç
134,empobɾˈeskas,empobɾˈesko,sk,sk
135,emˈulçen,emˈulçes,lç,lç
136,ɾebenɡˈamos,ɾebjˈenen,nɡ,n
137,fɾunsˈajs,fɾunsˈamos,ns,ns
138,ɾekonˈose,ɾekonˈoska,s,sk
139,ɾestableskˈajs,ɾestablˈeskan,sk,sk
140,enkaɾesˈejs,enkaɾˈesko,s,sk
141,ɾelusˈis,ɾelˈuskan,s,sk
142,apeteskˈajs,apetˈeska,sk,sk
143,fɾˈançen,fɾˈançe,nç,nç
144,intɾodˈusen,intɾodˈuska,s,sk
145,asˈejs,ˈaɡa,s,ɡ
146,unçˈis,ˈunxan,nç,nx
147,kˈosas,kˈoses,s,s
148,desɡwaɾnesˈejs,desɡwaɾneskˈamos,s,sk
149,fɾˈunsen,fɾˈunse,ns,ns
150,faboɾesˈemos,faboɾeskˈajs,s,sk
151,ɾebˈenɡas,ɾebenˈimos,nɡ,n
152,manutˈenɡan,manutjˈenen,nɡ,n
153,enɾoxesˈemos,enɾoxˈese,s,s
154,enaɾdˈesen,enaɾdˈesko,s,sk
155,kompˈonɡan,kompˈonɡa,nɡ,nɡ
156,eskaɾnˈeses,eskaɾneskˈamos,s,sk
157,sˈalɡo,salˈis,lɡ,l
158,ensombɾesˈejs,ensombɾˈesen,s,s
159,tɾaspˈonɡan,tɾaspˈonɡas,nɡ,nɡ
160,enaɾdeskˈajs,enaɾdeskˈamos,sk,sk
161,ɾekonosˈemos,ɾekonˈoska,s,sk
162,enlokesˈemos,enlokˈesko,s,sk
163,obedeskˈajs,obedeskˈamos,sk,sk
164,obskuɾeskˈamos,obskuɾˈeska,sk,sk
165,enaɾdˈeskan,enaɾdˈeska,sk,sk
166,akˈoçen,akˈoxas,ç,x
167,areskˈajs,arˈesko,sk,sk
168,koreçˈimos,korˈixa,ç,x
169,akoxˈamos,akˈoxas,x,x
170,apetesˈemos,apetˈeskas,s,sk
171,kosˈejs,kˈosen,s,s
172,entɾetenˈemos,entɾetˈenɡa,n,nɡ
173,enflakˈeskan,enflakˈeska,sk,sk
174,faʃˈeska,faʃˈesko,sk,sk
175,ɾestablˈesen,ɾestablˈesko,s,sk
176,enɾoxˈesen,enɾoxˈesko,s,sk
177,enkaʃeskˈamos,enkaʃˈeska,sk,sk
178,abasteskˈamos,abastˈeskas,sk,sk
179,faboɾeskˈajs,faboɾˈeskas,sk,sk
180,ɾefˈulxan,ɾefˈulxo,lx,lx
181,ɾekomponɡˈamos,ɾekompˈonɡas,nɡ,nɡ
182,enɾikeskˈamos,enɾikˈeska,sk,sk
183,emˈulxas,emˈulxo,lx,lx
184,manutˈenɡan,manutˈenɡa,nɡ,nɡ
185,kˈosen,kˈoses,s,s
186,enlˈuses,enlˈuska,s,sk
187,pɾedˈisen,pɾedˈises,s,s
188,desasɡˈajs,desˈasɡa,sɡ,sɡ
189,elˈiçen,elˈiçe,ç,ç
190,ekstɾaˈemos,ekstɾˈajɡo,,jɡ
191,ɾestableskˈamos,ɾestablˈesko,sk,sk
192,ɾekomponˈejs,ɾekompˈonɡa,n,nɡ
193,supeɾponˈemos,supeɾpˈonen,n,n
194,kˈoçen,kˈoxo,ç,x
195,manutˈenɡa,manutjˈenes,nɡ,n
196,enaɾdˈesen,enaɾdeskˈajs,s,sk
197,intɾodusˈimos,intɾodˈuskan,s,sk
198,faboɾeskˈamos,faboɾˈeskas,sk,sk
199,fɾanxˈamos,fɾˈanxas,nx,nx
200,foɾtalesˈemos,foɾtalˈeska,s,sk
201,enlokesˈemos,enlokeskˈamos,s,sk
202,ɾobustesˈemos,ɾobustˈesen,s,s
203,inbenɡˈamos,inbenˈis,nɡ,n
204,enduɾˈese,enduɾˈeskan,s,sk
205,ɾepˈonen,ɾepˈone,n,n
206,detɾˈaen,detɾˈae,,
207,obskuɾesˈejs,obskuɾˈeskas,s,sk
208,ɾelˈuse,ɾeluskˈamos,s,sk
209,suponˈemos,suponɡˈamos,n,nɡ
210,emˈulçen,emˈulxo,lç,lx
211,detɾajɡˈajs,detɾajɡˈamos,jɡ,jɡ
212,deskonoskˈamos,deskonˈosko,sk,sk
213,ensombɾˈeses,ensombɾˈeskas,s,sk
214,intɾodˈuskan,intɾodˈuska,sk,sk
215,enɾikˈeses,enɾikˈesko,s,sk
216,enkoçˈejs,enkˈoxa,ç,x
217,anoʧeskˈajs,anoʧˈeska,sk,sk
218,ɾestablesˈejs,ɾestablˈeska,s,sk
219,akɾˈeskan,akɾˈeskas,sk,sk
220,ɾediɾiçˈimos,ɾediɾˈixa,ç,x
221,ɾetɾadˈuskan,ɾetɾadˈuska,sk,sk
222,ataɾdeskˈajs,ataɾdˈesko,sk,sk
223,ɾelˈuse,ɾelˈuska,s,sk
