idx,src1,src2,src1_sf,src2_sf
0,embeʃˈese,embeʃˈeska,s,sk
1,deɾelinkˈajs,deɾelˈinke,nk,nk
2,disponˈejs,dispˈonɡo,n,nɡ
3,balbuskˈajs,balbˈuska,sk,sk
4,inflixˈajs,inflˈixa,x,x
5,delˈinken,delinkˈis,nk,nk
6,supeɾbˈenɡan,supeɾbˈenɡa,nɡ,nɡ
7,empodɾˈeses,empodɾˈeska,s,sk
8,peɾtenesˈemos,peɾtenˈeska,s,sk
9,fɾançˈis,fɾˈanxa,nç,nx
10,enkaneskˈajs,enkanˈeska,sk,sk
11,enoɾɡuʃˈeses,enoɾɡuʃˈeskan,s,sk
12,ɾekompˈone,ɾekompˈonɡan,n,nɡ
13,intɾodˈuse,intɾodˈuskan,s,sk
14,apetesˈemos,apetˈeskas,s,sk
15,mulçˈemos,mˈulçes,lç,lç
16,enɾikeskˈamos,enɾikˈeska,sk,sk
17,ɾepˈonɡas,ɾepˈonɡa,nɡ,nɡ
18,padˈeses,padˈesko,s,sk
19,konbaleskˈamos,konbalˈeska,sk,sk
20,ekibalˈejs,ekibˈalɡa,l,lɡ
21,ɾetoɾsˈemos,ɾetoɾsˈajs,ɾs,ɾs
22,mˈuxas,mˈuxo,x,x
23,mˈaɾsen,maɾsˈis,ɾs,ɾs
24,empalidesˈejs,empalidˈeska,s,sk
25,bˈale,bˈalɡan,l,lɡ
26,sobɾepˈonen,sobɾeponɡˈamos,n,nɡ
27,eskaɾnesˈejs,eskaɾnˈesko,s,sk
28,pɾodˈuses,pɾodˈuskan,s,sk
29,entɾebenɡˈamos,entɾebˈenɡa,nɡ,nɡ
30,entoɾpeskˈamos,entoɾpˈesko,sk,sk
31,obskuɾesˈejs,obskuɾˈeskas,s,sk
32,umedˈeses,umedˈeskan,s,sk
33,ɾeelˈiçes,ɾeelˈixa,ç,x
34,desˈases,desˈaɡa,s,ɡ
35,ɾetɾaˈejs,ɾetɾˈae,,
36,konbensˈemos,konbˈensan,ns,ns
37,ʃukstaponˈejs,ʃukstapˈone,n,n
38,induskˈamos,indˈuska,sk,sk
39,emˈunxa,emˈunxa,nx,nx
40,kolˈiçes,kolixˈajs,ç,x
41,indˈuse,indˈuskan,s,sk
42,enkaɾeskˈajs,enkaɾˈesko,sk,sk
43,aɡɾadeskˈamos,aɡɾadˈeskan,sk,sk
44,ɾˈuxan,ɾˈuxa,x,x
