idx,src1,src2,src1_sf,src2_sf
0,emˈeɾçe,emˈeɾxa,ɾç,ɾx
1,ɾeabastˈeska,ɾeabastˈesko,sk,sk
2,ɾetɾotɾˈajɡa,ɾetɾotɾˈajɡo,jɡ,jɡ
3,neɡɾesˈejs,neɡɾˈeskas,s,sk
4,ɾetɾaduskˈamos,ɾetɾadˈuskas,sk,sk
5,ɾelusˈimos,ɾelˈuskas,s,sk
6,emˈeɾçen,emeɾxˈajs,ɾç,ɾx
7,enalteskˈajs,enaltˈeska,sk,sk
8,emeɾxˈajs,emeɾxˈamos,ɾx,ɾx
9,tɾaduskˈajs,tɾaduskˈamos,sk,sk
10,ɾetɾotɾˈaen,ɾetɾotɾajɡˈajs,,jɡ
11,enduɾeskˈamos,enduɾˈeskas,sk,sk
12,afliçˈis,aflˈixa,ç,x
13,ɾetɾotɾaˈejs,ɾetɾotɾˈaes,,
14,entɾetˈenɡas,entɾetˈenɡo,nɡ,nɡ
15,tɾadusˈimos,tɾadˈuskan,s,sk
16,astɾinçˈis,astɾinxˈajs,nç,nx
17,enaltˈesen,enaltˈeska,s,sk
18,pɾobˈenɡan,pɾobˈenɡa,nɡ,nɡ
19,kodiɾˈiçen,kodiɾˈiçes,ç,ç
20,entɾetˈenɡo,entɾetjˈene,nɡ,n
21,emˈeɾçes,emeɾxˈamos,ɾç,ɾx
22,afliçˈis,aflˈixas,ç,x
23,pɾobjˈenes,pɾobjˈene,n,n
24,ɾelˈuses,ɾelˈuse,s,s
25,pɾobˈenɡa,pɾobjˈenen,nɡ,n
26,ɾetɾadˈuse,ɾetɾadusˈis,s,s
27,enlokˈesen,enlokˈeska,s,sk
28,enduɾesˈejs,enduɾˈesen,s,s
29,distɾaˈemos,distɾˈajɡa,,jɡ
30,pɾobenɡˈamos,pɾobjˈenen,nɡ,n
31,enlokˈese,enlokˈeska,s,sk
32,pɾobˈenɡa,pɾobenˈimos,nɡ,n
33,ɾeabastˈeses,ɾeabasteskˈamos,s,sk
34,ɾetɾadˈusen,ɾetɾadˈuskan,s,sk
35,enaltesˈemos,enaltˈese,s,s
36,enaltesˈejs,enaltesˈemos,s,s
37,aflˈiçen,afliçˈis,ç,ç
38,pɾekonoskˈamos,pɾekonˈoskas,sk,sk
39,emeɾxˈajs,emˈeɾxan,ɾx,ɾx
40,ɾeapaɾˈeses,ɾeapaɾˈeskas,s,sk
41,enfebɾeskˈajs,enfebɾˈeskas,sk,sk
