idx,src1,src2,src1_sf,src2_sf
0,ɾekonoskˈajs,ɾekonˈoskan,sk,sk
1,konflixˈamos,konflˈixa,x,x
2,ɾekˈajɡan,ɾekˈajɡo,jɡ,jɡ
3,peɾˈeses,peɾˈeska,s,sk
4,ɡwaɾnˈeses,ɡwaɾnˈeska,s,sk
5,ɾekondusˈis,ɾekondˈuska,s,sk
6,konbalˈese,konbalˈeskas,s,sk
7,kaɾesˈejs,kaɾˈeses,s,s
8,sobɾepˈonɡan,sobɾepˈonɡa,nɡ,nɡ
9,ɾejmpˈone,ɾejmpˈonɡo,n,nɡ
10,inteɾdˈiɡas,inteɾdˈiɡa,ɡ,ɡ
11,sedˈusen,sedˈuskan,s,sk
12,esklaɾˈese,esklaɾeskˈajs,s,sk
13,adbenɡˈajs,adbˈenɡo,nɡ,nɡ
14,tɾansiçˈimos,tɾansixˈajs,ç,x
15,faboɾesˈemos,faboɾˈeska,s,sk
16,embɾuteskˈajs,embɾutˈeska,sk,sk
17,xˈakan,xˈaka,k,k
18,entumesˈemos,entumˈesko,s,sk
19,sobɾebˈenɡo,sobɾebjˈene,nɡ,n
20,mulsˈajs,mˈulsa,ls,ls
21,kaˈemos,kajɡˈamos,,jɡ
22,ɾestableskˈajs,ɾestablˈeska,sk,sk
23,desdesˈis,desdˈise,s,s
24,ɡwaɾˈeses,ɡwaɾˈeskas,s,sk
25,desdˈiɡa,desdˈiɡo,ɡ,ɡ
26,fɾunsˈimos,fɾunsˈajs,ns,ns
27,pɾodˈusen,pɾodˈuskas,s,sk
28,konfliçˈimos,konflˈixa,ç,x
29,konbeɾçˈis,konbˈeɾxan,ɾç,ɾx
30,ˈases,ˈaɡan,s,ɡ
31,abˈenɡa,abenˈimos,nɡ,n
32,sedusˈimos,seduskˈamos,s,sk
33,indispˈones,indispˈone,n,n
34,kondˈises,kondˈiɡas,s,ɡ
35,sˈuɾxas,sˈuɾxo,ɾx,ɾx
36,pˈunçen,pˈunxan,nç,nx
37,desɡwaɾnˈeses,desɡwaɾnˈesko,s,sk
38,kaɾesˈemos,kaɾeskˈamos,s,sk
39,kompˈonɡan,kompˈonɡa,nɡ,nɡ
40,aresˈis,areskˈamos,s,sk
41,indisponˈemos,indisponɡˈajs,n,nɡ
42,dispˈone,dispˈonɡan,n,nɡ
43,umedesˈemos,umedˈeska,s,sk
44,infɾinçˈis,infɾinxˈajs,nç,nx
45,ɾekwˈese,ɾekwˈesa,s,s
46,enkaɾˈesen,enkaɾˈeska,s,sk
