idx,src1,src2,src1_sf,src2_sf
0,ɾeabastˈeska,ɾeabastˈeska,sk,sk
1,ɾetɾotɾˈaes,ɾetɾotɾˈajɡan,,jɡ
2,distɾˈaen,distɾˈajɡa,,jɡ
3,enaltˈese,enaltˈeskas,s,sk
4,enduɾeskˈajs,enduɾˈeskas,sk,sk
5,pɾekonˈosen,pɾekonoskˈamos,s,sk
6,pɾobˈenɡas,pɾobenˈimos,nɡ,n
7,kodiɾˈixa,kodiɾˈixo,x,x
8,enlokˈeses,enlokˈeskas,s,sk
9,distɾaˈemos,distɾˈajɡo,,jɡ
10,ɾeabastˈeses,ɾeabastˈesko,s,sk
11,ɾelˈusen,ɾelˈuskan,s,sk
12,pɾeestableskˈamos,pɾeestablˈeskan,sk,sk
13,pɾobˈenɡo,pɾobjˈenes,nɡ,n
14,enlokˈese,enlokeskˈamos,s,sk
15,aflixˈamos,aflˈixa,x,x
16,aflˈiçes,aflˈixa,ç,x
17,entɾetˈenɡan,entɾetjˈenen,nɡ,n
18,ɾestablˈese,ɾestablˈeska,s,sk
19,neɡɾˈeskan,neɡɾˈesko,sk,sk
20,emeɾxˈamos,emˈeɾxas,ɾx,ɾx
21,ɾeluskˈamos,ɾelˈuska,sk,sk
22,neɡɾeskˈajs,neɡɾˈesko,sk,sk
23,ɾeabasteskˈamos,ɾeabastˈeskas,sk,sk
24,kodiɾˈixas,kodiɾˈixo,x,x
25,kodiɾˈixa,kodiɾˈixo,x,x
26,enduɾˈesen,enduɾˈeskan,s,sk
27,tɾadusˈimos,tɾaduskˈamos,s,sk
28,entɾetenɡˈajs,entɾetenɡˈamos,nɡ,nɡ
29,astɾinçˈimos,astɾˈinxo,nç,nx
30,tɾadusˈis,tɾadˈuskan,s,sk
31,ɾestablesˈemos,ɾestablˈeskas,s,sk
32,enfebɾeskˈajs,enfebɾˈeska,sk,sk
33,enaltˈeses,enaltˈeskan,s,sk
34,entɾetenˈemos,entɾetjˈene,n,n
35,ɾelusˈis,ɾelˈuskas,s,sk
36,pɾeestablesˈemos,pɾeestablˈesko,s,sk
37,asɡˈajs,ˈasɡas,sɡ,sɡ
38,ɾetɾotɾˈajɡas,ɾetɾotɾˈajɡa,jɡ,jɡ
39,entɾetˈenɡo,entɾetjˈene,nɡ,n
40,ɾestablˈesen,ɾestablˈese,s,s
41,enaltesˈejs,enaltˈesko,s,sk
42,pɾekonˈose,pɾekonoskˈamos,s,sk
43,enfebɾˈeses,enfebɾˈese,s,s
44,astɾˈinçes,astɾinçˈis,nç,nç
45,emeɾçˈejs,emˈeɾxas,ɾç,ɾx
46,entɾetenɡˈamos,entɾetjˈene,nɡ,n
47,enlokˈesen,enlokeskˈamos,s,sk
48,ɾelusˈimos,ɾelˈuskas,s,sk
49,enalteskˈamos,enaltˈeskas,sk,sk
50,tɾadusˈis,tɾaduskˈajs,s,sk
51,kˈaes,kˈajɡan,,jɡ
52,kaˈejs,kˈaes,,
53,ɾetɾadˈuse,ɾetɾadˈusko,s,sk
54,enaltesˈejs,enalteskˈajs,s,sk
55,ɾeabastˈeses,ɾeabasteskˈamos,s,sk
56,entɾetenɡˈamos,entɾetˈenɡa,nɡ,nɡ
57,enfebɾˈeses,enfebɾˈeskas,s,sk
58,ɾelˈuse,ɾelˈusko,s,sk
59,kˈaen,kajɡˈajs,,jɡ
