idx,src1,src2,src1_sf,src2_sf
0,entenebɾesˈemos,entenebɾˈeska,s,sk
1,estaɾsˈajs,estˈaɾsa,ɾs,ɾs
2,abastesˈejs,abastˈesko,s,sk
3,pɾotˈexa,pɾotˈexa,x,x
4,ɾejmpˈones,ɾejmpˈonɡan,n,nɡ
5,astɾinçˈis,astɾˈinxa,nç,nx
6,pɾoteçˈemos,pɾotˈexas,ç,x
7,ˈuɾxa,ˈuɾxa,ɾx,ɾx
8,estaɾsˈis,estˈaɾsa,ɾs,ɾs
9,ɾedesˈis,ɾedˈiɡo,s,ɡ
10,ɾestablˈese,ɾestablˈeskas,s,sk
11,inteɾponˈejs,inteɾpˈones,n,n
12,estaɾsˈajs,estˈaɾsan,ɾs,ɾs
13,ˈuɾçe,uɾçˈimos,ɾç,ɾç
14,inteɾponˈejs,inteɾpˈonɡa,n,nɡ
15,ɾestablˈesen,ɾestablˈeses,s,s
16,adˈusen,adˈuskan,s,sk
17,sobɾekˈoxa,sobɾekˈoxa,x,x
18,adoɾmesˈejs,adoɾmeskˈamos,s,sk
19,ɾejmpˈonen,ɾejmponɡˈajs,n,nɡ
20,koreçˈimos,korˈixa,ç,x
21,astɾˈinçes,astɾˈinxa,nç,nx
22,enkoçˈejs,enkoçˈemos,ç,ç
23,koreçˈimos,koreçˈis,ç,ç
24,ɾedˈisen,ɾediɡˈajs,s,ɡ
25,adoɾmesˈemos,adoɾmˈeska,s,sk
26,ˈuɾçes,uɾxˈajs,ɾç,ɾx
27,estˈaɾsas,estˈaɾsa,ɾs,ɾs
28,abasteskˈajs,abastˈeskas,sk,sk
29,astɾˈinçe,astɾˈinxa,nç,nx
30,astɾˈinçen,astɾinçˈis,nç,nç
31,ɾestablˈesen,ɾestablˈeskas,s,sk
32,korˈiçes,korixˈamos,ç,x
33,inteɾponˈemos,inteɾpˈonɡo,n,nɡ
34,abastesˈemos,abastˈeskas,s,sk
35,tɾaduskˈajs,tɾaduskˈamos,sk,sk
36,aduskˈamos,adˈusko,sk,sk
37,ɾedˈisen,ɾedˈiɡa,s,ɡ
38,enkoçˈemos,enkˈoxa,ç,x
39,enkaʃeskˈajs,enkaʃeskˈamos,sk,sk
40,ɾestablˈesen,ɾestablˈeska,s,sk
41,korˈiçe,korˈixa,ç,x
42,inteɾpˈonɡan,inteɾpˈonɡo,nɡ,nɡ
43,bendesˈimos,bendˈiɡas,s,ɡ
44,konbˈensan,konbˈenso,ns,ns
45,estˈaɾses,estaɾsˈamos,ɾs,ɾs
46,bendesˈimos,bendesˈis,s,s
47,entenebɾesˈejs,entenebɾˈeskas,s,sk
48,ˈuɾçen,ˈuɾçe,ɾç,ɾç
49,enkoçˈemos,enkˈoxo,ç,x
50,konbˈense,konbensˈajs,ns,ns
51,adusˈimos,adˈuskas,s,sk
52,sobɾekoxˈamos,sobɾekˈoxa,x,x
53,enkˈoçen,enkoxˈajs,ç,x
54,ɾediɡˈajs,ɾedˈiɡas,ɡ,ɡ
55,abastˈese,abasteskˈajs,s,sk
56,sostˈenɡas,sostjˈenen,nɡ,n
57,ɾobustesˈemos,ɾobustˈese,s,s
58,adˈuska,adˈusko,sk,sk
59,ɾobusteskˈamos,ɾobustˈeska,sk,sk
60,ˈuɾçen,ˈuɾxa,ɾç,ɾx
61,korˈiçe,korˈixa,ç,x
62,ɾobustesˈejs,ɾobustˈeses,s,s
63,adoɾmesˈemos,adoɾmˈese,s,s
64,enkaʃesˈemos,enkaʃeskˈamos,s,sk
65,sobɾekˈoçe,sobɾekoxˈajs,ç,x
66,adoɾmesˈejs,adoɾmeskˈamos,s,sk
67,ˈuɾçen,ˈuɾxas,ɾç,ɾx
68,bˈale,bˈalɡa,l,lɡ
69,manutenˈemos,manutˈenɡas,n,nɡ
70,uɾxˈajs,ˈuɾxan,ɾx,ɾx
71,sostenˈejs,sostˈenɡas,n,nɡ
72,ɾedˈise,ɾedˈiɡas,s,ɡ
73,ɾestablˈese,ɾestablˈeska,s,sk
74,enkoçˈejs,enkˈoxo,ç,x
75,korˈixa,korˈixa,x,x
76,ɾestablˈeses,ɾestableskˈamos,s,sk
77,tɾaduskˈamos,tɾadˈuska,sk,sk
78,ɾejmponɡˈamos,ɾejmpˈonɡo,nɡ,nɡ
79,abastesˈemos,abastˈeska,s,sk
80,ɾejmponɡˈajs,ɾejmponɡˈamos,nɡ,nɡ
81,ɾejmponɡˈajs,ɾejmpˈonɡas,nɡ,nɡ
82,ɾediɡˈajs,ɾedˈiɡa,ɡ,ɡ
83,adoɾmesˈemos,adoɾmˈesko,s,sk
84,ˈuɾçes,ˈuɾxo,ɾç,ɾx
85,astɾinxˈamos,astɾˈinxan,nx,nx
86,inteɾpˈones,inteɾponɡˈamos,n,nɡ
87,enkaʃˈeskan,enkaʃˈesko,sk,sk
88,ɾestablˈese,ɾestableskˈajs,s,sk
89,entenebɾeskˈamos,entenebɾˈeskas,sk,sk
90,entenebɾˈeses,entenebɾˈeska,s,sk
91,sostˈenɡa,sostjˈene,nɡ,n
92,enkaʃeskˈajs,enkaʃˈesko,sk,sk
93,tɾaduskˈajs,tɾadˈuska,sk,sk
94,konbˈensas,konbˈensa,ns,ns
95,inteɾpˈones,inteɾpˈonɡas,n,nɡ
96,ɾedesˈimos,ɾedˈiɡa,s,ɡ
97,entenebɾesˈemos,entenebɾˈesen,s,s
98,ɾobustesˈemos,ɾobustˈeskas,s,sk
99,ɾobustˈese,ɾobusteskˈajs,s,sk
100,ɾediɡˈamos,ɾedˈiɡo,ɡ,ɡ
101,bendˈisen,bendˈises,s,s
102,entenebɾˈeska,entenebɾˈesko,sk,sk
103,tɾadusˈis,tɾadˈuskas,s,sk
104,ɾejmpˈone,ɾejmponɡˈajs,n,nɡ
105,ɾedesˈimos,ɾedˈiɡo,s,ɡ
106,manutˈenɡa,manutjˈene,nɡ,n
107,sostenˈejs,sostˈenɡas,n,nɡ
108,aduskˈamos,adˈuska,sk,sk
109,estaɾsˈis,estˈaɾso,ɾs,ɾs
110,manutˈenɡan,manutjˈenen,nɡ,n
111,tɾadˈuse,tɾadusˈis,s,s
112,ɾobustˈeskas,ɾobustˈesko,sk,sk
113,entenebɾeskˈamos,entenebɾˈesko,sk,sk
114,ɾejmponˈejs,ɾejmpˈonɡas,n,nɡ
115,entenebɾˈesen,entenebɾˈeska,s,sk
116,abastˈesen,abastˈeskan,s,sk
117,enkoxˈajs,enkˈoxo,x,x
118,adˈuse,adˈuskan,s,sk
119,sobɾekˈoçe,sobɾekˈoxan,ç,x
120,sostenˈemos,sostˈenɡan,n,nɡ
121,korˈixan,korˈixas,x,x
122,ɾobustˈeses,ɾobusteskˈajs,s,sk
123,ˈuɾxa,ˈuɾxo,ɾx,ɾx
124,inteɾponˈejs,inteɾpˈonen,n,n
125,ɾestablesˈejs,ɾestablesˈemos,s,s
126,ɾejmpˈonen,ɾejmpˈonɡan,n,nɡ
127,tɾadˈuskas,tɾadˈuska,sk,sk
128,uɾxˈamos,ˈuɾxa,ɾx,ɾx
129,pɾotˈeçe,pɾotexˈajs,ç,x
130,ɾobusteskˈajs,ɾobustˈeska,sk,sk
131,astɾˈinxas,astɾˈinxo,nx,nx
132,sobɾekˈoçe,sobɾekoxˈamos,ç,x
133,balɡˈajs,balɡˈamos,lɡ,lɡ
134,entenebɾeskˈamos,entenebɾˈeskan,sk,sk
135,entenebɾˈese,entenebɾeskˈamos,s,sk
136,adˈuse,adˈuska,s,sk
137,sobɾekˈoçe,sobɾekˈoxo,ç,x
138,ɾejmpˈone,ɾejmpˈonɡas,n,nɡ
139,adoɾmeskˈajs,adoɾmˈeskan,sk,sk
140,ɾobustˈeskas,ɾobustˈesko,sk,sk
141,enkaʃesˈejs,enkaʃˈeska,s,sk
142,sostˈenɡas,sostjˈene,nɡ,n
143,adoɾmesˈejs,adoɾmˈesko,s,sk
144,ɾejmponˈejs,ɾejmpˈones,n,n
145,astɾˈinçes,astɾˈinxo,nç,nx
146,inteɾpˈonɡan,inteɾpˈonɡa,nɡ,nɡ
147,adoɾmesˈemos,adoɾmˈeskan,s,sk
148,sobɾekˈoxan,sobɾekˈoxa,x,x
149,ˈuɾçe,uɾxˈajs,ɾç,ɾx
150,koreçˈimos,korˈixan,ç,x
151,sostˈenɡa,sostjˈenen,nɡ,n
152,astɾˈinxan,astɾˈinxa,nx,nx
153,adoɾmeskˈamos,adoɾmˈeska,sk,sk
154,adˈuses,adˈuskan,s,sk
155,ɾestablesˈejs,ɾestablˈeses,s,s
156,sostenˈejs,sostˈenɡas,n,nɡ
157,korˈixa,korˈixa,x,x
158,korˈixa,korˈixo,x,x
159,ˈuɾxas,ˈuɾxa,ɾx,ɾx
160,adˈuse,adˈuska,s,sk
161,koreçˈimos,koreçˈis,ç,ç
162,enkˈoçes,enkoxˈajs,ç,x
163,ɾejmponɡˈamos,ɾejmpˈonɡan,nɡ,nɡ
164,ɾestablesˈejs,ɾestablˈese,s,s
