idx,src1,src2,src1_sf,src2_sf
0,adʃasˈejs,adʃˈaskas,s,sk
1,desaɡˈamos,desˈaɡan,ɡ,ɡ
2,kepˈamos,kˈepa,p,p
3,ɾenaskˈajs,ɾenˈasko,sk,sk
4,ɾeabastˈeska,ɾeabastˈesko,sk,sk
5,amanesˈemos,amanˈeska,s,sk
6,ɾenaskˈamos,ɾenˈasko,sk,sk
7,enlentˈeses,enlentˈeskan,s,sk
8,amanˈesen,amanˈesko,s,sk
9,padˈeskan,padˈesko,sk,sk
10,peɾmanˈeska,peɾmanˈesko,sk,sk
11,ɾenˈasen,ɾenaskˈajs,s,sk
12,estɾemˈese,estɾemˈeskas,s,sk
13,embeʃesˈemos,embeʃˈeskas,s,sk
14,kompaɾeskˈajs,kompaɾˈeskan,sk,sk
15,desdesˈimos,desdesˈis,s,s
16,maɾsˈimos,mˈaɾsa,ɾs,ɾs
17,debˈenɡa,debjˈenes,nɡ,n
18,enbanesˈejs,enbanˈeskas,s,sk
19,ɾobustˈesen,ɾobustˈeskas,s,sk
20,empodɾesˈejs,empodɾˈeskas,s,sk
21,deponˈejs,deponɡˈajs,n,nɡ
22,konflˈiçe,konfliçˈimos,ç,ç
23,empalidesˈejs,empalidˈesen,s,s
24,dˈiɡas,dˈiɡo,ɡ,ɡ
25,kondˈises,kondˈise,s,s
26,atˈenɡa,atjˈenen,nɡ,n
27,entɾetenɡˈajs,entɾetˈenɡa,nɡ,nɡ
28,ɾeblandesˈemos,ɾeblandˈese,s,s
29,kompadeskˈamos,kompadˈeska,sk,sk
30,aresˈis,arˈeskas,s,sk
31,fɾˈançes,fɾˈanxa,nç,nx
32,kontɾabenɡˈamos,kontɾabjˈenes,nɡ,n
33,pɾoponˈemos,pɾopˈonen,n,n
34,kaˈejs,kajɡˈajs,,jɡ
35,ɾekomponˈejs,ɾekomponɡˈamos,n,nɡ
36,adbˈenɡan,adbjˈenes,nɡ,n
37,sobɾesˈale,sobɾesˈalɡa,l,lɡ
38,peɾtenˈeses,peɾtenˈeskas,s,sk
39,fˈulçe,fulçˈimos,lç,lç
40,konbˈeɾçen,konbˈeɾçe,ɾç,ɾç
41,supeɾbˈenɡa,supeɾbˈenɡo,nɡ,nɡ
42,amanesˈemos,amanˈesen,s,s
43,distɾajɡˈajs,distɾˈajɡa,jɡ,jɡ
44,eskaesˈejs,eskaesˈemos,s,s
45,asˈejs,ˈasen,s,s
46,infliçˈimos,inflixˈamos,ç,x
47,tɾaˈejs,tɾajɡˈamos,,jɡ
48,lusˈis,lˈuskan,s,sk
49,ɾobustesˈemos,ɾobustˈeses,s,s
50,inteɾpˈonɡa,inteɾpˈonɡo,nɡ,nɡ
51,konbˈeɾçe,konbˈeɾxa,ɾç,ɾx
52,eskosˈamos,eskwˈese,s,s
53,embeʃˈesen,embeʃˈeses,s,s
