lemmas,pred_stems,pred_suffixes,test_stems,test_suffixes
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,an,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,as,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,a,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbe,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,an,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,as,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,a,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,ejs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbe,ajs,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,an,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾbenɡ,as,supeɾbenɡ,ajs
supeɾbenˈiɾ,supeɾben,a,supeɾbenɡ,ajs
