lemmas,pred_stems,pred_suffixes,test_stems,test_suffixes
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,es,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,es,antedes,imos
antedesˈiɾ,antedis,es,antedes,imos
antedesˈiɾ,antedis,as,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedisj,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antedis,as,antedes,imos
antedesˈiɾ,antedis,as,antedes,imos
antedesˈiɾ,antedis,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antediɡ,amos,antedes,imos
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antedis,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antediɡ,ajs,antedes,is
antedesˈiɾ,antedesim,an,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,en,antedis,en
antedesˈiɾ,antedis,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antediɡ,an,antedis,en
antedesˈiɾ,antedis,ajs,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,ejs,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,es,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antedis,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antediɡ,as,antedis,es
antedesˈiɾ,antedesim,a,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,e,antedis,e
antedesˈiɾ,antedis,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
antedesˈiɾ,antediɡ,a,antedis,e
