test_form,preds_form,preds_stems,test_stems,shapes
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsjajs,mulsj,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsjajs,mulsj,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulsis,muls,muls,L
mulsejs,mulsa,muls,muls,L
mulsejs,mulsjajs,mulsj,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulsis,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,muls,,muls,L
mulsejs,mulsjajs,mulsj,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulsas,muls,muls,L
mulsejs,muls,,muls,L
mulsejs,muls,,muls,L
mulsejs,muls,,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsas,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulsajs,muls,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,mulajs,mul,muls,L
mulsejs,muls,,muls,L
mulsejs,muls,,muls,L
mulsejs,muls,,muls,L
mulsejs,muls,,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulamos,mul,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsjamos,mulsj,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
mulsemos,mulsamos,muls,muls,L
