model,lshaped_overall_errors,lshaped_overall_correct,total_lshaped_predictions,lshaped_error_rate,lshaped_accuracy
90L_10NL_1_1,343,38542,59,0.88,99.12
90L_10NL_1_2,516,38369,59,1.33,98.67
90L_10NL_1_3,180,38705,59,0.46,99.54
90L_10NL_1_4,305,38580,59,0.78,99.22
90L_10NL_2_1,556,38329,59,1.43,98.57
90L_10NL_2_2,467,38418,59,1.2,98.8
90L_10NL_2_3,414,38471,59,1.06,98.94
90L_10NL_2_4,481,38404,59,1.24,98.76
90L_10NL_3_1,856,38029,59,2.2,97.8
90L_10NL_3_2,1013,37872,59,2.61,97.39
90L_10NL_3_3,562,38323,59,1.45,98.55
90L_10NL_3_4,687,38198,59,1.77,98.23
