lemmas,pred_stems,pred_suffixes,test_stems,test_suffixes
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,an,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,en,uns,en
unsˈiɾ,uns,an,uns,en
unsˈiɾ,uns,an,uns,en
unsˈiɾ,uns,an,uns,en
unsˈiɾ,uns,an,uns,en
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,es,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,as,uns,es
unsˈiɾ,uns,e,uns,e
unsˈiɾ,uns,e,uns,e
