10L_90NL_1_1,56.97,70.02
10L_90NL_1_2,0.0,0.0
10L_90NL_1_3,0.0,0.0
10L_90NL_1_4,63.29,78.0
10L_90NL_2_1,68.42,80.68
10L_90NL_2_2,0.0,0.0
10L_90NL_2_3,0.0,0.0
10L_90NL_2_4,71.21,78.57
10L_90NL_3_1,80.43,73.71
10L_90NL_3_2,0.0,0.0
10L_90NL_3_3,0.0,0.0
10L_90NL_3_4,76.26,79.37
50L_50NL_1_1,78.0,64.89
50L_50NL_1_2,80.13,61.88
50L_50NL_1_3,78.32,62.17
50L_50NL_1_4,91.29,69.76
50L_50NL_2_1,91.83,76.02
50L_50NL_2_2,89.12,56.5
50L_50NL_2_3,87.75,52.74
50L_50NL_2_4,85.22,46.97
50L_50NL_3_1,78.57,65.46
50L_50NL_3_2,73.38,54.45
50L_50NL_3_3,71.78,55.31
50L_50NL_3_4,84.31,71.33
90L_10NL_1_1,91.24,23.83
90L_10NL_1_2,84.56,15.19
90L_10NL_1_3,87.16,31.34
90L_10NL_1_4,87.94,37.27
90L_10NL_2_1,90.52,22.66
90L_10NL_2_2,89.57,26.69
90L_10NL_2_3,87.0,29.96
90L_10NL_2_4,88.57,18.14
90L_10NL_3_1,91.19,1.09
90L_10NL_3_2,88.43,18.44
90L_10NL_3_3,89.24,19.94
90L_10NL_3_4,91.54,7.75
