idx,tgt,lemma,lemma_sf,tgt_sf
0,pɾobenɡˈajs,pɾobenˈiɾ,n,nɡ
1,faʃˈeska,faʃesˈeɾ,s,sk
2,pɾodˈuse,pɾodusˈiɾ,s,s
3,ɾesplandeskˈamos,ɾesplandesˈeɾ,s,sk
4,pɾoteçˈejs,pɾoteçˈeɾ,ç,ç
5,ɾesuɾçˈimos,ɾesuɾçˈiɾ,ɾç,ɾç
6,enoɾɡuʃˈeskan,enoɾɡuʃesˈeɾ,s,sk
7,konbensˈajs,konbensˈeɾ,ns,ns
8,pɾesupˈonɡa,pɾesuponˈeɾ,n,nɡ
9,induskˈamos,indusˈiɾ,s,sk
10,entɾetˈenɡa,entɾetenˈeɾ,n,nɡ
11,dibˈeɾxa,dibeɾçˈiɾ,ɾç,ɾx
12,foɾtalesˈemos,foɾtalesˈeɾ,s,s
13,entenebɾˈesko,entenebɾesˈeɾ,s,sk
14,eskaˈeskas,eskaesˈeɾ,s,sk
15,pɾodˈuskas,pɾodusˈiɾ,s,sk
16,tɾansponˈemos,tɾansponˈeɾ,n,n
17,ɾebˈenɡa,ɾebenˈiɾ,n,nɡ
18,sobɾebˈenɡa,sobɾebenˈiɾ,n,nɡ
19,sˈalɡa,salˈiɾ,l,lɡ
20,peɾtenˈeskas,peɾtenesˈeɾ,s,sk
21,adˈusen,adusˈiɾ,s,s
22,akɾˈeskan,akɾesˈeɾ,s,sk
23,ɾesˈaɾso,ɾesaɾsˈiɾ,ɾs,ɾs
24,enneɡɾˈeska,enneɡɾesˈeɾ,s,sk
25,kontɾaˈaɡan,kontɾaasˈeɾ,s,ɡ
26,kontɾabˈenɡa,kontɾabenˈiɾ,n,nɡ
27,ɾedˈuska,ɾedusˈiɾ,s,sk
28,konbeɾxˈamos,konbeɾçˈeɾ,ɾç,ɾx
29,lˈuska,lusˈiɾ,s,sk
30,enmoˈesko,enmoesˈeɾ,s,sk
31,empekeɲˈeskan,empekeɲesˈeɾ,s,sk
32,indˈusko,indusˈiɾ,s,sk
33,oskuɾˈeskan,oskuɾesˈeɾ,s,sk
34,subbenɡˈamos,subbenˈiɾ,n,nɡ
35,deskonosˈemos,deskonosˈeɾ,s,s
36,enɾaɾˈeska,enɾaɾesˈeɾ,s,sk
37,enkoçˈejs,enkoçˈeɾ,ç,ç
38,ɾesuɾxˈamos,ɾesuɾçˈiɾ,ɾç,ɾx
39,depˈone,deponˈeɾ,n,n
40,kˈajɡa,kaˈeɾ,,jɡ
41,despɾoteçˈemos,despɾoteçˈeɾ,ç,ç
42,neɡɾeskˈajs,neɡɾesˈeɾ,s,sk
43,sobɾepˈone,sobɾeponˈeɾ,n,n
44,pˈunxa,punçˈiɾ,nç,nx
45,pɾesuponɡˈamos,pɾesuponˈeɾ,n,nɡ
46,anoʧˈeskas,anoʧesˈeɾ,s,sk
47,fosfoɾˈesen,fosfoɾesˈeɾ,s,s
48,ɾelusˈimos,ɾelusˈiɾ,s,s
49,aɡˈamos,asˈeɾ,s,ɡ
50,kˈaben,kabˈeɾ,b,b
51,obedˈesen,obedesˈeɾ,s,s
52,enneɡɾeskˈajs,enneɡɾesˈeɾ,s,sk
53,akoçˈemos,akoçˈeɾ,ç,ç
54,ɾesuɾxˈajs,ɾesuɾçˈiɾ,ɾç,ɾx
55,ɾeabastˈeskan,ɾeabastesˈeɾ,s,sk
56,amaɾiʃˈesen,amaɾiʃesˈeɾ,s,s
57,supeɾbjˈenes,supeɾbenˈiɾ,n,n
58,ɾebeɾdesˈejs,ɾebeɾdesˈeɾ,s,s
59,ɾebeɾdˈesko,ɾebeɾdesˈeɾ,s,sk
60,kontɾadˈise,kontɾadesˈiɾ,s,s
61,infɾˈinxa,infɾinçˈiɾ,nç,nx
62,balbˈuska,balbusˈiɾ,s,sk
63,lˈusko,lusˈiɾ,s,sk
64,maldˈiɡa,maldesˈiɾ,s,ɡ
65,desmeɾˈesko,desmeɾesˈeɾ,s,sk
66,infliçˈis,infliçˈiɾ,ç,ç
67,enoɾɡuʃesˈejs,enoɾɡuʃesˈeɾ,s,s
68,ɾedˈuskan,ɾedusˈiɾ,s,sk
69,supeɾpˈonen,supeɾponˈeɾ,n,n
70,pɾopˈonɡa,pɾoponˈeɾ,n,nɡ
71,supeɾponˈemos,supeɾponˈeɾ,n,n
72,deskˈoso,deskosˈeɾ,s,s
73,nasˈejs,nasˈeɾ,s,s
74,desaɡɾadˈeska,desaɡɾadesˈeɾ,s,sk
75,punçˈimos,punçˈiɾ,nç,nç
76,ɾestablˈesen,ɾestablesˈeɾ,s,s
77,enkˈoxan,enkoçˈeɾ,ç,x
78,pɾeestablˈese,pɾeestablesˈeɾ,s,s
79,enɡɾandˈeskan,enɡɾandesˈeɾ,s,sk
80,mantjˈenes,mantenˈeɾ,n,n
81,ensoɾdˈeskas,ensoɾdesˈeɾ,s,sk
82,seduskˈajs,sedusˈiɾ,s,sk
83,ɾelˈusko,ɾelusˈiɾ,s,sk
84,ˈaɡas,asˈeɾ,s,ɡ
85,kaɾˈese,kaɾesˈeɾ,s,s
86,fosfoɾˈeska,fosfoɾesˈeɾ,s,sk
87,konbˈensa,konbensˈeɾ,ns,ns
88,detenɡˈajs,detenˈeɾ,n,nɡ
89,komplaskˈajs,komplasˈeɾ,s,sk
90,arˈeska,aresˈiɾ,s,sk
91,enɾaɾˈeskan,enɾaɾesˈeɾ,s,sk
92,apaɾesˈemos,apaɾesˈeɾ,s,s
93,paɾˈeska,paɾesˈeɾ,s,sk
94,sobɾepˈonɡas,sobɾeponˈeɾ,n,nɡ
95,enkaneskˈamos,enkanesˈeɾ,s,sk
96,entenebɾˈeskas,entenebɾesˈeɾ,s,sk
97,kondˈiɡo,kondesˈiɾ,s,ɡ
98,fˈulxa,fulçˈiɾ,lç,lx
99,abstˈeɾçen,absteɾçˈeɾ,ɾç,ɾç
100,estɾemˈese,estɾemesˈeɾ,s,s
101,floɾeskˈajs,floɾesˈeɾ,s,sk
102,tɾansponɡˈamos,tɾansponˈeɾ,n,nɡ
103,derelˈinke,derelinkˈiɾ,nk,nk
104,koçˈemos,koçˈeɾ,ç,ç
105,kɾˈesen,kɾesˈeɾ,s,s
106,enɡɾandesˈejs,enɡɾandesˈeɾ,s,s
107,floɾeskˈajs,floɾesˈeɾ,s,sk
108,delˈinkan,delinkˈiɾ,nk,nk
109,obskuɾˈese,obskuɾesˈeɾ,s,s
110,emˈulçe,emulçˈeɾ,lç,lç
111,ɾeelˈixas,ɾeeleçˈiɾ,ç,x
112,ɾekonoskˈamos,ɾekonosˈeɾ,s,sk
113,sobɾebˈenɡa,sobɾebenˈiɾ,n,nɡ
114,dekɾesˈemos,dekɾesˈeɾ,s,s
115,desnˈaskas,desnasˈeɾ,s,sk
116,fɾˈunsa,fɾunsˈiɾ,ns,ns
117,entɾistˈeskas,entɾistesˈeɾ,s,sk
118,intɾodˈuskas,intɾodusˈiɾ,s,sk
119,siɾkunbˈenɡa,siɾkunbenˈiɾ,n,nɡ
120,peɾtenˈeska,peɾtenesˈeɾ,s,sk
121,ɾefˈulxan,ɾefulçˈiɾ,lç,lx
122,ɾejmpˈonɡa,ɾejmponˈeɾ,n,nɡ
123,ˈunxo,unçˈiɾ,nç,nx
124,subbˈenɡa,subbenˈiɾ,n,nɡ
125,emulxˈajs,emulçˈeɾ,lç,lx
126,konbˈeɾxan,konbeɾçˈeɾ,ɾç,ɾx
127,oskuɾˈeska,oskuɾesˈeɾ,s,sk
128,kompadesˈejs,kompadesˈeɾ,s,s
129,maldˈises,maldesˈiɾ,s,s
130,entɾebjˈenes,entɾebenˈiɾ,n,n
131,obskuɾˈeskas,obskuɾesˈeɾ,s,sk
132,ɾenasˈemos,ɾenasˈeɾ,s,s
