idx,tgt,lemma,lemma_sf,tgt_sf
2,antepˈonɡa,anteponˈeɾ,n,nɡ
4,empobɾˈesko,empobɾesˈeɾ,s,sk
13,supˈone,suponˈeɾ,n,n
16,enlokˈese,enlokesˈeɾ,s,s
19,pɾekonˈoses,pɾekonosˈeɾ,s,s
20,abasteskˈajs,abastesˈeɾ,s,sk
21,enɾoxeskˈajs,enɾoxesˈeɾ,s,sk
23,enkaʃˈese,enkaʃesˈeɾ,s,s
24,abastˈeses,abastesˈeɾ,s,s
25,ɾekondˈuskas,ɾekondusˈiɾ,s,sk
26,konbenɡˈajs,konbenˈiɾ,n,nɡ
27,despɾotˈexa,despɾoteçˈeɾ,ç,x
28,ɾekompˈonɡa,ɾekomponˈeɾ,n,nɡ
30,kˈoxo,koçˈeɾ,ç,x
31,eskaɾnˈeskas,eskaɾnesˈeɾ,s,sk
34,pɾekonˈoskas,pɾekonosˈeɾ,s,sk
37,desɡwaɾnˈese,desɡwaɾnesˈeɾ,s,s
38,ˈuɾxas,uɾçˈiɾ,ɾç,ɾx
41,establˈesen,establesˈeɾ,s,s
44,enlˈuska,enlusˈiɾ,s,sk
46,establˈeska,establesˈeɾ,s,sk
50,neɡliçˈimos,neɡliçˈiɾ,ç,ç
52,enkaʃˈeskas,enkaʃesˈeɾ,s,sk
60,supˈones,suponˈeɾ,n,n
62,akɾesˈejs,akɾesˈeɾ,s,s
66,supˈone,suponˈeɾ,n,n
70,akɾˈeska,akɾesˈeɾ,s,sk
81,entɾetˈenɡa,entɾetenˈeɾ,n,nɡ
83,detɾˈajɡan,detɾaˈeɾ,,jɡ
84,enɾoxesˈemos,enɾoxesˈeɾ,s,s
89,despɾotˈexa,despɾoteçˈeɾ,ç,x
91,obedˈeska,obedesˈeɾ,s,sk
96,eskaɾnˈeses,eskaɾnesˈeɾ,s,s
99,tɾadˈuse,tɾadusˈiɾ,s,s
104,emulxˈajs,emulçˈeɾ,lç,lx
107,ˈases,asˈeɾ,s,s
111,pɾekonoskˈamos,pɾekonosˈeɾ,s,sk
115,entɾetjˈenes,entɾetenˈeɾ,n,n
118,ɾekondˈusko,ɾekondusˈiɾ,s,sk
127,ɾediɾixˈamos,ɾediɾiçˈiɾ,ç,x
129,neɡlˈiçen,neɡliçˈiɾ,ç,ç
130,obedˈesen,obedesˈeɾ,s,s
134,empobɾˈeses,empobɾesˈeɾ,s,s
135,emˈulxo,emulçˈeɾ,lç,lx
136,ɾebenˈis,ɾebenˈiɾ,n,n
137,fɾˈunso,fɾunsˈiɾ,ns,ns
145,asˈemos,asˈeɾ,s,s
146,ˈunxas,unçˈiɾ,nç,nx
148,desɡwaɾnˈeskas,desɡwaɾnesˈeɾ,s,sk
149,fɾunsˈis,fɾunsˈiɾ,ns,ns
151,ɾebenɡˈamos,ɾebenˈiɾ,n,nɡ
153,enɾoxˈeses,enɾoxesˈeɾ,s,s
156,eskaɾnˈeska,eskaɾnesˈeɾ,s,sk
157,salɡˈamos,salˈiɾ,l,lɡ
162,enlokesˈejs,enlokesˈeɾ,s,s
163,obedˈeses,obedesˈeɾ,s,s
172,entɾetenˈejs,entɾetenˈeɾ,n,n
176,enɾoxˈeses,enɾoxesˈeɾ,s,s
177,enkaʃˈesen,enkaʃesˈeɾ,s,s
178,abastesˈemos,abastesˈeɾ,s,s
181,ɾekomponˈemos,ɾekomponˈeɾ,n,n
183,emˈulçes,emulçˈeɾ,lç,lç
186,enlˈusen,enlusˈiɾ,s,s
187,pɾedesˈis,pɾedesˈiɾ,s,s
189,elˈiçes,eleçˈiɾ,ç,ç
192,ɾekompˈonɡo,ɾekomponˈeɾ,n,nɡ
194,koçˈejs,koçˈeɾ,ç,ç
201,enlokˈeska,enlokesˈeɾ,s,sk
206,detɾˈajɡan,detɾaˈeɾ,,jɡ
209,suponˈejs,suponˈeɾ,n,n
210,emˈulçe,emulçˈeɾ,lç,lç
211,detɾˈaen,detɾaˈeɾ,,
219,akɾˈesko,akɾesˈeɾ,s,sk
220,ɾediɾˈixa,ɾediɾiçˈiɾ,ç,x
224,tɾˈajɡo,tɾaˈeɾ,,jɡ
228,ˈuɾxo,uɾçˈiɾ,ɾç,ɾx
231,kˈoxa,koçˈeɾ,ç,x
236,ˈuɾxan,uɾçˈiɾ,ɾç,ɾx
237,entoɾpˈeskas,entoɾpesˈeɾ,s,sk
238,desɡwaɾneskˈajs,desɡwaɾnesˈeɾ,s,sk
250,abastˈeskan,abastesˈeɾ,s,sk
251,desɡwaɾnˈeses,desɡwaɾnesˈeɾ,s,s
256,desɡwaɾnˈeskas,desɡwaɾnesˈeɾ,s,sk
258,desɡwaɾnˈesko,desɡwaɾnesˈeɾ,s,sk
259,eksiçˈimos,eksiçˈiɾ,ç,ç
263,obedˈeskas,obedesˈeɾ,s,sk
264,eskaɾnˈeses,eskaɾnesˈeɾ,s,s
265,enlokeskˈamos,enlokesˈeɾ,s,sk
267,tɾadusˈis,tɾadusˈiɾ,s,s
268,sˈalɡas,salˈiɾ,l,lɡ
269,eskaɾnesˈemos,eskaɾnesˈeɾ,s,s
274,abastˈesko,abastesˈeɾ,s,sk
278,entɾetenɡˈamos,entɾetenˈeɾ,n,nɡ
279,antepˈone,anteponˈeɾ,n,n
282,ɾebˈenɡo,ɾebenˈiɾ,n,nɡ
284,konbˈeɾçes,konbeɾçˈeɾ,ɾç,ɾç
289,obedˈeska,obedesˈeɾ,s,sk
294,desɡwaɾnˈeska,desɡwaɾnesˈeɾ,s,sk
295,ɾekondusˈimos,ɾekondusˈiɾ,s,s
300,enluskˈamos,enlusˈiɾ,s,sk
301,asˈejs,asˈeɾ,s,s
302,entɾetjˈenes,entɾetenˈeɾ,n,n
303,eksixˈajs,eksiçˈiɾ,ç,x
306,abastˈesko,abastesˈeɾ,s,sk
307,supˈonɡa,suponˈeɾ,n,nɡ
317,empobɾesˈejs,empobɾesˈeɾ,s,s
318,establˈeskas,establesˈeɾ,s,sk
320,konbeɾxˈajs,konbeɾçˈeɾ,ɾç,ɾx
321,antepˈonen,anteponˈeɾ,n,n
322,eksˈiçen,eksiçˈiɾ,ç,ç
323,emˈulxas,emulçˈeɾ,lç,lx
326,enɾoxˈeska,enɾoxesˈeɾ,s,sk
327,supˈonɡan,suponˈeɾ,n,nɡ
331,pɾekonoskˈajs,pɾekonosˈeɾ,s,sk
332,establˈeses,establesˈeɾ,s,s
334,eksixˈajs,eksiçˈiɾ,ç,x
336,despɾotˈeçe,despɾoteçˈeɾ,ç,ç
338,eskaɾnesˈemos,eskaɾnesˈeɾ,s,s
340,ɾekwˈeses,ɾekosˈeɾ,s,s
347,ɾediɾixˈamos,ɾediɾiçˈiɾ,ç,x
349,tɾadˈusen,tɾadusˈiɾ,s,s
350,enlokˈeskan,enlokesˈeɾ,s,sk
363,enlokesˈejs,enlokesˈeɾ,s,s
364,enlokˈeses,enlokesˈeɾ,s,s
365,entoɾpeskˈamos,entoɾpesˈeɾ,s,sk
366,anteponɡˈamos,anteponˈeɾ,n,nɡ
367,supˈones,suponˈeɾ,n,n
369,obedˈesko,obedesˈeɾ,s,sk
370,eksixˈamos,eksiçˈiɾ,ç,x
373,enlˈuskan,enlusˈiɾ,s,sk
374,ɾekompˈonɡa,ɾekomponˈeɾ,n,nɡ
376,tɾaˈejs,tɾaˈeɾ,,
377,ˈaɡa,asˈeɾ,s,ɡ
380,suponɡˈamos,suponˈeɾ,n,nɡ
384,neɡliçˈimos,neɡliçˈiɾ,ç,ç
387,empobɾeskˈamos,empobɾesˈeɾ,s,sk
392,tɾaduskˈajs,tɾadusˈiɾ,s,sk
394,eskaɾnˈeskan,eskaɾnesˈeɾ,s,sk
395,obedˈese,obedesˈeɾ,s,s
396,enkaʃˈesen,enkaʃesˈeɾ,s,s
398,enlokˈese,enlokesˈeɾ,s,s
400,emˈulxa,emulçˈeɾ,lç,lx
401,ɾekomponɡˈajs,ɾekomponˈeɾ,n,nɡ
404,establˈeses,establesˈeɾ,s,s
405,sˈalɡas,salˈiɾ,l,lɡ
407,ɾebenˈis,ɾebenˈiɾ,n,n
409,enlˈuska,enlusˈiɾ,s,sk
413,konbeɾxˈamos,konbeɾçˈeɾ,ɾç,ɾx
414,neɡlˈiçe,neɡliçˈiɾ,ç,ç
415,elˈixa,eleçˈiɾ,ç,x
418,tɾadusˈis,tɾadusˈiɾ,s,s
421,neɡlˈiçen,neɡliçˈiɾ,ç,ç
427,ɾekomponˈemos,ɾekomponˈeɾ,n,n
428,detɾˈaen,detɾaˈeɾ,,
429,konbˈeɾçen,konbeɾçˈeɾ,ɾç,ɾç
431,desdˈises,desdesˈiɾ,s,s
433,tɾadusˈis,tɾadusˈiɾ,s,s
435,antepˈones,anteponˈeɾ,n,n
436,akɾˈeska,akɾesˈeɾ,s,sk
439,ˈasen,asˈeɾ,s,s
442,eksˈixa,eksiçˈiɾ,ç,x
446,supˈones,suponˈeɾ,n,n
450,desdˈiɡa,desdesˈiɾ,s,ɡ
454,kontɾaˈemos,kontɾaˈeɾ,,
456,konbjˈenes,konbenˈiɾ,n,n
457,supˈonɡo,suponˈeɾ,n,nɡ
461,tɾadˈusen,tɾadusˈiɾ,s,s
463,enlokˈesko,enlokesˈeɾ,s,sk
466,tɾaduskˈamos,tɾadusˈiɾ,s,sk
474,abasteskˈajs,abastesˈeɾ,s,sk
480,detɾˈaen,detɾaˈeɾ,,
486,detɾˈae,detɾaˈeɾ,,
489,kˈoxan,koçˈeɾ,ç,x
490,ɾebˈenɡan,ɾebenˈiɾ,n,nɡ
493,konbˈeɾçes,konbeɾçˈeɾ,ɾç,ɾç
495,ɾekwˈeses,ɾekosˈeɾ,s,s
499,koçˈejs,koçˈeɾ,ç,ç
503,ˈaɡas,asˈeɾ,s,ɡ
506,tɾˈajɡa,tɾaˈeɾ,,jɡ
513,ɾekompˈone,ɾekomponˈeɾ,n,n
515,despɾotexˈajs,despɾoteçˈeɾ,ç,x
516,tɾaduskˈamos,tɾadusˈiɾ,s,sk
517,enɾoxesˈemos,enɾoxesˈeɾ,s,s
519,anteponˈejs,anteponˈeɾ,n,n
