idx,tgt,lemma,lemma_sf,tgt_sf
0,emeɾxˈajs,emeɾçˈeɾ,ɾç,ɾx
1,ɾeabastˈese,ɾeabastesˈeɾ,s,s
2,ɾetɾotɾaˈejs,ɾetɾotɾaˈeɾ,,
3,neɡɾˈese,neɡɾesˈeɾ,s,s
4,ɾetɾadˈuse,ɾetɾadusˈiɾ,s,s
5,ɾelˈuses,ɾelusˈiɾ,s,s
6,emeɾçˈejs,emeɾçˈeɾ,ɾç,ɾç
7,enaltˈeskas,enaltesˈeɾ,s,sk
8,emˈeɾxas,emeɾçˈeɾ,ɾç,ɾx
9,tɾadusˈis,tɾadusˈiɾ,s,s
10,ɾetɾotɾaˈemos,ɾetɾotɾaˈeɾ,,
11,enduɾˈeskan,enduɾesˈeɾ,s,sk
12,aflixˈamos,afliçˈiɾ,ç,x
13,ɾetɾotɾˈajɡo,ɾetɾotɾaˈeɾ,,jɡ
14,entɾetenɡˈamos,entɾetenˈeɾ,n,nɡ
15,tɾadˈuskas,tɾadusˈiɾ,s,sk
16,astɾˈinçes,astɾinçˈiɾ,nç,nç
17,enaltˈeskas,enaltesˈeɾ,s,sk
18,pɾobjˈenen,pɾobenˈiɾ,n,n
19,kodiɾixˈajs,kodiɾiçˈiɾ,ç,x
20,entɾetˈenɡan,entɾetenˈeɾ,n,nɡ
21,emˈeɾxan,emeɾçˈeɾ,ɾç,ɾx
22,aflˈiçes,afliçˈiɾ,ç,ç
23,pɾobˈenɡa,pɾobenˈiɾ,n,nɡ
24,ɾelˈusko,ɾelusˈiɾ,s,sk
25,pɾobˈenɡa,pɾobenˈiɾ,n,nɡ
26,ɾetɾadˈuskan,ɾetɾadusˈiɾ,s,sk
27,enlokˈesko,enlokesˈeɾ,s,sk
28,enduɾˈeskas,enduɾesˈeɾ,s,sk
29,distɾˈajɡa,distɾaˈeɾ,,jɡ
30,pɾobˈenɡa,pɾobenˈiɾ,n,nɡ
31,enlokesˈemos,enlokesˈeɾ,s,s
32,pɾobenɡˈajs,pɾobenˈiɾ,n,nɡ
33,ɾeabastesˈejs,ɾeabastesˈeɾ,s,s
34,ɾetɾadˈuskas,ɾetɾadusˈiɾ,s,sk
35,enaltˈeska,enaltesˈeɾ,s,sk
36,enalteskˈajs,enaltesˈeɾ,s,sk
37,aflˈiçe,afliçˈiɾ,ç,ç
38,pɾekonˈoses,pɾekonosˈeɾ,s,s
39,emˈeɾçen,emeɾçˈeɾ,ɾç,ɾç
40,ɾeapaɾeskˈamos,ɾeapaɾesˈeɾ,s,sk
41,enfebɾˈeska,enfebɾesˈeɾ,s,sk
42,pɾobjˈenes,pɾobenˈiɾ,n,n
43,ɾeabastˈeskan,ɾeabastesˈeɾ,s,sk
44,pɾobenˈimos,pɾobenˈiɾ,n,n
45,distɾˈaes,distɾaˈeɾ,,
46,pɾeestablˈesen,pɾeestablesˈeɾ,s,s
47,ɾeabastesˈemos,ɾeabastesˈeɾ,s,s
48,ˈasɡa,asˈiɾ,s,sɡ
49,aflˈixo,afliçˈiɾ,ç,x
50,kˈae,kaˈeɾ,,
51,ɾetɾotɾajɡˈamos,ɾetɾotɾaˈeɾ,,jɡ
52,astɾˈinçes,astɾinçˈiɾ,nç,nç
53,aflˈiçes,afliçˈiɾ,ç,ç
54,ɾetɾaduskˈamos,ɾetɾadusˈiɾ,s,sk
55,enlokeskˈajs,enlokesˈeɾ,s,sk
56,neɡɾˈeses,neɡɾesˈeɾ,s,s
57,ɾetɾotɾˈajɡa,ɾetɾotɾaˈeɾ,,jɡ
