form,lemma,lemma_sf
akontesˈejs,akontesˈeɾ,s
konbˈeɾxan,konbeɾçˈiɾ,ɾç
enaɾdˈeses,enaɾdesˈeɾ,s
supˈonɡan,suponˈeɾ,n
ennoblesˈemos,ennoblesˈeɾ,s
ɾebeɾdesˈejs,ɾebeɾdesˈeɾ,s
ˈuɾçes,uɾçˈiɾ,ɾç
ˈunxo,unçˈiɾ,nç
ˈunxa,unçˈiɾ,nç
kopɾoduskˈamos,kopɾodusˈiɾ,s
detɾˈae,detɾaˈeɾ,
ɾeestablˈeska,ɾeestablesˈeɾ,s
dibeɾçˈis,dibeɾçˈiɾ,ɾç
nˈaska,nasˈeɾ,s
kondˈuska,kondusˈiɾ,s
enɡɾandesˈemos,enɡɾandesˈeɾ,s
floɾˈesen,floɾesˈeɾ,s
enseɡesˈejs,enseɡesˈeɾ,s
enfebɾˈese,enfebɾesˈeɾ,s
abstɾajɡˈamos,abstɾaˈeɾ,
opˈone,oponˈeɾ,n
enseɡˈeses,enseɡesˈeɾ,s
substɾaˈemos,substɾaˈeɾ,
ʃˈasko,ʃasˈeɾ,s
esklaɾesˈemos,esklaɾesˈeɾ,s
substɾajɡˈajs,substɾaˈeɾ,
ɾestablˈeses,ɾestablesˈeɾ,s
ˈunçe,unçˈiɾ,nç
exˈeɾses,exeɾsˈeɾ,ɾs
ɾebˈenɡan,ɾebenˈiɾ,n
ensombɾˈesko,ensombɾesˈeɾ,s
ɡwaɾnˈesko,ɡwaɾnesˈeɾ,s
akontˈeskan,akontesˈeɾ,s
abstɾˈajɡas,abstɾaˈeɾ,
enkaʃeskˈajs,enkaʃesˈeɾ,s
ɾeestablˈeskan,ɾeestablesˈeɾ,s
ɡwaɾnˈeska,ɡwaɾnesˈeɾ,s
palidˈeska,palidesˈeɾ,s
foɾtalˈeska,foɾtalesˈeɾ,s
ɡwaɾeskˈajs,ɡwaɾesˈeɾ,s
kontɾajɡˈajs,kontɾaˈeɾ,
ɾebeɾdˈeses,ɾebeɾdesˈeɾ,s
ɾekˈaes,ɾekaˈeɾ,
oskuɾˈese,oskuɾesˈeɾ,s
inbˈenɡa,inbenˈiɾ,n
intelixˈamos,inteliçˈiɾ,ç
emulxˈajs,emulçˈeɾ,lç
enkaʃesˈemos,enkaʃesˈeɾ,s
esklaɾˈeskas,esklaɾesˈeɾ,s
kontɾˈajɡan,kontɾaˈeɾ,
intelixˈajs,inteliçˈiɾ,ç
dedˈuskan,dedusˈiɾ,s
konduskˈajs,kondusˈiɾ,s
enfebɾeskˈamos,enfebɾesˈeɾ,s
exˈeɾse,exeɾsˈeɾ,ɾs
enseɡˈeska,enseɡesˈeɾ,s
enfebɾˈesko,enfebɾesˈeɾ,s
enseɡeskˈajs,enseɡesˈeɾ,s
foɾtalˈeskas,foɾtalesˈeɾ,s
ɾetɾadˈuskas,ɾetɾadusˈiɾ,s
desobedˈeska,desobedesˈeɾ,s
kontɾˈaes,kontɾaˈeɾ,
ˈunxan,unçˈiɾ,nç
exeɾsˈamos,exeɾsˈeɾ,ɾs
abstɾaˈejs,abstɾaˈeɾ,
ˈuɾxan,uɾçˈiɾ,ɾç
opˈones,oponˈeɾ,n
enkoçˈejs,enkoçˈeɾ,ç
ʃˈasen,ʃasˈeɾ,s
pɾeestablˈeska,pɾeestablesˈeɾ,s
enteɾnˈese,enteɾnesˈeɾ,s
supˈonɡo,suponˈeɾ,n
ʃˈase,ʃasˈeɾ,s
floɾˈesko,floɾesˈeɾ,s
ennoblˈeska,ennoblesˈeɾ,s
ensombɾˈeses,ensombɾesˈeɾ,s
oskuɾˈeskas,oskuɾesˈeɾ,s
ɾetɾadˈuskan,ɾetɾadusˈiɾ,s
akontˈeses,akontesˈeɾ,s
intelˈixo,inteliçˈiɾ,ç
palidˈesko,palidesˈeɾ,s
akonteskˈajs,akontesˈeɾ,s
destoɾsˈajs,destoɾsˈeɾ,ɾs
kodiɾˈiçe,kodiɾiçˈiɾ,ç
ɡwaɾˈesko,ɡwaɾesˈeɾ,s
desobedeskˈajs,desobedesˈeɾ,s
enkoxˈamos,enkoçˈeɾ,ç
ɡwaɾˈese,ɡwaɾesˈeɾ,s
floɾˈeskas,floɾesˈeɾ,s
ɾestablˈesen,ɾestablesˈeɾ,s
enkoxˈajs,enkoçˈeɾ,ç
supˈonɡa,suponˈeɾ,n
pɾeestableskˈamos,pɾeestablesˈeɾ,s
ɾejntɾodˈusen,ɾejntɾodusˈiɾ,s
konbˈeɾçes,konbeɾçˈiɾ,ɾç
kodiɾˈixa,kodiɾiçˈiɾ,ç
emˈulçe,emulçˈeɾ,lç
desbanˈesen,desbanesˈeɾ,s
tɾansixˈajs,tɾansiçˈiɾ,ç
substɾˈajɡo,substɾaˈeɾ,
palidˈesen,palidesˈeɾ,s
ɾetɾadˈuse,ɾetɾadusˈiɾ,s
abstɾˈaes,abstɾaˈeɾ,
ɾedˈiɡas,ɾedesˈiɾ,s
indispˈonɡa,indisponˈeɾ,n
ɾebenɡˈamos,ɾebenˈiɾ,n
siɾkunbenˈimos,siɾkunbenˈiɾ,n
pɾeestablesˈemos,pɾeestablesˈeɾ,s
ɾebeɾdesˈemos,ɾebeɾdesˈeɾ,s
despaɾˈese,despaɾesˈeɾ,s
adolˈeskan,adolesˈeɾ,s
enkˈoçen,enkoçˈeɾ,ç
dedˈuskas,dedusˈiɾ,s
enɡɾandeskˈajs,enɡɾandesˈeɾ,s
desobedˈesen,desobedesˈeɾ,s
enteɾnˈeskas,enteɾnesˈeɾ,s
kondˈuse,kondusˈiɾ,s
enkaʃˈeskan,enkaʃesˈeɾ,s
sobɾekˈoxa,sobɾekoçˈeɾ,ç
uɾçˈis,uɾçˈiɾ,ɾç
nˈaskan,nasˈeɾ,s
ɾekosˈemos,ɾekosˈeɾ,s
ɾekosˈamos,ɾekosˈeɾ,s
desbanesˈejs,desbanesˈeɾ,s
dibˈeɾxas,dibeɾçˈiɾ,ɾç
siɾkunbjˈenen,siɾkunbenˈiɾ,n
enfebɾesˈejs,enfebɾesˈeɾ,s
despaɾˈeskan,despaɾesˈeɾ,s
nˈase,nasˈeɾ,s
ɾebenˈis,ɾebenˈiɾ,n
kodiɾixˈajs,kodiɾiçˈiɾ,ç
ɾekwˈesas,ɾekosˈeɾ,s
uɾxˈamos,uɾçˈiɾ,ɾç
kaɾˈesko,kaɾesˈeɾ,s
