form,lemma,lemma_sf
konbˈensan,konbensˈeɾ,ns
koçˈemos,koçˈeɾ,ç
kontenˈejs,kontenˈeɾ,n
enaɾdˈeses,enaɾdesˈeɾ,s
enneɡɾˈese,enneɡɾesˈeɾ,s
kontenɡˈamos,kontenˈeɾ,n
astɾˈinxas,astɾinçˈiɾ,nç
kolˈixo,koleçˈiɾ,ç
komponɡˈamos,komponˈeɾ,n
adʃˈaskas,adʃasˈeɾ,s
enmoˈeska,enmoesˈeɾ,s
ɾekomponˈejs,ɾekomponˈeɾ,n
ɾetˈenɡan,ɾetenˈeɾ,n
padˈeskas,padesˈeɾ,s
enseɡesˈejs,enseɡesˈeɾ,s
abstɾajɡˈamos,abstɾaˈeɾ,
lusˈimos,lusˈiɾ,s
kompˈonɡo,komponˈeɾ,n
xˈake,xakˈiɾ,k
konˈoska,konosˈeɾ,s
lˈuskan,lusˈiɾ,s
enseɡˈeses,enseɡesˈeɾ,s
pɾopˈonɡan,pɾoponˈeɾ,n
abjˈene,abenˈiɾ,n
indˈuses,indusˈiɾ,s
mˈulçe,mulçˈeɾ,lç
enneɡɾˈesko,enneɡɾesˈeɾ,s
emˈeɾçe,emeɾçˈeɾ,ɾç
ɾefulçˈimos,ɾefulçˈiɾ,lç
pɾobenˈis,pɾobenˈiɾ,n
salˈimos,salˈiɾ,l
salˈis,salˈiɾ,l
pɾopˈones,pɾoponˈeɾ,n
enɾikˈeskan,enɾikesˈeɾ,s
bˈalen,balˈeɾ,l
debjˈenen,debenˈiɾ,n
enmoˈeskas,enmoesˈeɾ,s
tɾasponˈejs,tɾasponˈeɾ,n
tɾaspˈone,tɾasponˈeɾ,n
adʃasˈejs,adʃasˈeɾ,s
ɾekˈoçen,ɾekoçˈeɾ,ç
ɾekompˈonɡan,ɾekomponˈeɾ,n
abstɾˈajɡas,abstɾaˈeɾ,
balɡˈamos,balˈeɾ,l
ɾekompˈonɡa,ɾekomponˈeɾ,n
ataɾdeskˈamos,ataɾdesˈeɾ,s
ɾetˈenɡas,ɾetenˈeɾ,n
amanˈeskas,amanesˈeɾ,s
aflˈixa,afliçˈiɾ,ç
enluskˈajs,enlusˈiɾ,s
ataɾdˈeskan,ataɾdesˈeɾ,s
palidˈeska,palidesˈeɾ,s
desaɡɾadˈesko,desaɡɾadesˈeɾ,s
ɡwaɾeskˈajs,ɡwaɾesˈeɾ,s
enfuɾˈeskas,enfuɾesˈeɾ,s
kolˈixas,koleçˈiɾ,ç
mulxˈajs,mulçˈeɾ,lç
enbanˈesen,enbanesˈeɾ,s
dedˈuskan,dedusˈiɾ,s
enseɡˈeska,enseɡesˈeɾ,s
enseɡeskˈajs,enseɡesˈeɾ,s
enɾikˈeses,enɾikesˈeɾ,s
abstɾaˈejs,abstɾaˈeɾ,
konbˈense,konbensˈeɾ,ns
ɾetenɡˈajs,ɾetenˈeɾ,n
elˈiçen,eliçˈiɾ,ç
ɾefˈulçes,ɾefulçˈiɾ,lç
debˈenɡan,debenˈiɾ,n
ɾetenˈejs,ɾetenˈeɾ,n
desapaɾˈesko,desapaɾesˈeɾ,s
kontˈenɡas,kontenˈeɾ,n
korˈixan,koreçˈiɾ,ç
punçˈimos,punçˈiɾ,nç
abjˈenen,abenˈiɾ,n
enneɡɾˈeska,enneɡɾesˈeɾ,s
ɾestɾˈinxo,ɾestɾinçˈiɾ,nç
enlˈuse,enlusˈiɾ,s
debˈenɡo,debenˈiɾ,n
palidˈesko,palidesˈeɾ,s
kˈoçen,koçˈeɾ,ç
xˈakes,xakˈiɾ,k
ɡwaɾˈesko,ɡwaɾesˈeɾ,s
kontɾadˈisen,kontɾadesˈiɾ,s
tɾaspˈonɡa,tɾasponˈeɾ,n
pˈunxas,punçˈiɾ,nç
ɡwaɾˈese,ɡwaɾesˈeɾ,s
indˈusko,indusˈiɾ,s
enfuɾesˈemos,enfuɾesˈeɾ,s
maldˈise,maldesˈiɾ,s
ɾefˈulxo,ɾefulçˈiɾ,lç
enneɡɾeskˈamos,enneɡɾesˈeɾ,s
ɾekompˈonɡas,ɾekomponˈeɾ,n
indusˈis,indusˈiɾ,s
desfaboɾesˈemos,desfaboɾesˈeɾ,s
komponˈejs,komponˈeɾ,n
desbanˈesen,desbanesˈeɾ,s
