form,lemma,lemma_sf
obtenɡˈamos,obtenˈeɾ,n
konˈoska,konosˈeɾ,s
mˈulçe,mulçˈeɾ,lç
meɾˈesen,meɾesˈeɾ,s
infɾˈinçen,infɾinçˈiɾ,nç
supeɾbenɡˈamos,supeɾbenˈiɾ,n
mulxˈajs,mulçˈeɾ,lç
meɾˈeskas,meɾesˈeɾ,s
kompadˈeska,kompadesˈeɾ,s
supeɾbjˈene,supeɾbenˈiɾ,n
meɾˈeskan,meɾesˈeɾ,s
meɾˈesko,meɾesˈeɾ,s
kompadˈeskas,kompadesˈeɾ,s
obtˈenɡas,obtenˈeɾ,n
meɾesˈejs,meɾesˈeɾ,s
mˈulxo,mulçˈeɾ,lç
supeɾbenˈis,supeɾbenˈiɾ,n
kompadeskˈamos,kompadesˈeɾ,s
meɾeskˈajs,meɾesˈeɾ,s
kompadˈesen,kompadesˈeɾ,s
kompadˈese,kompadesˈeɾ,s
infɾinxˈajs,infɾinçˈiɾ,nç
kompadeskˈajs,kompadesˈeɾ,s
obtˈenɡa,obtenˈeɾ,n
mulçˈejs,mulçˈeɾ,lç
mulçˈemos,mulçˈeɾ,lç
infɾˈinxan,infɾinçˈiɾ,nç
infɾˈinxo,infɾinçˈiɾ,nç
obtenɡˈajs,obtenˈeɾ,n
infɾˈinxas,infɾinçˈiɾ,nç
kompadˈesko,kompadesˈeɾ,s
supeɾbˈenɡo,supeɾbenˈiɾ,n
infɾˈinçe,infɾinçˈiɾ,nç
infɾˈinçes,infɾinçˈiɾ,nç
infɾˈinxa,infɾinçˈiɾ,nç
supeɾbˈenɡa,supeɾbenˈiɾ,n
infɾinçˈis,infɾinçˈiɾ,nç
kompadesˈejs,kompadesˈeɾ,s
meɾesˈemos,meɾesˈeɾ,s
obtˈenɡan,obtenˈeɾ,n
infɾinxˈamos,infɾinçˈiɾ,nç
konˈose,konosˈeɾ,s
kompadˈeses,kompadesˈeɾ,s
konoskˈajs,konosˈeɾ,s
konˈosko,konosˈeɾ,s
supeɾbˈenɡas,supeɾbenˈiɾ,n
mˈulxan,mulçˈeɾ,lç
meɾˈese,meɾesˈeɾ,s
supeɾbjˈenen,supeɾbenˈiɾ,n
supeɾbenɡˈajs,supeɾbenˈiɾ,n
obtenˈejs,obtenˈeɾ,n
konˈoskan,konosˈeɾ,s
supeɾbˈenɡan,supeɾbenˈiɾ,n
obtjˈene,obtenˈeɾ,n
konˈoses,konosˈeɾ,s
mulxˈamos,mulçˈeɾ,lç
mˈulçes,mulçˈeɾ,lç
meɾˈeska,meɾesˈeɾ,s
meɾeskˈamos,meɾesˈeɾ,s
konoskˈamos,konosˈeɾ,s
mˈulxa,mulçˈeɾ,lç
kompadesˈemos,kompadesˈeɾ,s
obtenˈemos,obtenˈeɾ,n
konˈoskas,konosˈeɾ,s
konˈosen,konosˈeɾ,s
obtˈenɡo,obtenˈeɾ,n
infɾinçˈimos,infɾinçˈiɾ,nç
kompadˈeskan,kompadesˈeɾ,s
obtjˈenes,obtenˈeɾ,n
supeɾbenˈimos,supeɾbenˈiɾ,n
konosˈejs,konosˈeɾ,s
konosˈemos,konosˈeɾ,s
meɾˈeses,meɾesˈeɾ,s
mˈulxas,mulçˈeɾ,lç
mˈulçen,mulçˈeɾ,lç
supeɾbjˈenes,supeɾbenˈiɾ,n
obtjˈenen,obtenˈeɾ,n
