form,lemma,lemma_sf
konbˈensan,konbensˈeɾ,ns
emˈunçen,emunçˈeɾ,nç
ofɾˈeskan,ofɾesˈeɾ,s
emˈunçe,emunçˈeɾ,nç
debjˈenen,debenˈiɾ,n
bendesˈis,bendesˈiɾ,s
ensoɾdˈese,ensoɾdesˈeɾ,s
enkanˈesko,enkanesˈeɾ,s
enkanˈeskan,enkanesˈeɾ,s
bendˈise,bendesˈiɾ,s
konbˈense,konbensˈeɾ,ns
debˈenɡan,debenˈiɾ,n
ensoɾdˈeses,ensoɾdesˈeɾ,s
debˈenɡo,debenˈiɾ,n
bendˈiɡo,bendesˈiɾ,s
ensoɾdeskˈamos,ensoɾdesˈeɾ,s
emˈunxa,emunçˈeɾ,nç
emˈunxan,emunçˈeɾ,nç
konbensˈejs,konbensˈeɾ,ns
enkanˈesen,enkanesˈeɾ,s
bendiɡˈamos,bendesˈiɾ,s
debenˈis,debenˈiɾ,n
konbensˈemos,konbensˈeɾ,ns
debjˈene,debenˈiɾ,n
emˈunxas,emunçˈeɾ,nç
debenˈimos,debenˈiɾ,n
konbensˈajs,konbensˈeɾ,ns
konbˈensen,konbensˈeɾ,ns
enkanˈese,enkanesˈeɾ,s
bendˈises,bendesˈiɾ,s
enkanˈeskas,enkanesˈeɾ,s
emˈunçes,emunçˈeɾ,nç
ensoɾdˈesko,ensoɾdesˈeɾ,s
debˈenɡa,debenˈiɾ,n
bendˈisen,bendesˈiɾ,s
bendˈiɡa,bendesˈiɾ,s
bendiɡˈajs,bendesˈiɾ,s
ofɾeskˈajs,ofɾesˈeɾ,s
ofɾˈeskas,ofɾesˈeɾ,s
ofɾesˈejs,ofɾesˈeɾ,s
konbensˈamos,konbensˈeɾ,ns
ensoɾdˈeskan,ensoɾdesˈeɾ,s
debenɡˈajs,debenˈiɾ,n
enkaneskˈajs,enkanesˈeɾ,s
emunçˈemos,emunçˈeɾ,nç
bendˈiɡas,bendesˈiɾ,s
konbˈenso,konbensˈeɾ,ns
konbˈensa,konbensˈeɾ,ns
ensoɾdˈeska,ensoɾdesˈeɾ,s
konbˈenses,konbensˈeɾ,ns
ofɾˈeska,ofɾesˈeɾ,s
debˈenɡas,debenˈiɾ,n
konbˈensas,konbensˈeɾ,ns
ofɾeskˈamos,ofɾesˈeɾ,s
ofɾˈesen,ofɾesˈeɾ,s
ensoɾdˈesen,ensoɾdesˈeɾ,s
bendˈiɡan,bendesˈiɾ,s
enkaneskˈamos,enkanesˈeɾ,s
enkanesˈemos,enkanesˈeɾ,s
emunxˈamos,emunçˈeɾ,nç
ofɾˈese,ofɾesˈeɾ,s
debenɡˈamos,debenˈiɾ,n
emˈunxo,emunçˈeɾ,nç
debjˈenes,debenˈiɾ,n
emunçˈejs,emunçˈeɾ,nç
ensoɾdesˈejs,ensoɾdesˈeɾ,s
ensoɾdeskˈajs,ensoɾdesˈeɾ,s
enkanesˈejs,enkanesˈeɾ,s
enkanˈeska,enkanesˈeɾ,s
ensoɾdesˈemos,ensoɾdesˈeɾ,s
ofɾˈeses,ofɾesˈeɾ,s
enkanˈeses,enkanesˈeɾ,s
bendesˈimos,bendesˈiɾ,s
ofɾesˈemos,ofɾesˈeɾ,s
ofɾˈesko,ofɾesˈeɾ,s
ensoɾdˈeskas,ensoɾdesˈeɾ,s
emunxˈajs,emunçˈeɾ,nç
