form,lemma,lemma_sf
antedˈiɡo,antedesˈiɾ,s
antedˈiɡas,antedesˈiɾ,s
enɾikˈeskan,enɾikesˈeɾ,s
antedesˈimos,antedesˈiɾ,s
palidˈeska,palidesˈeɾ,s
antedˈiɡa,antedesˈiɾ,s
enɾikˈeses,enɾikesˈeɾ,s
antedˈises,antedesˈiɾ,s
palidˈesko,palidesˈeɾ,s
maldˈise,maldesˈiɾ,s
ɾeabastˈesko,ɾeabastesˈeɾ,s
palidˈesen,palidesˈeɾ,s
enalteskˈamos,enaltesˈeɾ,s
maldˈiɡo,maldesˈiɾ,s
enɾikˈese,enɾikesˈeɾ,s
enɾikesˈemos,enɾikesˈeɾ,s
enaltˈesen,enaltesˈeɾ,s
enɾikˈesko,enɾikesˈeɾ,s
mˈulsa,mulsˈeɾ,ls
mˈulso,mulsˈeɾ,ls
enɾikˈesen,enɾikesˈeɾ,s
enaltesˈejs,enaltesˈeɾ,s
antediɡˈajs,antedesˈiɾ,s
enalteskˈajs,enaltesˈeɾ,s
mˈulsen,mulsˈeɾ,ls
ɾeabastˈeskas,ɾeabastesˈeɾ,s
mulsˈajs,mulsˈeɾ,ls
ɾeabastesˈemos,ɾeabastesˈeɾ,s
enaltˈesko,enaltesˈeɾ,s
enaltˈese,enaltesˈeɾ,s
mulsˈemos,mulsˈeɾ,ls
maldˈiɡas,maldesˈiɾ,s
enaltˈeska,enaltesˈeɾ,s
maldˈiɡa,maldesˈiɾ,s
maldˈises,maldesˈiɾ,s
enaltˈeses,enaltesˈeɾ,s
maldiɡˈamos,maldesˈiɾ,s
enɾikeskˈajs,enɾikesˈeɾ,s
maldesˈimos,maldesˈiɾ,s
maldˈisen,maldesˈiɾ,s
palidˈeskan,palidesˈeɾ,s
mˈulse,mulsˈeɾ,ls
enaltˈeskan,enaltesˈeɾ,s
palidˈeskas,palidesˈeɾ,s
mˈulsan,mulsˈeɾ,ls
ɾeabastˈeska,ɾeabastesˈeɾ,s
palidesˈejs,palidesˈeɾ,s
ɾeabastˈesen,ɾeabastesˈeɾ,s
mˈulsas,mulsˈeɾ,ls
ɾeabastesˈejs,ɾeabastesˈeɾ,s
enɾikˈeskas,enɾikesˈeɾ,s
mulsˈejs,mulsˈeɾ,ls
antediɡˈamos,antedesˈiɾ,s
mulsˈamos,mulsˈeɾ,ls
enɾikeskˈamos,enɾikesˈeɾ,s
palidˈese,palidesˈeɾ,s
palidesˈemos,palidesˈeɾ,s
maldesˈis,maldesˈiɾ,s
ɾeabastˈeses,ɾeabastesˈeɾ,s
enɾikˈeska,enɾikesˈeɾ,s
maldiɡˈajs,maldesˈiɾ,s
palideskˈajs,palidesˈeɾ,s
antedˈiɡan,antedesˈiɾ,s
antedˈisen,antedesˈiɾ,s
ɾeabastˈeskan,ɾeabastesˈeɾ,s
antedˈise,antedesˈiɾ,s
enaltˈeskas,enaltesˈeɾ,s
enaltesˈemos,enaltesˈeɾ,s
mˈulses,mulsˈeɾ,ls
palideskˈamos,palidesˈeɾ,s
maldˈiɡan,maldesˈiɾ,s
ɾeabasteskˈajs,ɾeabastesˈeɾ,s
ɾeabastˈese,ɾeabastesˈeɾ,s
antedesˈis,antedesˈiɾ,s
palidˈeses,palidesˈeɾ,s
ɾeabasteskˈamos,ɾeabastesˈeɾ,s
enɾikesˈejs,enɾikesˈeɾ,s
