model,num_er_errors,num_er_correct,total_er_predictions,er_present_in_verb_class,er_not_present_in_verb_class,er_error_rate,accuracy,accuracy_present_in_verb_class
10L_90NL_1_1,1392,3228,4620,1262,130,30.13,69.87,90.66
10L_90NL_1_2,3878,742,4620,3870,8,83.94,16.06,99.79
10L_90NL_1_3,3771,849,4620,3763,8,81.62,18.38,99.79
10L_90NL_1_4,140,4480,4620,0,140,3.03,96.97,0.0
10L_90NL_2_1,1175,3445,4620,1164,11,25.43,74.57,99.06
10L_90NL_2_2,3864,756,4620,3847,17,83.64,16.36,99.56
10L_90NL_2_3,3907,713,4620,3906,1,84.57,15.43,99.97
10L_90NL_2_4,941,3679,4620,875,66,20.37,79.63,92.99
10L_90NL_3_1,701,3919,4620,630,71,15.17,84.83,89.87
10L_90NL_3_2,3816,804,4620,3803,13,82.6,17.4,99.66
10L_90NL_3_3,3991,629,4620,3986,5,86.39,13.61,99.87
10L_90NL_3_4,1347,3273,4620,1298,49,29.16,70.84,96.36
47.82916666666666
