idx,tgt,lemma,lemma_sf,tgt_sf
0,inflˈixan,infliçˈiɾ,ç,x
1,ɾekwˈesa,ɾekosˈeɾ,s,s
2,imponˈemos,imponˈeɾ,n,n
3,deskompˈonɡa,deskomponˈeɾ,n,nɡ
4,ɾesuɾçˈimos,ɾesuɾçˈiɾ,ɾç,ɾç
5,ensoɾdeskˈamos,ensoɾdesˈeɾ,s,sk
6,ɾetwˈeɾso,ɾetoɾsˈeɾ,ɾs,ɾs
7,dekɾeskˈamos,dekɾesˈeɾ,s,sk
8,pɾotˈeçen,pɾoteçˈeɾ,ç,ç
9,supˈone,suponˈeɾ,n,n
10,ɾeapaɾeskˈamos,ɾeapaɾesˈeɾ,s,sk
11,ʃˈaskas,ʃasˈeɾ,s,sk
12,estɾemesˈemos,estɾemesˈeɾ,s,s
13,ɾebeɾdˈeska,ɾebeɾdesˈeɾ,s,sk
14,ˈaɡa,asˈeɾ,s,ɡ
15,destwˈeɾses,destoɾsˈeɾ,ɾs,ɾs
16,pɾotˈeçes,pɾoteçˈeɾ,ç,ç
17,enɡɾandesˈejs,enɡɾandesˈeɾ,s,s
18,enbilˈesen,enbilesˈeɾ,s,s
19,umedˈeska,umedesˈeɾ,s,sk
20,ɾeelˈixo,ɾeeleçˈiɾ,ç,x
21,detjˈenes,detenˈeɾ,n,n
22,abastˈeska,abastesˈeɾ,s,sk
23,emˈunxa,emunçˈeɾ,nç,nx
24,enaltˈeskas,enaltesˈeɾ,s,sk
25,ɾejmpˈonen,ɾejmponˈeɾ,n,n
26,balbusˈimos,balbusˈiɾ,s,s
27,enkˈoxa,enkoçˈeɾ,ç,x
28,intelˈixa,inteliçˈiɾ,ç,x
29,ɾeˈases,ɾeasˈeɾ,s,s
30,obskuɾˈeska,obskuɾesˈeɾ,s,sk
31,kˈoses,kosˈeɾ,s,s
32,empodɾˈeska,empodɾesˈeɾ,s,sk
33,ɾedˈuse,ɾedusˈiɾ,s,s
34,enbexˈeska,enbexesˈeɾ,s,sk
35,abstˈeɾxa,absteɾçˈeɾ,ɾç,ɾx
36,ɾˈuxo,ɾuçˈiɾ,ç,x
37,pɾediɡˈamos,pɾedesˈiɾ,s,ɡ
38,kontɾaaɡˈajs,kontɾaasˈeɾ,s,ɡ
39,adoɾmeskˈamos,adoɾmesˈeɾ,s,sk
40,edusˈis,edusˈiɾ,s,s
41,ofɾˈeses,ofɾesˈeɾ,s,s
42,entɾetjˈenen,entɾetenˈeɾ,n,n
43,ɾuxˈajs,ɾuçˈiɾ,ç,x
44,kompˈunxa,kompunçˈiɾ,nç,nx
45,ɾeelixˈamos,ɾeeleçˈiɾ,ç,x
46,akonteskˈamos,akontesˈeɾ,s,sk
47,ɾeelˈiçe,ɾeeleçˈiɾ,ç,ç
48,ɾesˈaɾsan,ɾesaɾsˈiɾ,ɾs,ɾs
49,aɡɾadˈeses,aɡɾadesˈeɾ,s,s
50,ekibalˈejs,ekibalˈeɾ,l,l
51,enteɾnˈeska,enteɾnesˈeɾ,s,sk
52,floɾˈese,floɾesˈeɾ,s,s
53,enbilˈesen,enbilesˈeɾ,s,s
54,embeʃˈese,embeʃesˈeɾ,s,s
55,ɾetɾadˈusen,ɾetɾadusˈiɾ,s,s
56,ɾobustesˈejs,ɾobustesˈeɾ,s,s
57,enlentˈesen,enlentesˈeɾ,s,s
58,empobɾesˈemos,empobɾesˈeɾ,s,s
59,ekibˈalɡas,ekibalˈeɾ,l,lɡ
60,fˈulçen,fulçˈiɾ,lç,lç
61,ɾobustˈeska,ɾobustesˈeɾ,s,sk
62,komplasˈejs,komplasˈeɾ,s,s
63,peɾtenˈese,peɾtenesˈeɾ,s,s
64,peɾeskˈamos,peɾesˈeɾ,s,sk
65,kondˈuska,kondusˈiɾ,s,sk
66,derelˈinka,derelinkˈiɾ,nk,nk
67,desdˈises,desdesˈiɾ,s,s
68,subʃasˈemos,subʃasˈeɾ,s,s
69,ˈase,asˈiɾ,s,s
70,despɾotˈexan,despɾoteçˈeɾ,ç,x
71,ɾepˈonɡa,ɾeponˈeɾ,n,nɡ
72,kondˈuses,kondusˈiɾ,s,s
73,kompˈunxa,kompunçˈiɾ,nç,nx
74,apetˈesen,apetesˈeɾ,s,s
75,umedˈeskas,umedesˈeɾ,s,sk
76,desobedesˈemos,desobedesˈeɾ,s,s
77,akoçˈemos,akoçˈeɾ,ç,ç
78,ɾobustˈeses,ɾobustesˈeɾ,s,s
79,despɾotˈexa,despɾoteçˈeɾ,ç,x
80,peɾtenˈeska,peɾtenesˈeɾ,s,sk
81,edusˈis,edusˈiɾ,s,s
82,lanɡideskˈamos,lanɡidesˈeɾ,s,sk
83,ɾeapaɾˈese,ɾeapaɾesˈeɾ,s,s
84,obedesˈejs,obedesˈeɾ,s,s
85,deponˈemos,deponˈeɾ,n,n
86,konbalˈesen,konbalesˈeɾ,s,s
87,obedˈeskas,obedesˈeɾ,s,sk
88,ɾemˈeskan,ɾemesˈeɾ,s,sk
89,mˈuçes,muçˈiɾ,ç,ç
90,enɾoxˈeska,enɾoxesˈeɾ,s,sk
91,ofɾesˈejs,ofɾesˈeɾ,s,s
92,elˈixo,eleçˈiɾ,ç,x
93,fulxˈajs,fulçˈiɾ,lç,lx
94,entɾebenˈis,entɾebenˈiɾ,n,n
95,ɾeponɡˈajs,ɾeponˈeɾ,n,nɡ
96,enkoçˈejs,enkoçˈeɾ,ç,ç
97,konbjˈenes,konbenˈiɾ,n,n
98,tɾˈae,tɾaˈeɾ,,
99,subbˈenɡan,subbenˈiɾ,n,nɡ
100,abdˈuska,abdusˈiɾ,s,sk
101,aboresˈemos,aboresˈeɾ,s,s
102,ɾesˈaɾses,ɾesaɾsˈiɾ,ɾs,ɾs
103,neɡlˈixan,neɡliçˈiɾ,ç,x
104,ɾeabastesˈemos,ɾeabastesˈeɾ,s,s
105,aduskˈajs,adusˈiɾ,s,sk
106,tɾaduskˈamos,tɾadusˈiɾ,s,sk
107,ɾedˈisen,ɾedesˈiɾ,s,s
108,konflˈixo,konfliçˈiɾ,ç,x
109,aɡɾadesˈejs,aɡɾadesˈeɾ,s,s
110,ɾetoɾsˈajs,ɾetoɾsˈeɾ,ɾs,ɾs
111,ensombɾˈesko,ensombɾesˈeɾ,s,sk
112,eɾixˈamos,eɾiçˈiɾ,ç,x
113,ɾekonbjˈenes,ɾekonbenˈiɾ,n,n
114,desɡwaɾneskˈamos,desɡwaɾnesˈeɾ,s,sk
115,entɾebenɡˈajs,entɾebenˈiɾ,n,nɡ
116,konflˈixo,konfliçˈiɾ,ç,x
117,umedˈeska,umedesˈeɾ,s,sk
118,sobɾebˈenɡas,sobɾebenˈiɾ,n,nɡ
119,eɾˈiçe,eɾiçˈiɾ,ç,ç
120,ennoblˈeska,ennoblesˈeɾ,s,sk
121,inflixˈamos,infliçˈiɾ,ç,x
122,emˈunçes,emunçˈeɾ,nç,nç
123,ˈasen,asˈiɾ,s,s
124,ˈunxan,unçˈiɾ,nç,nx
125,tɾadˈusko,tɾadusˈiɾ,s,sk
126,ɾeelixˈajs,ɾeeleçˈiɾ,ç,x
127,ɾeabastˈeses,ɾeabastesˈeɾ,s,s
