idx,tgt,tgt_sf
0,ɾekonosˈemos,s
1,konfliçˈis,ç
2,ɾekˈajɡa,jɡ
3,peɾesˈemos,s
4,ɡwaɾneskˈajs,sk
5,ɾekondˈusko,sk
6,konbalˈeses,s
7,kaɾesˈemos,s
8,sobɾepˈonɡas,nɡ
9,ɾejmpˈones,n
10,inteɾdˈiɡo,ɡ
11,seduskˈajs,sk
12,esklaɾˈeska,sk
13,adbenˈis,n
14,tɾansiçˈis,ç
15,faboɾˈesen,s
16,embɾutˈese,s
17,xakˈis,k
18,entumesˈejs,s
19,sobɾebenˈimos,n
20,mˈulse,ls
21,kˈajɡa,jɡ
22,ɾestablˈesko,sk
23,desdesˈimos,s
24,ɡwaɾˈeska,sk
25,desdˈiɡan,ɡ
26,fɾˈunsa,ns
27,pɾodˈuska,sk
28,konflˈiçen,ç
29,konbˈeɾçen,ɾç
30,asˈemos,s
31,abenɡˈajs,nɡ
32,sedˈuska,sk
33,indisponɡˈajs,nɡ
34,kondˈiɡa,ɡ
35,suɾxˈamos,ɾx
36,punçˈis,nç
37,desɡwaɾnˈeska,sk
38,kaɾˈese,s
39,kompˈonɡa,nɡ
40,arˈesko,sk
41,indispˈonɡa,nɡ
42,dispˈonen,n
43,umedeskˈamos,sk
44,infɾˈinçen,nç
45,ɾekwˈesas,s
46,enkaɾˈeskan,sk
47,pospˈone,n
48,pɾopˈonɡa,nɡ
49,peɾmanˈeska,sk
50,ɾejmpˈonɡa,nɡ
51,ɾekɾudˈeska,sk
52,ʃasˈemos,s
53,delˈinko,nk
54,pɾedispˈonɡan,nɡ
55,eskaˈeskas,sk
56,eksiçˈimos,ç
57,enmoˈesen,s
58,konbjˈenes,n
59,ɾekˈajɡas,jɡ
60,anteponɡˈajs,nɡ
61,astɾinxˈamos,nx
62,konbˈensa,ns
63,espˈaɾse,ɾs
64,komplaskˈamos,sk
65,tɾanspˈonɡan,nɡ
66,akoçˈejs,ç
67,mantjˈene,n
68,enmudesˈejs,s
69,sˈalɡo,lɡ
70,sumˈeɾçen,ɾç
71,supeɾponˈemos,n
72,konbeɾxˈajs,ɾx
73,subbˈenɡa,nɡ
74,ɾejmpˈonɡo,nɡ
75,kompunxˈajs,nx
76,deskomponˈemos,n
77,indusˈis,s
78,padˈeskan,sk
79,pɾoponɡˈajs,nɡ
80,akˈoçe,ç
81,indisponɡˈajs,nɡ
82,entɾisteskˈamos,sk
83,tɾansixˈajs,x
84,enkaɾˈesko,sk
85,konbeɾxˈamos,ɾx
86,eskaˈeska,sk
87,ɾebenˈimos,n
88,desˈaɡas,ɡ
89,enbexˈesen,s
90,tɾanspˈonɡan,nɡ
91,akˈoxan,x
92,ɾestɾˈinçes,nç
93,ɾexubeneskˈajs,sk
94,empodɾˈeskas,sk
95,desnaskˈamos,sk
96,fosfoɾˈesen,s
97,ɾelˈuska,sk
98,kompˈones,n
99,ensombɾesˈemos,s
100,sobɾebjˈenen,n
101,mˈuxas,x
102,mantenɡˈajs,nɡ
103,ɾeabasteskˈamos,sk
104,pospˈonɡo,nɡ
105,konbˈenɡa,nɡ
106,ɾemˈeses,s
107,xˈakan,k
108,enbanˈese,s
109,ɡwaɾneskˈajs,sk
110,pɾopˈonɡo,nɡ
111,empalidˈeska,sk
112,ɾekˈajɡa,jɡ
113,ɾenˈaskan,sk
114,pɾesuponˈemos,n
115,abdˈusko,sk
116,desnˈaskas,sk
117,deskompˈone,n
118,enɾaɾˈeska,sk
119,desasˈejs,s
120,eksponɡˈamos,nɡ
121,indˈuska,sk
122,inflˈixa,x
123,enɾoxˈeska,sk
124,entɾetjˈenes,n
125,enlentˈesko,sk
126,padˈeses,s
127,fˈinxa,nx
128,ɡwaɾˈesen,s
129,akontˈeses,s
130,kontɾabˈenɡa,nɡ
131,inflˈixas,x
132,kodiɾˈixa,x
133,kondusˈimos,s
134,dekˈajɡa,jɡ
135,balbˈuskas,sk
136,enduɾˈesen,s
137,enbexˈesko,sk
138,enbanˈesko,sk
139,pɾotexˈamos,x
140,fɾunsˈamos,ns
141,tɾanspˈonɡo,nɡ
142,ˈunçen,nç
143,ɾesuɾxˈamos,ɾx
144,pɾotˈexan,x
145,entumeskˈajs,sk
146,dekɾˈeskas,sk
147,siɾkunbˈenɡa,nɡ
148,ɾuxˈajs,x
149,adoleskˈamos,sk
150,entɾistˈeskan,sk
151,ɾetɾajɡˈamos,jɡ
152,sˈalɡan,lɡ
153,dibeɾxˈajs,ɾx
154,enaɾdesˈejs,s
155,enɡɾandesˈemos,s
156,ɾˈuxas,x
157,infɾinçˈis,nç
158,muçˈis,ç
159,indusˈis,s
160,ɾepɾoduskˈamos,sk
161,eskaɾnˈeska,sk
162,ɾejntɾodˈuses,s
163,adbenɡˈamos,nɡ
164,impˈone,n
165,aflˈixo,x
166,impˈonɡas,nɡ
167,ennobleskˈajs,sk
168,aresˈimos,s
169,sustɾajɡˈamos,jɡ
170,kompˈunçes,nç
171,kompˈones,n
172,ɾesˈaɾses,ɾs
173,mˈuxan,x
174,peɾtenˈeskan,sk
175,enkaɾeskˈamos,sk
176,fˈinxas,nx
177,ɾeeleçˈis,ç
178,pɾobˈenɡo,nɡ
179,disponˈemos,n
180,desdˈises,s
181,maldesˈimos,s
182,kondˈiɡas,ɡ
183,desfaboɾesˈejs,s
184,ɾekajɡˈajs,jɡ
185,ɾekwˈesan,s
186,dekaˈemos,
187,despɾotˈeçes,ç
188,koleçˈimos,ç
189,pɾopˈonɡa,nɡ
190,fulçˈimos,lç
191,enaɾdˈeses,s
192,adˈusko,sk
193,esklaɾˈeska,sk
194,konbˈenso,ns
195,xˈakas,k
196,ˈunxa,nx
197,delˈinka,nk
198,detɾˈaes,
199,obskuɾesˈejs,s
200,enbanˈesko,sk
201,ɾestɾˈinçe,nç
202,pɾoduskˈamos,sk
203,supeɾbenɡˈamos,nɡ
204,enɾaɾˈesko,sk
205,balɡˈajs,lɡ
206,apaɾesˈejs,s
207,aɡɾadˈeskan,sk
208,fɾˈunses,ns
209,ɾefˈulxa,lx
210,siɾkunbˈenɡa,nɡ
211,enteɾnˈese,s
212,supeɾbˈenɡo,nɡ
213,enneɡɾˈese,s
214,enɾoxˈeska,sk
215,astɾˈinxan,nx
216,ensoɾdˈese,s
217,kodiɾˈixa,x
218,kompunxˈamos,nx
219,ˈunxas,nx
220,intɾodˈusko,sk
221,konflˈixa,x
222,desaɡɾadˈeska,sk
223,desfaboɾˈesen,s
224,pɾotˈexo,x
225,neɡɾˈeskas,sk
226,ɾepɾodˈusen,s
227,ɾesplandˈeska,sk
228,adˈuskan,sk
229,abˈenɡas,nɡ
230,establˈeskas,sk
231,pɾoponˈemos,n
232,satisfˈaɡas,ɡ
233,ɾetwˈeɾsas,ɾs
234,ɾetoɾsˈejs,ɾs
235,satisfasˈemos,s
236,ensoɾdeskˈamos,sk
237,enoɾɡuʃˈeska,sk
238,eskaesˈejs,s
239,ɡwaɾˈeska,sk
240,ʃˈaskan,sk
241,fɾˈunsas,ns
242,salɡˈajs,lɡ
243,ɡwaɾˈeska,sk
244,ɾebjˈenen,n
245,depˈonɡo,nɡ
246,astɾˈinxas,nx
247,indisponˈemos,n
248,naskˈamos,sk
249,ɾesˈuɾxa,ɾx
250,antepˈones,n
251,deponˈejs,n
252,balbˈuse,s
253,ɾesplandesˈejs,s
254,foɾtalˈeska,sk
255,deskonoskˈajs,sk
256,deskompˈonɡa,nɡ
257,ɾekondusˈimos,s
258,estɾemˈeskan,sk
259,kodiɾiçˈis,ç
260,akɾesˈemos,s
261,pɾopˈonɡas,nɡ
262,espˈaɾse,ɾs
263,abˈenɡas,nɡ
264,ekspˈones,n
265,empalidˈeses,s
266,enkaɾˈesko,sk
267,sumˈeɾçe,ɾç
268,apaɾˈese,s
269,ensombɾesˈemos,s
270,faboɾeskˈajs,sk
271,ɾelˈuses,s
272,padˈesen,s
273,ɾemˈeses,s
274,ɾeluskˈamos,sk
275,peɾteneskˈajs,sk
276,indispˈonɡas,nɡ
277,obskuɾˈeskan,sk
278,indˈusko,sk
279,inflˈixa,x
280,floɾˈese,s
281,sedˈuskas,sk
282,apaɾˈeskan,sk
283,ɾelˈuses,s
284,aflˈixas,x
285,ɾekwˈese,s
286,enbexesˈemos,s
287,desmeɾesˈemos,s
288,atɾajɡˈamos,jɡ
289,manutenˈejs,n
290,salˈimos,l
291,aflˈiçen,ç
292,kolˈixa,x
293,komponˈemos,n
294,abstˈeɾxa,ɾx
295,indispˈones,n
296,kontɾadiɡˈamos,ɡ
297,ɾesˈuɾxas,ɾx
298,abstˈeɾxo,ɾx
299,kontɾadiɡˈamos,ɡ
300,indˈusko,sk
301,entɾebjˈenes,n
302,ɡwaɾneskˈamos,sk
303,kˈoxo,x
304,pɾopˈonɡan,nɡ
305,derelinkˈamos,nk
306,imponɡˈamos,nɡ
307,kontɾabenɡˈamos,nɡ
308,ensoɾdesˈemos,s
309,enkaɾeskˈajs,sk
310,ɾeabastˈese,s
311,indusˈimos,s
312,desdiɡˈamos,ɡ
313,ɾesuɾxˈamos,ɾx
314,ɾekonbjˈene,n
315,aflixˈajs,x
316,ɾˈuxas,x
317,kontɾˈaes,
318,fenˈesen,s
319,posponˈejs,n
320,dekajɡˈajs,jɡ
321,obskuɾˈeska,sk
322,akˈoxa,x
323,entɾistˈeska,sk
324,eksixˈajs,x
325,palideskˈajs,sk
326,kontɾadiɡˈajs,ɡ
327,sedˈuskas,sk
328,ɡwaɾnˈeskas,sk
329,desasˈejs,s
330,ɾemesˈemos,s
331,ɡwaɾnˈeska,sk
332,indisponɡˈajs,nɡ
333,enɡɾandˈeskan,sk
334,desfaboɾˈeska,sk
335,ɾetɾaduskˈajs,sk
336,foɾtalˈeska,sk
337,supeɾpˈonɡan,nɡ
338,ɡwaɾˈese,s
339,enkanˈeses,s
340,eksˈixa,x
341,ɾekɾudˈese,s
342,tɾansˈixo,x
343,dispˈonɡa,nɡ
344,tenˈejs,n
345,pɾesupˈonɡas,nɡ
346,ɾekonˈoskas,sk
347,nˈaska,sk
348,abstˈeɾxas,ɾx
349,enmoˈeska,sk
350,tɾanspˈonɡa,nɡ
351,ɾetɾadˈuskas,sk
352,enkˈoçe,ç
353,ɾekwˈesa,s
354,indispˈonɡa,nɡ
355,ˈunsen,ns
356,faboɾˈeska,sk
357,dekɾˈesen,s
358,desfaboɾˈese,s
359,ɾebeɾdˈeska,sk
360,konflixˈamos,x
361,detɾaˈemos,
362,pɾesupˈone,n
363,neɡɾˈeska,sk
364,anoʧesˈejs,s
365,konflixˈamos,x
366,indispˈone,n
367,ɾepɾodˈusen,s
368,desaɡɾadesˈejs,s
369,fosfoɾˈeska,sk
370,entɾisteskˈajs,sk
371,konbensˈamos,ns
372,konfliçˈimos,ç
373,deskomponɡˈamos,nɡ
374,manutenˈejs,n
375,entenebɾeskˈamos,sk
376,xˈako,k
377,espaɾsˈis,ɾs
378,pɾobenˈimos,n
379,adbenɡˈamos,nɡ
380,ˈunso,ns
381,kodiɾˈixa,x
382,tɾanspˈones,n
383,foɾtalˈese,s
384,supeɾpˈones,n
385,ɾestablˈeskas,sk
386,kɾeskˈajs,sk
387,pɾodˈuska,sk
388,fosfoɾesˈemos,s
389,enɾoxeskˈamos,sk
390,peɾmanˈese,s
391,ɡwaɾˈeskas,sk
392,ɾestablˈesko,sk
393,desmeɾˈeses,s
394,atɾaˈemos,
395,maldˈisen,s
396,kɾˈeska,sk
397,ɾelusˈis,s
398,establˈeska,sk
399,konflixˈamos,x
400,kaɾˈesko,sk
401,entenebɾesˈejs,s
402,luskˈamos,sk
403,enoɾɡuʃˈeses,s
404,padˈeskas,sk
405,foɾtalesˈejs,s
406,paɾˈesko,sk
407,embɾutesˈejs,s
408,mantˈenɡa,nɡ
409,balbuskˈajs,sk
410,ensoɾdˈese,s
411,kˈajɡas,jɡ
412,desasˈejs,s
413,kˈae,
414,abdˈusko,sk
415,eksixˈamos,x
416,mantˈenɡo,nɡ
417,mˈulses,ls
418,paɾˈesen,s
419,enkaɾeskˈajs,sk
420,entɾistˈeska,sk
421,pɾopˈonɡa,nɡ
422,detɾˈajɡas,jɡ
423,enɡɾandˈeska,sk
424,kˈepan,p
425,ensombɾesˈejs,s
426,ɾesplandeskˈamos,sk
427,ɾepɾodˈuskan,sk
428,kompadˈeska,sk
429,manutˈenɡa,nɡ
430,enɾoxeskˈamos,sk
431,ɾestablˈeses,s
432,inteɾpˈonɡa,nɡ
433,ɾesˈaɾsas,ɾs
434,sumeɾxˈajs,ɾx
435,satisfaɡˈajs,ɡ
436,dibˈeɾxo,ɾx
437,entenebɾˈeska,sk
438,eskaeskˈamos,sk
439,indˈusko,sk
440,enkaɾˈeska,sk
441,ɾepɾoduskˈamos,sk
442,elixˈajs,x
443,ɾelˈuskas,sk
444,enmudeskˈamos,sk
445,kompadˈeska,sk
446,abˈenɡo,nɡ
447,palidˈese,s
448,sobɾepˈonen,n
449,komplasˈejs,s
450,kabˈemos,b
451,anoʧˈeska,sk
452,ɾeelˈixas,x
453,ʃˈases,s
454,kˈaben,b
455,subʃˈasko,sk
456,maldˈiɡo,ɡ
457,deteɾçˈejs,ɾç
458,dibˈeɾçes,ɾç
459,ɾeelˈiçe,ç
460,entɾisteskˈamos,sk
461,ˈunses,ns
462,ɾepɾodusˈis,s
463,ɾekwˈese,s
464,enkanˈeskas,sk
465,ʃˈase,s
466,mulsˈemos,ls
467,enmudesˈejs,s
468,dekaˈejs,
469,kɾeskˈajs,sk
470,mantˈenɡo,nɡ
471,deteɾxˈamos,ɾx
472,desabastˈeskas,sk
473,supeɾpˈonɡan,nɡ
474,enoɾɡuʃeskˈajs,sk
475,ɾefulxˈajs,lx
476,desdiɡˈajs,ɡ
477,ɾejmpˈonɡan,nɡ
478,fˈulxa,lx
479,enkaɾˈeska,sk
480,atɾˈajɡan,jɡ
481,establˈesko,sk
482,desmeɾˈesko,sk
483,kodiɾˈixa,x
484,eksixˈajs,x
485,indisponɡˈajs,nɡ
486,ˈasɡa,sɡ
487,akɾeskˈajs,sk
488,xakˈis,k
489,enfuɾˈesko,sk
490,faboɾesˈejs,s
491,enɾikˈeska,sk
492,ɡwaɾneskˈamos,sk
493,infɾinxˈajs,nx
494,dekɾˈeskas,sk
495,fosfoɾˈese,s
496,ɾejntɾoduskˈajs,sk
497,anoʧˈesko,sk
498,faboɾesˈejs,s
499,emˈulxo,lx
500,xakˈamos,k
501,derelˈinka,nk
502,salˈimos,l
503,kˈoçe,ç
504,ˈunsen,ns
505,enmudˈesen,s
506,ʃˈasko,sk
507,desdiɡˈamos,ɡ
508,amaɾiʃesˈejs,s
509,kontɾadˈisen,s
510,pɾopˈonɡo,nɡ
511,desɡwaɾneskˈajs,sk
512,pɾopˈonen,n
513,aflˈixa,x
514,kontɾabjˈene,n
515,deskonbenˈimos,n
516,pɾedispˈonɡa,nɡ
517,ɾejmpˈonɡa,nɡ
