idx,tgt,tgt_sf
0,enfebɾˈeskan,sk
1,pɾeestablˈesen,s
2,emˈeɾçe,ɾç
3,pɾobjˈenes,n
4,ɾeabastˈeska,sk
5,ɾestablˈeses,s
6,ɾetɾotɾˈajɡas,jɡ
7,ɾeabastˈesen,s
8,ɾetɾadˈuskan,sk
9,emˈeɾxa,ɾx
10,enfebɾˈesko,sk
11,ɾeluskˈajs,sk
12,neɡɾesˈemos,s
13,aflˈixa,x
14,ˈasɡa,sɡ
15,ɾeabastˈeskan,sk
16,emeɾçˈejs,ɾç
17,pɾeestablˈesko,sk
18,ɾelˈuska,sk
19,neɡɾˈese,s
20,ɾeluskˈajs,sk
21,ɾeabastˈesko,sk
22,asɡˈamos,sɡ
23,distɾˈajɡan,jɡ
24,enaltˈese,s
25,kaˈemos,
26,ɾeabastˈeska,sk
27,astɾˈinçe,nç
28,ɾeabastˈeskas,sk
29,ɾetɾotɾˈajɡas,jɡ
30,aflixˈajs,x
31,pɾeestablˈeses,s
32,enlokˈeskan,sk
33,aflˈixo,x
34,kaˈejs,
35,astɾˈinxo,nx
36,ɾeapaɾesˈemos,s
37,astɾinxˈamos,nx
38,kˈae,
39,astɾˈinxo,nx
40,astɾˈinxan,nx
41,astɾˈinxas,nx
42,ɾetɾotɾaˈejs,
43,ɾelˈuses,s
44,enduɾesˈemos,s
45,ɾelˈusen,s
46,enlokˈeskan,sk
47,ɾeapaɾeskˈamos,sk
48,pɾekonoskˈajs,sk
49,pɾekonˈoskan,sk
50,ɾeabastˈeses,s
51,entɾetenˈemos,n
52,ɾestablˈeska,sk
53,enfebɾesˈemos,s
54,kodiɾˈixa,x
55,emeɾçˈemos,ɾç
56,ɾelˈusko,sk
57,ɾetɾotɾˈajɡo,jɡ
58,enduɾˈeses,s
59,neɡɾˈesen,s
60,emˈeɾxan,ɾx
61,ɾetɾaduskˈajs,sk
62,entɾetenɡˈamos,nɡ
63,enfebɾˈesen,s
64,kodiɾˈixan,x
65,aflˈiçes,ç
66,afliçˈis,ç
67,neɡɾesˈemos,s
68,ˈasɡa,sɡ
69,entɾetˈenɡa,nɡ
70,entɾetˈenɡas,nɡ
71,emˈeɾxo,ɾx
72,ɾelˈusen,s
73,pɾeestablˈeska,sk
74,enlokˈeska,sk
75,ɾeapaɾeskˈajs,sk
76,aflˈiçen,ç
77,ˈasɡas,sɡ
78,kajɡˈajs,jɡ
79,pɾeestableskˈajs,sk
80,pɾekonoskˈajs,sk
81,aflˈixo,x
82,ɾetɾotɾˈae,
83,entɾetjˈenes,n
84,entɾetjˈene,n
85,ɾelˈuska,sk
86,enaltˈeska,sk
87,entɾetenɡˈajs,nɡ
88,pɾeestablˈesko,sk
89,pɾobˈenɡa,nɡ
90,tɾadˈuse,s
91,ɾetɾotɾaˈemos,
92,kajɡˈajs,jɡ
93,ɾestablˈese,s
94,tɾadˈuses,s
95,ɾestablesˈejs,s
96,distɾaˈejs,
97,aflˈixa,x
98,aflˈixa,x
99,kodiɾˈiçes,ç
100,kodiɾˈixa,x
101,astɾˈinçen,nç
102,enfebɾˈeska,sk
103,tɾadˈuska,sk
104,ɾeabastesˈejs,s
105,ɾeabastˈesen,s
106,pɾeestableskˈajs,sk
107,ɾeapaɾeskˈamos,sk
108,ˈasen,s
109,entɾetjˈenes,n
110,ɾeabastˈese,s
111,ˈasɡo,sɡ
112,tɾadˈusen,s
113,aflˈixo,x
114,ˈasen,s
115,enaltˈeskas,sk
116,ɾelˈuska,sk
117,ɾestablˈeses,s
118,enaltˈeses,s
119,ɾeabastˈese,s
120,neɡɾˈese,s
121,neɡɾesˈemos,s
122,pɾobˈenɡo,nɡ
123,pɾobˈenɡan,nɡ
124,kodiɾixˈamos,x
125,pɾekonˈoskas,sk
126,pɾeestablˈese,s
127,entɾetenɡˈamos,nɡ
128,ɾeapaɾˈeska,sk
129,pɾobjˈene,n
130,emeɾçˈemos,ɾç
131,ɾestablˈeska,sk
132,enlokˈeskas,sk
133,emˈeɾçen,ɾç
134,astɾinçˈis,nç
135,pɾekonoskˈamos,sk
136,aflixˈajs,x
137,enlokˈeska,sk
138,ɾestablˈesko,sk
139,ɾestablesˈemos,s
140,ɾetɾotɾaˈejs,
141,ɾetɾadˈusko,sk
142,enaltˈeska,sk
143,astɾˈinçes,nç
144,ɾestablˈesen,s
145,pɾekonˈosko,sk
146,afliçˈimos,ç
147,astɾˈinçen,nç
148,distɾajɡˈamos,jɡ
149,aflˈixa,x
150,distɾaˈejs,
151,pɾekonoskˈamos,sk
152,ɾestablˈeska,sk
153,enfebɾˈeskan,sk
154,ɾetɾadˈusen,s
155,pɾobˈenɡa,nɡ
156,kodiɾˈixan,x
157,kodiɾˈiçe,ç
158,entɾetˈenɡa,nɡ
159,ɾelˈuska,sk
160,enaltesˈemos,s
161,ɾelˈusen,s
162,distɾˈajɡa,jɡ
163,kaˈejs,
164,pɾeestablˈesko,sk
165,neɡɾˈese,s
166,ɾelˈuskan,sk
167,neɡɾesˈejs,s
168,pɾekonosˈejs,s
169,enlokˈeska,sk
170,pɾobenɡˈamos,nɡ
171,emˈeɾxa,ɾx
172,neɡɾˈeses,s
173,ɾeabastˈeskan,sk
174,entɾetenˈejs,n
175,ɾeapaɾˈeses,s
176,enlokeskˈamos,sk
177,ɾestablˈeska,sk
178,astɾˈinxan,nx
179,enlokesˈejs,s
180,enduɾeskˈamos,sk
181,enlokesˈejs,s
182,enfebɾˈeskan,sk
183,emeɾçˈemos,ɾç
