idx,tgt,tgt_sf
0,ɾetwˈeɾsas,ɾs
1,deskonˈosen,s
2,enkˈoxas,x
3,pɾopˈonɡan,nɡ
4,ɾebeɾdeskˈajs,sk
5,desbaneskˈamos,sk
6,kompaɾˈeskan,sk
7,aborˈese,s
8,pɾedˈiɡa,ɡ
9,mˈulxo,lx
10,ɡwaɾnˈese,s
11,fosfoɾˈesen,s
12,empalidesˈejs,s
13,apetˈese,s
14,enfebɾˈeskas,sk
15,desentumˈeses,s
16,delinkˈamos,nk
17,enkˈoxas,x
18,padˈesko,sk
19,ɾuxˈamos,x
20,abastesˈejs,s
21,eskaɾnˈeska,sk
22,indˈuska,sk
23,apaɾˈeska,sk
24,tɾˈajɡas,jɡ
25,pˈunxa,nx
26,faboɾeskˈamos,sk
27,edˈuskas,sk
28,enbanˈeses,s
29,kontɾaaɡˈamos,ɡ
30,enbanesˈejs,s
31,kolˈiçen,ç
32,enkˈoxa,x
33,espaɾsˈajs,ɾs
34,akɾˈeses,s
35,ʃukstaponˈemos,n
36,ensombɾeskˈajs,sk
37,ɾekonˈoskas,sk
38,adolˈesko,sk
39,adolˈesko,sk
40,ofɾˈeska,sk
41,emˈeɾxa,ɾx
42,obedesˈejs,s
43,padesˈemos,s
44,padˈeses,s
45,elˈixan,x
46,sˈuɾxo,ɾx
47,exˈeɾsen,ɾs
48,enkaɾesˈejs,s
49,abstɾˈajɡo,jɡ
50,enkˈoxas,x
51,sumeɾxˈamos,ɾx
52,desasɡˈamos,sɡ
53,intelˈiçes,ç
54,kontɾaˈaɡo,ɡ
55,sˈuɾçe,ɾç
56,ʃukstapˈonɡan,nɡ
57,suɾsˈimos,ɾs
58,kˈoxo,x
59,kˈoçes,ç
60,pɾedispˈonen,n
61,kontɾaˈaɡo,ɡ
62,obtˈenɡan,nɡ
63,ɡwaɾnˈesen,s
64,enbanˈeses,s
65,ɾexubenˈeskan,sk
66,konbˈeɾxa,ɾx
67,enaltˈeskas,sk
68,sostˈenɡa,nɡ
69,sumˈeɾçen,ɾç
70,tɾansixˈamos,x
71,anoʧeskˈajs,sk
72,ˈaɡo,ɡ
73,desbanˈeska,sk
74,sobɾesˈales,l
75,mˈulso,ls
76,kolˈixa,x
77,ɾˈuçe,ç
78,kaɾˈeses,s
79,faboɾˈeska,sk
80,dibˈeɾxan,ɾx
81,fˈunçe,nç
82,ʃukstapˈonen,n
83,edusˈis,s
84,padesˈejs,s
85,desentumˈeses,s
86,adbˈenɡan,nɡ
87,enfebɾesˈejs,s
88,ensombɾˈeskas,sk
89,sostjˈenes,n
90,enɾikˈeska,sk
91,desbanˈesen,s
92,konbeɾxˈamos,ɾx
93,mˈuxo,x
94,enaltˈesen,s
95,ˈunçe,nç
96,obtenˈemos,n
97,kompaɾˈeskas,sk
98,ekibalˈemos,l
99,dibˈeɾxan,ɾx
100,xˈakan,k
101,faʃˈesko,sk
102,abstɾˈajɡa,jɡ
103,abastˈeskan,sk
104,bendesˈimos,s
105,disponˈemos,n
106,enneɡɾˈeska,sk
107,suɾsˈis,ɾs
108,faʃˈeskan,sk
109,enfebɾˈeska,sk
110,pˈunçes,nç
111,tɾˈajɡas,jɡ
112,eduskˈamos,sk
113,kondˈisen,s
114,sumeɾxˈajs,ɾx
115,pɾediɡˈajs,ɡ
116,delˈinkes,nk
117,pˈunxo,nx
118,disponˈemos,n
119,enaltˈeskas,sk
120,abstɾˈajɡo,jɡ
121,kˈajɡa,jɡ
122,sumeɾçˈis,ɾç
123,edˈuskan,sk
124,elˈiçen,ç
125,ɡwaɾnˈeskas,sk
126,sumˈeɾxa,ɾx
127,mulxˈajs,lx
128,faʃˈeskas,sk
129,astɾinxˈamos,nx
130,empalidˈeska,sk
131,apaɾˈesko,sk
132,adolˈesko,sk
133,muxˈamos,x
134,pɾopˈonɡa,nɡ
135,mˈuxa,x
136,exeɾsˈajs,ɾs
137,pɾebenˈis,n
138,mˈulçe,lç
139,edˈuse,s
140,absteɾxˈajs,ɾx
141,astɾˈinxan,nx
142,peɾmanˈeses,s
143,enɾaɾeskˈamos,sk
144,kondesˈis,s
145,padˈeskas,sk
146,anoʧesˈejs,s
147,ɾˈuxa,x
148,desentumˈeses,s
149,intelˈixas,x
150,empalidˈeses,s
151,desasɡˈajs,sɡ
152,meɾeskˈamos,sk
153,ˈaɡan,ɡ
154,kolˈiçen,ç
155,desentumesˈemos,s
156,desasɡˈajs,sɡ
157,meɾˈeses,s
158,enɾoxeskˈajs,sk
159,deskompˈonen,n
160,tɾansponɡˈajs,nɡ
161,empekeɲesˈejs,s
162,ɾemesˈemos,s
163,desabastˈeska,sk
164,padˈeskan,sk
165,meɾeskˈajs,sk
166,astɾˈinxan,nx
167,desentumˈeses,s
168,pɾobˈenɡa,nɡ
169,kolˈixa,x
170,enduɾˈesko,sk
171,empalideskˈajs,sk
172,apetesˈejs,s
173,sostˈenɡan,nɡ
174,palideskˈajs,sk
175,pɾobˈenɡas,nɡ
176,enbanesˈemos,s
177,mulsˈemos,ls
178,deskompˈonen,n
179,ekibˈales,l
180,enaltesˈemos,s
181,enduɾˈese,s
182,pɾodˈuska,sk
183,enbaneskˈajs,sk
184,desˈasɡo,sɡ
185,sˈuɾses,ɾs
186,enfebɾeskˈamos,sk
187,ɾuxˈamos,x
188,empekeɲeskˈamos,sk
189,sumˈeɾxa,ɾx
190,kontɾaˈaɡas,ɡ
191,mˈaɾsa,ɾs
192,pɾebaleskˈajs,sk
193,pɾedˈises,s
194,eskaɾnˈeska,sk
195,elˈixa,x
196,enfebɾˈeses,s
197,fosfoɾˈesen,s
198,faʃˈeskan,sk
199,ensombɾˈese,s
200,obedˈeska,sk
201,mˈulxa,lx
202,sedusˈis,s
203,pɾebalesˈemos,s
204,ɾˈuxas,x
205,desˈase,s
206,dekˈaes,
207,abduskˈajs,sk
208,sobɾesalɡˈajs,lɡ
209,astɾˈinxa,nx
210,pɾebalˈesen,s
211,mˈuçen,ç
212,ɡwaɾnˈeska,sk
213,akɾesˈejs,s
214,enkaɾˈesen,s
215,aɡɾadˈeskan,sk
216,tɾansixˈamos,x
217,detenɡˈamos,nɡ
218,ɾepɾodˈuskas,sk
219,meɾˈeska,sk
220,enalteskˈamos,sk
221,mantenˈejs,n
222,kolˈiçen,ç
223,emeɾçˈejs,ɾç
224,mˈuxa,x
225,umedˈeses,s
226,astɾˈinxa,nx
227,padˈeskas,sk
228,aɡˈamos,ɡ
229,adoleskˈajs,sk
230,dispˈone,n
231,abduskˈajs,sk
232,enɾoxˈeskan,sk
233,delˈinkes,nk
234,ɾexubenˈeska,sk
235,desbanˈeskan,sk
236,pɾoduskˈamos,sk
237,apˈones,n
238,dekaˈemos,
239,xˈaka,k
240,pɾobenɡˈajs,nɡ
241,funçˈimos,nç
242,dispˈone,n
243,dibˈeɾçes,ɾç
244,ɾemˈeska,sk
245,koxˈamos,x
246,desabasteskˈajs,sk
247,ʃasˈejs,s
248,desasˈis,s
249,enɾaɾˈeska,sk
250,meɾeskˈamos,sk
251,suɾçˈis,ɾç
252,faboɾˈeska,sk
253,sostenˈemos,n
254,enɾikˈesen,s
255,sumˈeɾxan,ɾx
256,enɾaɾesˈejs,s
257,neɡlˈiçe,ç
258,adbenˈis,n
259,adbenˈis,n
260,tˈenɡo,nɡ
261,apaɾeskˈamos,sk
262,meɾˈesko,sk
263,pɾedispˈonɡo,nɡ
264,umedˈeskas,sk
265,mˈulsen,ls
266,akontˈeses,s
267,neɡlixˈajs,x
268,ɾetwˈeɾso,ɾs
269,desabastˈeska,sk
270,dekˈajɡan,jɡ
271,ɾekonˈose,s
272,fosfoɾˈeskas,sk
273,astɾˈinxo,nx
274,pɾebenɡˈamos,nɡ
275,ɾebeɾdˈesen,s
276,fosfoɾˈeses,s
277,akɾˈeska,sk
278,espˈaɾsa,ɾs
279,enkaɾˈeska,sk
280,palidesˈemos,s
281,ɾebeɾdˈeses,s
282,ʃˈaskan,sk
283,astɾˈinxas,nx
284,enfebɾesˈemos,s
285,koçˈejs,ç
286,tɾansiçˈis,ç
287,enkoxˈamos,x
288,mˈuxa,x
289,abastˈeska,sk
290,mantenɡˈamos,nɡ
291,deskonˈoska,sk
292,tɾansˈixo,x
293,ekibˈalen,l
294,ɾejmponɡˈajs,nɡ
295,enduɾˈeses,s
296,mˈuçen,ç
297,pɾebalˈeska,sk
298,enɾoxˈeses,s
299,detˈenɡo,nɡ
300,paɾˈeskas,sk
301,abstˈeɾxas,ɾx
302,eduskˈajs,sk
303,enɾoxˈeska,sk
304,deskompˈonɡa,nɡ
305,kˈaen,
306,kondˈises,s
307,umedˈeskas,sk
308,abstɾaˈemos,
309,sˈuɾse,ɾs
310,meɾˈesen,s
311,desaɡɾadˈeska,sk
312,apetˈeses,s
313,inteɾpˈonɡan,nɡ
314,eskaɾnesˈemos,s
315,ɾetoɾsˈemos,ɾs
316,fosfoɾeskˈajs,sk
317,koçˈejs,ç
318,desaɡɾadesˈemos,s
319,apˈonɡan,nɡ
320,sˈuɾçen,ɾç
321,umedˈeskan,sk
322,paɾˈeses,s
323,indˈusko,sk
324,konbˈeɾçes,ɾç
325,inteɾbˈenɡa,nɡ
326,obtˈenɡa,nɡ
327,obtenɡˈajs,nɡ
328,xˈaken,k
329,apˈonɡa,nɡ
330,pɾopˈonɡa,nɡ
331,dispˈonɡan,nɡ
332,sˈuɾsas,ɾs
333,dibˈeɾxan,ɾx
334,empalidˈeskas,sk
335,adoleskˈajs,sk
