idx,tgt,tgt_sf
0,embeʃesˈemos,s
1,deɾelinkˈis,nk
2,disponɡˈajs,nɡ
3,balbˈuska,sk
4,inflˈixas,x
5,delinkˈajs,nk
6,supeɾbenˈis,n
7,empodɾˈeska,sk
8,peɾtenˈeska,sk
9,fɾançˈimos,nç
10,enkanˈeskas,sk
11,enoɾɡuʃesˈemos,s
12,ɾekompˈonɡa,nɡ
13,intɾodusˈimos,s
14,apetˈeskan,sk
15,mˈulxa,lx
16,enɾikˈesko,sk
17,ɾepˈone,n
18,padˈeska,sk
19,konbalˈeska,sk
20,ekibalˈemos,l
21,ɾetwˈeɾse,ɾs
22,mˈuxa,x
23,maɾsˈimos,ɾs
24,empalideskˈamos,sk
25,bˈalɡo,lɡ
26,sobɾepˈonɡa,nɡ
27,eskaɾnˈeses,s
28,pɾodˈusko,sk
29,entɾebenˈimos,n
30,entoɾpˈesen,s
31,obskuɾˈeska,sk
32,umedˈeska,sk
33,ɾeelˈixan,x
34,desˈaɡa,ɡ
35,ɾetɾˈajɡa,jɡ
36,konbensˈamos,ns
37,ʃukstaponˈemos,n
38,indˈuse,s
39,emˈunxo,nx
40,kolˈiçen,ç
41,indusˈis,s
42,enkaɾeskˈamos,sk
43,aɡɾadˈese,s
44,ɾuçˈimos,ç
45,ɾekonbjˈenen,n
46,pɾebaleskˈamos,sk
47,debˈenɡo,nɡ
48,dekɾeskˈajs,sk
49,elixˈajs,x
50,enɾoxˈese,s
51,desfaʃˈesen,s
52,enlˈusen,s
53,entɾistˈese,s
54,pɾedispˈonen,n
55,faboɾˈesko,sk
56,ekspˈones,n
57,desfaʃesˈemos,s
58,edˈuse,s
59,obskuɾˈesen,s
60,ˈunse,ns
61,embeʃˈese,s
62,ɾekompˈonɡas,nɡ
63,eskwˈesa,s
64,entumˈesko,sk
65,empalidˈesko,sk
66,pɾekonoskˈajs,sk
67,komplaskˈajs,sk
68,enbexesˈemos,s
69,aborˈesko,sk
70,atɾˈajɡo,jɡ
71,induskˈamos,sk
72,faboɾesˈemos,s
73,establesˈemos,s
74,empodɾˈeska,sk
75,antedˈiɡas,ɡ
76,ɾetenˈemos,n
77,ɾetwˈeɾsas,ɾs
78,enɾikˈesen,s
79,desfaboɾesˈejs,s
80,ɾexubeneskˈajs,sk
81,infliçˈimos,ç
82,indˈusen,s
83,lanɡideskˈamos,sk
84,konflixˈajs,x
85,supeɾponɡˈamos,nɡ
86,peɾˈesen,s
87,sobɾesˈalɡan,lɡ
88,kontɾapˈones,n
89,peɾtenˈeskas,sk
90,estɾemˈesen,s
91,suɾsˈamos,ɾs
92,kompaɾˈeskan,sk
93,entɾetˈenɡo,nɡ
94,atenɡˈamos,nɡ
95,astɾinxˈamos,nx
96,ɾekɾudˈesko,sk
97,fˈunçen,nç
98,apˈonɡa,nɡ
99,desnˈase,s
100,ɾetwˈeɾsa,ɾs
101,muxˈamos,x
102,ɾˈuxa,x
103,inteɾpˈonɡas,nɡ
104,desaɡɾadˈeses,s
105,establˈeses,s
106,antedˈiɡo,ɡ
107,ɾediɾˈixas,x
108,deskonbjˈene,n
109,kontɾabenɡˈamos,nɡ
110,inflˈixa,x
111,tɾajɡˈajs,jɡ
112,empobɾˈesen,s
113,ɾekonbˈenɡan,nɡ
114,desaɡɾadˈeska,sk
115,deskonˈoskas,sk
116,kolˈixa,x
117,enflakeskˈajs,sk
118,adˈuska,sk
119,infɾinçˈimos,nç
120,pɾebaleskˈamos,sk
121,detenɡˈajs,nɡ
122,neɡlˈixo,x
123,akoçˈemos,ç
124,despɾotˈexa,x
125,mˈulsan,ls
126,desapaɾˈeska,sk
127,xˈake,k
128,enoɾɡuʃesˈejs,s
129,peɾesˈemos,s
130,derelinkˈajs,nk
131,ɾelˈuska,sk
132,entenebɾeskˈamos,sk
133,paɾˈesen,s
134,empekeɲˈeska,sk
135,eskwˈeso,s
136,emˈunçes,nç
137,deskonbˈenɡas,nɡ
138,tɾanspˈonɡo,nɡ
139,ɾestɾˈinçen,nç
140,amaneskˈajs,sk
141,inflˈixo,x
142,fɾˈançen,nç
143,inteɾbˈenɡas,nɡ
144,empekeɲˈese,s
145,faʃˈeskan,sk
146,kompaɾˈesko,sk
147,fɾˈunsa,ns
148,ɾetɾˈajɡa,jɡ
149,enbexesˈemos,s
150,tɾasponɡˈamos,nɡ
151,konbensˈejs,ns
152,desaɡɾadˈeskas,sk
153,kosˈamos,s
154,distɾˈajɡa,jɡ
155,enaltˈeses,s
156,ɾeponɡˈamos,nɡ
157,ekibˈalɡa,lɡ
158,ɾeelˈiçe,ç
159,deɾelˈinken,nk
160,kompaɾesˈejs,s
161,konbˈeɾçe,ɾç
162,satisfasˈejs,s
163,enneɡɾesˈejs,s
164,pɾotˈexo,x
165,aɡɾadˈeskan,sk
166,konflˈixas,x
167,derelinkˈis,nk
168,deskosˈemos,s
169,faboɾˈese,s
170,adˈusko,sk
171,muxˈamos,x
172,desfaboɾˈeskan,sk
173,konˈosen,s
174,adʃˈasen,s
175,suɾsˈis,ɾs
176,desˈaɡan,ɡ
177,enflakˈeska,sk
178,xˈakas,k
179,derelˈinka,nk
180,ʃukstapˈonɡa,nɡ
181,ɾestɾˈinxo,nx
182,lanɡidˈesko,sk
183,pɾopˈonɡa,nɡ
184,desabastˈeses,s
185,pɾedispˈonɡa,nɡ
186,subbenˈis,n
187,enkaɾesˈejs,s
188,fenesˈemos,s
189,kˈaes,
190,empekeɲˈesko,sk
191,entenebɾeskˈamos,sk
192,konbˈensas,ns
193,akˈoxo,x
194,adoɾmesˈemos,s
195,ɾestɾinxˈajs,nx
196,deskˈose,s
197,korˈixo,x
198,pɾedispˈonɡa,nɡ
199,establˈeskan,sk
200,tɾadˈusen,s
201,entenebɾˈeskan,sk
202,manutˈenɡa,nɡ
203,ɾetɾˈaes,
204,abastˈese,s
205,pɾebalˈesen,s
206,impˈonɡa,nɡ
207,ekibˈalɡo,lɡ
208,pɾedispˈonɡas,nɡ
209,inflˈiçes,ç
210,aflˈixa,x
211,tɾaspˈonɡa,nɡ
212,ɾeblandˈese,s
213,fɾunsˈimos,ns
214,ɾemeskˈajs,sk
215,impˈonen,n
216,ɾuçˈimos,ç
217,enflakˈesen,s
218,infɾˈinxo,nx
219,atˈenɡa,nɡ
220,emˈunçe,nç
221,paɾˈeskas,sk
222,entɾistˈeskan,sk
223,neɡɾˈeska,sk
224,dekɾˈeska,sk
225,enluskˈajs,sk
226,adoɾmˈesen,s
227,desˈasɡa,sɡ
228,ɾemˈeska,sk
229,induskˈamos,sk
230,sobɾeponɡˈamos,nɡ
231,kolˈiçen,ç
232,detˈenɡa,nɡ
233,satisfaɡˈamos,ɡ
234,ɾekonbenˈimos,n
235,satisfˈaɡo,ɡ
236,enɾaɾeskˈajs,sk
237,enduɾˈese,s
238,kˈepa,p
239,empodɾˈesko,sk
240,lanɡidˈesen,s
241,ɾekɾudˈeskan,sk
242,ɾekɾudeskˈamos,sk
243,eskaɾnˈeses,s
244,sostˈenɡas,nɡ
245,aflˈixo,x
246,enlˈuska,sk
247,ofɾˈese,s
248,ɾeapaɾˈese,s
249,komplˈaska,sk
250,aɡɾadˈesko,sk
251,kˈepa,p
252,ɾetɾˈae,
253,aɡɾadˈeskan,sk
254,ɾestɾˈinxo,nx
255,kondesˈimos,s
256,tɾadˈusko,sk
257,satisfˈases,s
258,enlentˈeskan,sk
259,abastˈeskan,sk
260,muxˈajs,x
261,ɾesˈaɾsa,ɾs
262,desasˈemos,s
263,antedˈisen,s
264,subbjˈenen,n
265,atɾajɡˈajs,jɡ
266,ɾekɾudˈese,s
267,enduɾˈeska,sk
268,akɾˈese,s
269,ɾekonˈosko,sk
270,xˈakan,k
271,pˈunçen,nç
272,pɾodˈuse,s
273,desentumˈeses,s
274,astɾinçˈimos,nç
275,imponˈejs,n
276,ɾejmponɡˈamos,nɡ
277,ɾetenɡˈajs,nɡ
278,konˈosko,sk
279,absteɾçˈejs,ɾç
280,ɾeblandˈese,s
281,ɾeabastˈeskas,sk
282,despɾotˈexan,x
283,fenˈeska,sk
284,kosˈajs,s
285,indˈuska,sk
286,elˈixa,x
287,maɾsˈimos,ɾs
288,ɾepɾodusˈimos,s
289,deskosˈemos,s
290,ɾekonoskˈamos,sk
291,konbenɡˈamos,nɡ
292,impˈone,n
293,kˈajɡan,jɡ
294,eskwˈese,s
295,abdˈuses,s
296,mˈulxan,lx
297,aɡɾadeskˈamos,sk
298,pɾedispˈonɡa,nɡ
299,dekɾeskˈajs,sk
300,ɾestɾˈinçe,nç
301,ɾepˈonɡan,nɡ
302,ɾeabastˈeska,sk
303,umedˈeses,s
304,eskaesˈejs,s
305,ɾeelˈixan,x
306,amaɾiʃˈeskan,sk
307,induskˈajs,sk
308,enkanˈeska,sk
309,ɾestɾˈinçes,nç
310,entɾebˈenɡas,nɡ
311,peɾmanˈeska,sk
312,pɾedˈises,s
313,desabastˈeska,sk
314,estableskˈamos,sk
315,desfaboɾˈeses,s
316,kontɾabenˈis,n
317,kˈoxo,x
318,emˈeɾxa,ɾx
319,balbˈuse,s
320,embɾutˈeses,s
321,koxˈamos,x
322,enɾikˈeskas,sk
323,tɾaspˈonɡa,nɡ
324,desapaɾˈesen,s
325,enlusˈis,s
326,kompadˈeskan,sk
327,atjˈenen,n
328,desabastˈeska,sk
329,kompadˈesen,s
330,ensoɾdˈeskas,sk
331,adbˈenɡan,nɡ
332,faboɾˈesen,s
333,eleçˈis,ç
334,fɾˈunsan,ns
335,obskuɾˈeses,s
336,mulxˈamos,lx
337,kˈosen,s
338,umedˈese,s
339,antedˈiɡan,ɡ
340,entɾetˈenɡo,nɡ
341,ɾeblandˈeses,s
342,sobɾesˈalɡo,lɡ
343,amanˈeskas,sk
344,kompadˈeska,sk
345,satisfasˈejs,s
346,kolixˈamos,x
347,posponˈejs,n
348,paɾˈesko,sk
349,ɾetˈenɡas,nɡ
350,deskonˈoses,s
351,imponɡˈamos,nɡ
352,supeɾbˈenɡo,nɡ
353,pɾopˈonɡa,nɡ
354,tɾadˈuskan,sk
355,ɾexubenˈeskas,sk
356,ɾejmpˈonɡo,nɡ
357,mantˈenɡan,nɡ
358,enaltˈeskas,sk
359,deskonˈoska,sk
360,enflakesˈemos,s
361,entumeskˈajs,sk
362,adoɾmeskˈajs,sk
363,kompadeskˈamos,sk
364,antedˈiɡas,ɡ
365,elˈixas,x
366,indˈuska,sk
367,atɾajɡˈamos,jɡ
368,estaɾsˈamos,ɾs
369,ɾekompˈonɡas,nɡ
370,faʃˈesen,s
371,arˈeskan,sk
372,pɾedˈiɡa,ɡ
373,kondesˈis,s
374,inteɾpˈone,n
375,umedˈeskas,sk
376,aponɡˈajs,nɡ
377,debˈenɡo,nɡ
378,aponˈejs,n
379,entɾebˈenɡa,nɡ
380,enɾaɾˈese,s
381,ɾepɾodusˈis,s
382,detˈeɾxas,ɾx
383,ɾekompˈonɡan,nɡ
384,deskonbenɡˈamos,nɡ
385,sumeɾxˈajs,ɾx
386,ɾeblandˈeska,sk
387,kˈoçen,ç
388,konbenɡˈamos,nɡ
389,ɾekompˈonɡan,nɡ
390,komplˈases,s
391,enneɡɾesˈemos,s
392,enduɾˈesen,s
393,ɾeabasteskˈamos,sk
394,imponɡˈajs,nɡ
395,pɾekonˈosen,s
396,peɾˈeskan,sk
397,fɾˈunsa,ns
398,desapaɾesˈemos,s
399,pɾedisponɡˈajs,nɡ
400,aborˈeskan,sk
401,ɾexubenˈeska,sk
402,desfaʃesˈemos,s
403,desˈasɡas,sɡ
404,abenɡˈajs,nɡ
405,adˈuskan,sk
406,maɾsˈajs,ɾs
407,ɾekoxˈajs,x
408,ɾemˈeskan,sk
409,ɾekonˈoses,s
410,enoɾɡuʃeskˈamos,sk
411,estɾemesˈejs,s
412,emˈunçe,nç
413,asˈimos,s
414,tɾˈae,
415,adoɾmˈeskan,sk
416,pɾedispˈonɡa,nɡ
417,enɾaɾˈesko,sk
418,umedˈeskan,sk
419,detjˈenes,n
420,fˈunçes,nç
421,apeteskˈamos,sk
422,ɾeapaɾˈesko,sk
423,apetˈesen,s
424,ˈunse,ns
425,deskonˈoska,sk
426,ɾetenɡˈamos,nɡ
427,sobɾesˈales,l
428,asˈemos,s
429,pɾedisponɡˈajs,nɡ
430,feneskˈamos,sk
431,subbjˈene,n
432,fˈunxa,nx
433,adˈuskas,sk
434,estɾemˈesen,s
435,neɡlˈiçes,ç
436,ɾekonbˈenɡa,nɡ
437,fɾˈançen,nç
438,depˈones,n
439,ɾekoçˈemos,ç
440,maldˈise,s
441,ɾuçˈimos,ç
442,enkaɾˈese,s
443,kompaɾesˈemos,s
444,enɾikˈesko,sk
445,mantjˈene,n
446,ɾeelˈiçen,ç
447,adbenɡˈamos,nɡ
448,pɾopˈonen,n
449,embeʃesˈemos,s
450,supeɾbˈenɡan,nɡ
451,ɾesˈaɾsen,ɾs
452,entumesˈejs,s
453,pɾediɡˈajs,ɡ
454,enɾikeskˈamos,sk
455,mˈaɾsen,ɾs
456,tɾaˈejs,
457,lanɡidˈeskan,sk
458,satisfaɡˈamos,ɡ
459,distɾˈaen,
460,inflixˈamos,x
461,pɾoteçˈejs,ç
462,pɾedˈiɡan,ɡ
463,obtjˈenen,n
464,subbenɡˈajs,nɡ
465,ɾekomponˈejs,n
466,deɾelinkˈimos,nk
467,ɾexubenˈeskas,sk
468,pɾebˈenɡo,nɡ
469,ɾepɾodˈusko,sk
470,deteɾxˈamos,ɾx
471,elˈixas,x
472,enkaɾˈeska,sk
473,ɾenasˈejs,s
474,ɾekˈoxas,x
475,mˈulxa,lx
476,sumeɾxˈajs,ɾx
477,detenˈemos,n
478,abastˈesen,s
479,abastesˈejs,s
480,korixˈajs,x
481,fˈulçen,lç
482,desabastesˈejs,s
483,distɾˈajɡa,jɡ
484,ɾobustˈeses,s
485,embɾutˈeska,sk
486,ɾekonˈoskan,sk
487,pɾedˈisen,s
488,enbilesˈejs,s
489,sumˈeɾxan,ɾx
490,desdˈise,s
491,desdˈiɡa,ɡ
492,akɾˈeska,sk
493,faʃˈeskan,sk
494,emˈunxa,nx
495,ɾuçˈimos,ç
496,peɾmanˈesen,s
497,entoɾpˈeses,s
498,sobɾesalɡˈamos,lɡ
499,ɾelˈuse,s
500,abasteskˈajs,sk
501,pɾotˈeçe,ç
502,pɾopˈones,n
503,kondˈiɡan,ɡ
504,ɾekomponɡˈajs,nɡ
505,supeɾbˈenɡo,nɡ
