idx,tgt,tgt_sf
0,mantenɡˈamos,nɡ
1,astɾinxˈamos,nx
2,inteɾpˈonɡas,nɡ
3,deskompˈones,n
4,apaɾesˈejs,s
5,ʃukstaponɡˈamos,nɡ
6,obedˈeska,sk
7,ɾˈuxa,x
8,dekˈajɡan,jɡ
9,antedesˈimos,s
10,espˈaɾsas,ɾs
11,ʃˈaskan,sk
12,sobɾesˈale,l
13,mˈaɾsas,ɾs
14,adolˈeska,sk
15,adbenˈis,n
16,mˈuxo,x
17,peɾmanˈeska,sk
18,tɾansponˈejs,n
19,sobɾekˈoxan,x
20,ɡwaɾnesˈejs,s
21,fosfoɾesˈejs,s
22,peɾmanˈeses,s
23,faboɾesˈemos,s
24,sˈuɾso,ɾs
25,obedˈesen,s
26,adolˈeskas,sk
27,ɾetoɾsˈejs,ɾs
28,akontesˈejs,s
29,abastˈeskas,sk
30,ɾekonosˈemos,s
31,ɾejmpˈonɡo,nɡ
32,astɾinçˈis,nç
33,pɾebjˈenes,n
34,obedˈesko,sk
35,peɾmanˈeskas,sk
36,desabastˈesko,sk
37,ɾexubenˈesko,sk
38,mˈuxas,x
39,suɾxˈajs,ɾx
40,paɾˈeskas,sk
41,ˈaɡa,ɡ
42,kˈajɡo,jɡ
43,kontɾaˈasen,s
44,abstˈeɾxo,ɾx
45,pɾedispˈonen,n
46,desabastˈeska,sk
47,aborˈeses,s
48,antedesˈis,s
49,dekˈajɡan,jɡ
50,tˈenɡas,nɡ
51,pɾebˈenɡa,nɡ
52,desaɡɾadˈeses,s
53,desapaɾˈese,s
54,sostˈenɡa,nɡ
55,tenɡˈamos,nɡ
56,inteɾpˈonɡan,nɡ
57,inteliçˈis,ç
58,eskaɾnesˈemos,s
59,tˈenɡa,nɡ
60,enduɾˈeses,s
61,kajɡˈajs,jɡ
62,dekˈajɡan,jɡ
63,astɾinxˈamos,nx
64,ɾemˈeska,sk
65,pɾebˈenɡa,nɡ
66,pɾopˈonɡas,nɡ
67,supˈonɡa,nɡ
68,ɡwaɾnˈese,s
69,astɾˈinçen,nç
70,deskompˈone,n
71,sedˈusen,s
72,astɾˈinçe,nç
73,mˈuxa,x
74,desbanˈeskan,sk
75,obtˈenɡa,nɡ
76,kaˈejs,
77,mˈulses,ls
78,absteɾxˈamos,ɾx
79,ensombɾˈeska,sk
80,dibˈeɾxo,ɾx
81,ˈunçen,nç
82,kontɾaˈaɡan,ɡ
83,kolˈixa,x
84,obtˈenɡa,nɡ
85,deskompˈones,n
86,kompaɾˈesen,s
87,detjˈenen,n
88,enkaɾesˈejs,s
89,ɾexubenˈese,s
90,kˈoçe,ç
91,abdˈusko,sk
92,enɾikˈese,s
93,ɾepɾodˈusen,s
94,fosfoɾˈesko,sk
95,sedˈusen,s
96,deskompˈone,n
97,desˈasɡa,sɡ
98,ɾebeɾdˈese,s
99,pɾebˈenɡa,nɡ
100,mulsˈejs,ls
101,desˈase,s
102,ˈunxas,nx
103,aboresˈemos,s
104,meɾˈesko,sk
105,sobɾesˈalɡan,lɡ
106,umedˈesko,sk
107,kondˈises,s
108,ɾepɾodˈusko,sk
109,obtˈenɡas,nɡ
110,enkˈoxa,x
111,enkˈoxan,x
112,empalideskˈamos,sk
113,deskompˈonɡo,nɡ
114,ɾepɾodˈuska,sk
115,sobɾekˈoxan,x
116,suɾçˈimos,ɾç
117,edˈuskan,sk
118,fosfoɾˈeska,sk
119,mantˈenɡa,nɡ
120,sˈuɾxan,ɾx
121,kˈoxan,x
122,enneɡɾˈeska,sk
123,koçˈemos,ç
124,pɾedesˈis,s
125,faboɾesˈemos,s
126,abdˈuska,sk
127,abastˈesko,sk
128,enkoçˈejs,ç
129,pɾediɡˈajs,ɡ
130,unçˈis,nç
131,pɾedispˈonɡan,nɡ
132,ɾekonˈoskan,sk
133,pɾodˈuse,s
134,faboɾˈesko,sk
135,mˈaɾsas,ɾs
136,ɾekonoskˈajs,sk
137,sobɾesalɡˈajs,lɡ
138,aɡɾadeskˈamos,sk
139,astɾˈinxan,nx
140,sedusˈis,s
141,enkaɾesˈejs,s
