model,nlshaped_overall_errors,nlshaped_overall_correct,total_nlshaped_predictions,nlshaped_error_rate,nlshaped_accuracy
10L_90NL_1_1,4034,34906,7,10.36,89.64
10L_90NL_1_2,5971,32969,7,15.33,84.67
10L_90NL_1_3,6456,32484,7,16.58,83.42
10L_90NL_1_4,424,38516,7,1.09,98.91
10L_90NL_2_1,5356,33584,7,13.75,86.25
10L_90NL_2_2,10473,28467,7,26.9,73.1
10L_90NL_2_3,9389,29551,7,24.11,75.89
10L_90NL_2_4,4009,34931,7,10.3,89.7
10L_90NL_3_1,3289,35651,7,8.45,91.55
10L_90NL_3_2,6677,32263,7,17.15,82.85
10L_90NL_3_3,8653,30287,7,22.22,77.78
10L_90NL_3_4,2557,36383,7,6.57,93.43
