model,num_ar_errors,num_ar_correct,total_ar_predictions,ar_present_in_verb_class,ar_not_present_in_verb_class,ar_error_rate,accuracy,accuracy_present_in_verb_class
10L_90NL_1_1,1954,33686,35640,1637,317,5.48,94.52,83.78
10L_90NL_1_2,3326,32314,35640,3097,229,9.33,90.67,93.11
10L_90NL_1_3,3813,31827,35640,3627,186,10.7,89.3,95.12
10L_90NL_1_4,333,35307,35640,212,121,0.93,99.07,63.66
10L_90NL_2_1,2567,31753,34320,2451,116,7.48,92.52,95.48
10L_90NL_2_2,6540,27780,34320,6071,469,19.06,80.94,92.83
10L_90NL_2_3,5456,28864,34320,5058,398,15.9,84.1,92.71
10L_90NL_2_4,1900,32420,34320,1792,108,5.54,94.46,94.32
10L_90NL_3_1,1063,34577,35640,1016,47,2.98,97.02,95.58
10L_90NL_3_2,3917,31723,35640,3595,322,10.99,89.01,91.78
10L_90NL_3_3,5918,29722,35640,5616,302,16.6,83.4,94.9
10L_90NL_3_4,1015,34625,35640,891,124,2.85,97.15,87.78
91.01333333333332
