10L_90NL_1_1,76.58,82.33
10L_90NL_1_2,42.6,63.31
10L_90NL_1_3,51.56,58.87
10L_90NL_1_4,71.67,80.43
10L_90NL_2_1,67.86,74.74
10L_90NL_2_2,62.51,62.62
10L_90NL_2_3,59.46,66.38
10L_90NL_2_4,70.93,81.01
10L_90NL_3_1,70.11,76.72
10L_90NL_3_2,71.02,67.12
10L_90NL_3_3,65.8,67.98
10L_90NL_3_4,66.41,68.94
50L_50NL_1_1,78.15,59.4
50L_50NL_1_2,87.91,69.76
50L_50NL_1_3,87.44,71.34
50L_50NL_1_4,88.82,70.06
50L_50NL_2_1,84.39,69.34
50L_50NL_2_2,90.36,41.52
50L_50NL_2_3,83.88,34.52
50L_50NL_2_4,89.51,47.89
50L_50NL_3_1,83.4,72.51
50L_50NL_3_2,83.01,61.4
50L_50NL_3_3,80.84,57.19
50L_50NL_3_4,81.55,65.25
90L_10NL_1_1,87.21,27.55
90L_10NL_1_2,82.64,26.28
90L_10NL_1_3,85.96,23.03
90L_10NL_1_4,85.63,32.97
90L_10NL_2_1,88.6,22.08
90L_10NL_2_2,88.26,18.68
90L_10NL_2_3,88.38,25.69
90L_10NL_2_4,90.83,17.79
90L_10NL_3_1,89.54,14.27
90L_10NL_3_2,90.98,26.96
90L_10NL_3_3,77.29,19.43
90L_10NL_3_4,90.82,16.34
64.71,84.94,87.18,70.87,60.02,22.59
