model,overall_errors,overall_correct,suffix_errors_when_stems_are_correct,suffix_errors_when_stems_are_incorrect,total_predictions,error_rate,suffix_error_rate_when_stems_are_correct,suffix_error_rate_when_stems_are_incorrect,accuracy,accuracy_when_stems_are_correct,accuracy_when_stems_are_incorrect
90L_10NL_1_1,2460,41045,536,1924,43505,5.65,1.23,4.42,94.35,93.11,89.92
90L_10NL_1_2,2646,40859,487,2159,43505,6.08,1.12,4.96,93.92,92.8,88.96
90L_10NL_1_3,2028,41477,205,1823,43505,4.66,0.47,4.19,95.34,94.87,91.15
90L_10NL_1_4,2451,41054,416,2035,43505,5.63,0.96,4.68,94.37,93.41,89.69
90L_10NL_2_1,2827,40678,356,2471,43505,6.5,0.82,5.68,93.5,92.68,87.82
90L_10NL_2_2,2538,40967,371,2167,43505,5.83,0.85,4.98,94.17,93.31,89.19
90L_10NL_2_3,2899,40606,797,2102,43505,6.66,1.83,4.83,93.34,91.5,88.5
90L_10NL_2_4,2303,41202,329,1974,43505,5.29,0.76,4.54,94.71,93.95,90.17
90L_10NL_3_1,4580,38925,938,3642,43505,10.53,2.16,8.37,89.47,87.32,81.1
90L_10NL_3_2,3865,39640,1207,2658,43505,8.88,2.77,6.11,91.12,88.34,85.01
90L_10NL_3_3,3211,40294,776,2435,43505,7.38,1.78,5.6,92.62,90.84,87.02
90L_10NL_3_4,3064,40441,869,2195,43505,7.04,2.0,5.05,92.96,90.96,87.91
