idx,tgt,lemma,lemma_sf,tgt_sf
0,ɾesˈaɾse,ɾesaɾsˈiɾ,ɾs,ɾs
1,enbileskˈamos,enbilesˈeɾ,s,sk
2,kompadesˈejs,kompadesˈeɾ,s,s
3,enkaɾˈeska,enkaɾesˈeɾ,s,sk
4,ʃukstapˈonɡa,ʃukstaponˈeɾ,n,nɡ
5,ˈunsa,unsˈiɾ,ns,ns
6,distɾˈae,distɾaˈeɾ,,
7,enlentˈeskan,enlentesˈeɾ,s,sk
8,entoɾpˈeska,entoɾpesˈeɾ,s,sk
9,faʃˈesen,faʃesˈeɾ,s,s
10,neɡɾeskˈajs,neɡɾesˈeɾ,s,sk
11,konˈose,konosˈeɾ,s,s
12,enɾaɾesˈejs,enɾaɾesˈeɾ,s,s
13,atjˈene,atenˈeɾ,n,n
14,inteɾdˈise,inteɾdesˈiɾ,s,s
15,ɾenˈaskas,ɾenasˈeɾ,s,sk
16,kontɾabˈenɡa,kontɾabenˈiɾ,n,nɡ
17,eskwˈesa,eskosˈeɾ,s,s
18,adusˈis,adusˈiɾ,s,s
19,estaɾsˈimos,estaɾsˈiɾ,ɾs,ɾs
20,enbilˈeskan,enbilesˈeɾ,s,sk
21,fulxˈamos,fulçˈiɾ,lç,lx
22,enɾoxˈese,enɾoxesˈeɾ,s,s
23,kompaɾˈese,kompaɾesˈeɾ,s,s
24,pɾebˈenɡan,pɾebenˈiɾ,n,nɡ
25,emunçˈemos,emunçˈeɾ,nç,nç
26,empobɾeskˈamos,empobɾesˈeɾ,s,sk
27,konbˈensa,konbensˈeɾ,ns,ns
28,enɾaɾˈesen,enɾaɾesˈeɾ,s,s
29,konbenˈimos,konbenˈiɾ,n,n
30,subbjˈene,subbenˈiɾ,n,n
31,ɾekonosˈemos,ɾekonosˈeɾ,s,s
32,entumˈeska,entumesˈeɾ,s,sk
33,pɾebalˈeska,pɾebalesˈeɾ,s,sk
34,satisfˈase,satisfasˈeɾ,s,s
35,mˈaɾsa,maɾsˈiɾ,ɾs,ɾs
36,desapaɾeskˈajs,desapaɾesˈeɾ,s,sk
37,adbenˈis,adbenˈiɾ,n,n
38,empekeɲˈeska,empekeɲesˈeɾ,s,sk
39,deskonoskˈamos,deskonosˈeɾ,s,sk
40,edˈuska,edusˈiɾ,s,sk
41,desaɡɾadˈeskan,desaɡɾadesˈeɾ,s,sk
42,padˈesko,padesˈeɾ,s,sk
43,obtjˈenen,obtenˈeɾ,n,n
44,apˈonɡas,aponˈeɾ,n,nɡ
45,entumeskˈamos,entumesˈeɾ,s,sk
46,aboresˈemos,aboresˈeɾ,s,s
47,aborˈeskas,aboresˈeɾ,s,sk
48,enkaneskˈamos,enkanesˈeɾ,s,sk
49,despɾotˈeçes,despɾoteçˈeɾ,ç,ç
50,elˈixas,eleçˈiɾ,ç,x
51,enduɾˈeskan,enduɾesˈeɾ,s,sk
52,konflˈixa,konfliçˈiɾ,ç,x
53,desabastˈesko,desabastesˈeɾ,s,sk
54,desmeɾˈeskan,desmeɾesˈeɾ,s,sk
55,deskonbˈenɡo,deskonbenˈiɾ,n,nɡ
56,ɾestɾˈinxas,ɾestɾinçˈiɾ,nç,nx
57,adʃˈaskan,adʃasˈeɾ,s,sk
58,aborˈeskan,aboresˈeɾ,s,sk
59,ˈase,asˈiɾ,s,s
60,ɾˈuxa,ɾuçˈiɾ,ç,x
61,subbˈenɡa,subbenˈiɾ,n,nɡ
62,ofɾˈeska,ofɾesˈeɾ,s,sk
63,lanɡidˈeska,lanɡidesˈeɾ,s,sk
64,enɾaɾˈeskan,enɾaɾesˈeɾ,s,sk
65,eskaɾnˈeses,eskaɾnesˈeɾ,s,s
66,debenˈis,debenˈiɾ,n,n
67,kˈabes,kabˈeɾ,b,b
68,ɾepˈone,ɾeponˈeɾ,n,n
69,korixˈamos,koreçˈiɾ,ç,x
70,embɾutˈese,embɾutesˈeɾ,s,s
71,mˈulse,mulsˈeɾ,ls,ls
72,empodɾeskˈamos,empodɾesˈeɾ,s,sk
73,kompadˈesen,kompadesˈeɾ,s,s
74,areskˈamos,aresˈiɾ,s,sk
75,koçˈejs,koçˈeɾ,ç,ç
76,obskuɾˈesen,obskuɾesˈeɾ,s,s
77,sobɾesˈalɡas,sobɾesalˈiɾ,l,lɡ
78,enaltˈesen,enaltesˈeɾ,s,s
79,obtenˈemos,obtenˈeɾ,n,n
80,ɾetwˈeɾsa,ɾetoɾsˈeɾ,ɾs,ɾs
81,akoçˈemos,akoçˈeɾ,ç,ç
82,empekeɲˈeska,empekeɲesˈeɾ,s,sk
83,embeʃˈesen,embeʃesˈeɾ,s,s
84,faboɾˈesen,faboɾesˈeɾ,s,s
85,edˈuses,edusˈiɾ,s,s
86,enbexeskˈamos,enbexesˈeɾ,s,sk
87,enoɾɡuʃeskˈamos,enoɾɡuʃesˈeɾ,s,sk
88,kˈabes,kabˈeɾ,b,b
89,peɾˈese,peɾesˈeɾ,s,s
90,empalidesˈejs,empalidesˈeɾ,s,s
91,sumeɾxˈajs,sumeɾçˈiɾ,ɾç,ɾx
92,lanɡidˈeses,lanɡidesˈeɾ,s,s
93,kontɾabjˈenen,kontɾabenˈiɾ,n,n
94,estɾemˈeskan,estɾemesˈeɾ,s,sk
95,padeskˈajs,padesˈeɾ,s,sk
96,fˈunçes,funçˈiɾ,nç,nç
97,abstˈeɾçe,absteɾçˈeɾ,ɾç,ɾç
98,ɾeelˈixa,ɾeeleçˈiɾ,ç,x
99,funçˈimos,funçˈiɾ,nç,nç
100,peɾˈese,peɾesˈeɾ,s,s
101,balbˈuska,balbusˈiɾ,s,sk
102,depˈonɡa,deponˈeɾ,n,nɡ
103,komplˈase,komplasˈeɾ,s,s
104,sumeɾxˈajs,sumeɾçˈiɾ,ɾç,ɾx
105,ɾesˈuɾçe,ɾesuɾçˈiɾ,ɾç,ɾç
106,kolˈixan,koleçˈiɾ,ç,x
107,pɾotˈeçes,pɾoteçˈeɾ,ç,ç
108,pɾedˈisen,pɾedesˈiɾ,s,s
109,ˈases,asˈiɾ,s,s
110,ʃukstapˈonɡo,ʃukstaponˈeɾ,n,nɡ
111,konbˈenɡas,konbenˈiɾ,n,nɡ
112,ɾobustesˈemos,ɾobustesˈeɾ,s,s
113,estɾemeskˈamos,estɾemesˈeɾ,s,sk
114,lˈuskan,lusˈiɾ,s,sk
115,konflixˈajs,konfliçˈiɾ,ç,x
116,atenɡˈamos,atenˈeɾ,n,nɡ
117,entumˈese,entumesˈeɾ,s,s
118,enfuɾˈesen,enfuɾesˈeɾ,s,s
119,supeɾpˈone,supeɾponˈeɾ,n,n
120,astɾinçˈis,astɾinçˈiɾ,nç,nç
121,empobɾeskˈajs,empobɾesˈeɾ,s,sk
122,estɾemˈese,estɾemesˈeɾ,s,s
123,eɾˈixo,eɾiçˈiɾ,ç,x
124,ɾeabastesˈemos,ɾeabastesˈeɾ,s,s
125,desˈasɡas,desasˈiɾ,s,sɡ
126,peɾˈeska,peɾesˈeɾ,s,sk
127,atɾaˈemos,atɾaˈeɾ,,
128,dˈiɡas,desˈiɾ,s,ɡ
129,mˈulsa,mulsˈeɾ,ls,ls
130,kontɾadˈises,kontɾadesˈiɾ,s,s
131,peɾteneskˈajs,peɾtenesˈeɾ,s,sk
132,kondiɡˈajs,kondesˈiɾ,s,ɡ
133,balbˈuses,balbusˈiɾ,s,s
134,fulxˈamos,fulçˈiɾ,lç,lx
135,entoɾpeskˈajs,entoɾpesˈeɾ,s,sk
136,fˈunxas,funçˈiɾ,nç,nx
137,akaˈeses,akaesˈeɾ,s,s
138,embɾutˈeses,embɾutesˈeɾ,s,s
139,sobɾebˈenɡas,sobɾebenˈiɾ,n,nɡ
140,mˈulxo,mulçˈeɾ,lç,lx
141,pɾedˈiɡas,pɾedesˈiɾ,s,ɡ
142,faboɾesˈejs,faboɾesˈeɾ,s,s
143,ɾeabastesˈejs,ɾeabastesˈeɾ,s,s
144,sobɾesalˈis,sobɾesalˈiɾ,l,l
145,adˈuska,adusˈiɾ,s,sk
146,ɾenasˈejs,ɾenasˈeɾ,s,s
147,desmeɾˈese,desmeɾesˈeɾ,s,s
148,balˈejs,balˈeɾ,l,l
149,diɾˈiçe,diɾiçˈiɾ,ç,ç
150,ɾekompˈonɡan,ɾekomponˈeɾ,n,nɡ
151,subbjˈenes,subbenˈiɾ,n,n
152,pɾoduskˈajs,pɾodusˈiɾ,s,sk
153,pɾedisponˈemos,pɾedisponˈeɾ,n,n
154,ɾetˈenɡas,ɾetenˈeɾ,n,nɡ
155,enkaɾˈeska,enkaɾesˈeɾ,s,sk
156,ɾesˈaɾses,ɾesaɾsˈiɾ,ɾs,ɾs
157,kontɾadesˈimos,kontɾadesˈiɾ,s,s
158,kɾˈeska,kɾesˈeɾ,s,sk
159,paɾˈeskan,paɾesˈeɾ,s,sk
160,fˈunxa,funçˈiɾ,nç,nx
161,antedesˈimos,antedesˈiɾ,s,s
162,atˈenɡa,atenˈeɾ,n,nɡ
163,detenɡˈajs,detenˈeɾ,n,nɡ
164,ɾobustˈeskan,ɾobustesˈeɾ,s,sk
165,komplaskˈajs,komplasˈeɾ,s,sk
166,abstˈeɾxa,absteɾçˈeɾ,ɾç,ɾx
167,elˈixa,eleçˈiɾ,ç,x
168,aduskˈajs,adusˈiɾ,s,sk
169,kˈajɡo,kaˈeɾ,,jɡ
170,desentumˈesko,desentumesˈeɾ,s,sk
171,adʃaskˈajs,adʃasˈeɾ,s,sk
172,sostˈenɡo,sostenˈeɾ,n,nɡ
173,enɾikˈeses,enɾikesˈeɾ,s,s
174,ekibˈale,ekibalˈeɾ,l,l
175,ɾekompˈonɡas,ɾekomponˈeɾ,n,nɡ
176,sobɾepˈonɡa,sobɾeponˈeɾ,n,nɡ
177,kompadˈeska,kompadesˈeɾ,s,sk
178,deskonˈoskan,deskonosˈeɾ,s,sk
179,entɾebenˈis,entɾebenˈiɾ,n,n
180,adˈuses,adusˈiɾ,s,s
181,enbexesˈejs,enbexesˈeɾ,s,s
182,inteɾponˈejs,inteɾponˈeɾ,n,n
183,emeɾxˈajs,emeɾçˈeɾ,ɾç,ɾx
184,kolˈixas,koleçˈiɾ,ç,x
185,kondˈisen,kondesˈiɾ,s,s
186,fulçˈimos,fulçˈiɾ,lç,lç
187,akaesˈejs,akaesˈeɾ,s,s
188,deskonbˈenɡo,deskonbenˈiɾ,n,nɡ
189,aflˈixan,afliçˈiɾ,ç,x
190,dekɾesˈejs,dekɾesˈeɾ,s,s
191,desentumˈese,desentumesˈeɾ,s,s
192,fɾançˈimos,fɾançˈiɾ,nç,nç
193,enlentˈeskan,enlentesˈeɾ,s,sk
194,desˈasɡa,desasˈiɾ,s,sɡ
195,depˈonɡas,deponˈeɾ,n,nɡ
196,akˈoçen,akoçˈeɾ,ç,ç
197,intɾodˈuskan,intɾodusˈiɾ,s,sk
198,atɾˈajɡo,atɾaˈeɾ,,jɡ
199,entumˈese,entumesˈeɾ,s,s
200,desˈase,desasˈeɾ,s,s
201,enflakˈeska,enflakesˈeɾ,s,sk
202,ɾeabastˈesko,ɾeabastesˈeɾ,s,sk
203,sumˈeɾxa,sumeɾçˈiɾ,ɾç,ɾx
204,estɾemˈeskas,estɾemesˈeɾ,s,sk
205,obtenɡˈajs,obtenˈeɾ,n,nɡ
206,ɾeelˈixo,ɾeeleçˈiɾ,ç,x
207,sobɾesˈalɡas,sobɾesalˈiɾ,l,lɡ
208,mˈulsas,mulsˈeɾ,ls,ls
209,peɾmanˈeska,peɾmanesˈeɾ,s,sk
210,ɾekˈoxa,ɾekoçˈeɾ,ç,x
211,ɾeelˈixo,ɾeeleçˈiɾ,ç,x
212,kɾˈeses,kɾesˈeɾ,s,s
213,subbˈenɡan,subbenˈiɾ,n,nɡ
214,desaɡɾadˈesen,desaɡɾadesˈeɾ,s,s
215,ɾelusˈimos,ɾelusˈiɾ,s,s
216,infɾˈinxo,infɾinçˈiɾ,nç,nx
217,enduɾˈeska,enduɾesˈeɾ,s,sk
218,kˈose,kosˈeɾ,s,s
219,satisfaɡˈamos,satisfasˈeɾ,s,ɡ
220,enneɡɾesˈejs,enneɡɾesˈeɾ,s,s
221,pɾebenˈis,pɾebenˈiɾ,n,n
222,asˈimos,asˈiɾ,s,s
223,aflˈixan,afliçˈiɾ,ç,x
224,depˈonɡa,deponˈeɾ,n,nɡ
225,maldiɡˈajs,maldesˈiɾ,s,ɡ
226,amaɾiʃˈeska,amaɾiʃesˈeɾ,s,sk
227,ɾekonbjˈenen,ɾekonbenˈiɾ,n,n
228,pɾediɡˈamos,pɾedesˈiɾ,s,ɡ
229,empobɾˈeskan,empobɾesˈeɾ,s,sk
230,inteɾbˈenɡo,inteɾbenˈiɾ,n,nɡ
231,emeɾçˈejs,emeɾçˈeɾ,ɾç,ɾç
232,sumˈeɾxas,sumeɾçˈiɾ,ɾç,ɾx
233,ˈaɡa,asˈeɾ,s,ɡ
234,ˈunso,unsˈiɾ,ns,ns
235,distɾˈajɡas,distɾaˈeɾ,,jɡ
236,ɾesˈaɾsas,ɾesaɾsˈiɾ,ɾs,ɾs
237,delˈinke,delinkˈiɾ,nk,nk
238,faʃˈeskas,faʃesˈeɾ,s,sk
239,pɾotˈexo,pɾoteçˈeɾ,ç,x
240,depˈone,deponˈeɾ,n,n
241,aflˈiçes,afliçˈiɾ,ç,ç
242,fɾˈançe,fɾançˈiɾ,nç,nç
243,ensoɾdˈese,ensoɾdesˈeɾ,s,s
244,kolˈiçe,koleçˈiɾ,ç,ç
245,tɾaspˈonen,tɾasponˈeɾ,n,n
246,manutjˈene,manutenˈeɾ,n,n
247,intɾodˈuskas,intɾodusˈiɾ,s,sk
248,enɾikˈeses,enɾikesˈeɾ,s,s
249,distɾˈajɡan,distɾaˈeɾ,,jɡ
250,inteɾpˈonɡas,inteɾponˈeɾ,n,nɡ
251,obtjˈenes,obtenˈeɾ,n,n
252,muxˈajs,muçˈiɾ,ç,x
253,entɾebenɡˈamos,entɾebenˈiɾ,n,nɡ
254,ɾeblandˈeska,ɾeblandesˈeɾ,s,sk
255,enoɾɡuʃeskˈamos,enoɾɡuʃesˈeɾ,s,sk
256,amanˈeses,amanesˈeɾ,s,s
257,deskonbenˈis,deskonbenˈiɾ,n,n
258,enbexˈeskan,enbexesˈeɾ,s,sk
259,derelinkˈajs,derelinkˈiɾ,nk,nk
260,paɾˈese,paɾesˈeɾ,s,s
261,mulsˈamos,mulsˈeɾ,ls,ls
262,fenˈeskan,fenesˈeɾ,s,sk
263,desˈasɡas,desasˈiɾ,s,sɡ
264,pɾedispˈonɡas,pɾedisponˈeɾ,n,nɡ
265,ʃukstaponˈemos,ʃukstaponˈeɾ,n,n
266,ɾepˈonɡan,ɾeponˈeɾ,n,nɡ
267,embeʃˈesko,embeʃesˈeɾ,s,sk
268,sobɾeponɡˈajs,sobɾeponˈeɾ,n,nɡ
269,deskonoskˈajs,deskonosˈeɾ,s,sk
270,tɾanspˈones,tɾansponˈeɾ,n,n
271,apaɾˈese,apaɾesˈeɾ,s,s
272,enaltˈeses,enaltesˈeɾ,s,s
273,desmeɾesˈemos,desmeɾesˈeɾ,s,s
274,debenˈis,debenˈiɾ,n,n
275,ɾobustesˈejs,ɾobustesˈeɾ,s,s
276,fˈunçe,funçˈiɾ,nç,nç
277,elˈixo,eleçˈiɾ,ç,x
278,dekɾˈesko,dekɾesˈeɾ,s,sk
279,enɾikeskˈajs,enɾikesˈeɾ,s,sk
280,ɾestɾinxˈajs,ɾestɾinçˈiɾ,nç,nx
281,inflˈixo,infliçˈiɾ,ç,x
282,satisfaɡˈajs,satisfasˈeɾ,s,ɡ
283,konbeɾçˈemos,konbeɾçˈeɾ,ɾç,ɾç
284,desabastˈesen,desabastesˈeɾ,s,s
285,koxˈajs,koçˈeɾ,ç,x
286,ˈunsas,unsˈiɾ,ns,ns
287,estɾemˈesko,estɾemesˈeɾ,s,sk
288,kˈoçe,koçˈeɾ,ç,ç
289,inteɾbjˈenes,inteɾbenˈiɾ,n,n
290,akɾeskˈamos,akɾesˈeɾ,s,sk
291,ɾekɾudˈeskan,ɾekɾudesˈeɾ,s,sk
292,elˈiçen,eleçˈiɾ,ç,ç
293,ɾexubenˈesko,ɾexubenesˈeɾ,s,sk
294,neɡɾesˈejs,neɡɾesˈeɾ,s,s
295,kosˈamos,kosˈeɾ,s,s
296,konbˈensas,konbensˈeɾ,ns,ns
297,kompaɾˈeska,kompaɾesˈeɾ,s,sk
298,desaɡɾadˈeskan,desaɡɾadesˈeɾ,s,sk
299,neɡɾesˈemos,neɡɾesˈeɾ,s,s
300,peɾˈese,peɾesˈeɾ,s,s
301,desabastˈeskan,desabastesˈeɾ,s,sk
302,empekeɲeskˈamos,empekeɲesˈeɾ,s,sk
303,ofɾesˈemos,ofɾesˈeɾ,s,s
304,komplˈases,komplasˈeɾ,s,s
305,abdˈusen,abdusˈiɾ,s,s
306,ɾelˈuskas,ɾelusˈiɾ,s,sk
307,kontɾabˈenɡas,kontɾabenˈiɾ,n,nɡ
308,ɾekonˈosko,ɾekonosˈeɾ,s,sk
309,adˈuse,adusˈiɾ,s,s
310,fulçˈimos,fulçˈiɾ,lç,lç
311,deɾelinkˈis,deɾelinkˈiɾ,nk,nk
312,aflˈixa,afliçˈiɾ,ç,x
313,desˈis,desˈiɾ,s,s
314,desapaɾˈeses,desapaɾesˈeɾ,s,s
315,eskaeskˈamos,eskaesˈeɾ,s,sk
316,manutjˈenen,manutenˈeɾ,n,n
317,diɡˈajs,desˈiɾ,s,ɡ
318,impˈonɡa,imponˈeɾ,n,nɡ
319,abastˈesen,abastesˈeɾ,s,s
320,eskaˈeses,eskaesˈeɾ,s,s
321,ˈaɡo,asˈeɾ,s,ɡ
322,deskonbjˈene,deskonbenˈiɾ,n,n
323,konbeɾxˈamos,konbeɾçˈeɾ,ɾç,ɾx
324,ɾesuɾxˈajs,ɾesuɾçˈiɾ,ɾç,ɾx
325,kontɾadˈiɡa,kontɾadesˈiɾ,s,ɡ
326,entɾistesˈemos,entɾistesˈeɾ,s,s
327,enbexesˈemos,enbexesˈeɾ,s,s
328,pɾebjˈenes,pɾebenˈiɾ,n,n
329,eskaeskˈajs,eskaesˈeɾ,s,sk
330,ɾekɾudesˈemos,ɾekɾudesˈeɾ,s,s
331,deskonbˈenɡo,deskonbenˈiɾ,n,nɡ
