idx,tgt,lemma,lemma_sf,tgt_sf
0,mantenɡˈamos,mantenˈeɾ,n,nɡ
2,inteɾpˈonɡas,inteɾponˈeɾ,n,nɡ
5,ʃukstaponɡˈamos,ʃukstaponˈeɾ,n,nɡ
10,espˈaɾsas,espaɾsˈiɾ,ɾs,ɾs
16,mˈuxo,muçˈiɾ,ç,x
17,peɾmanˈeska,peɾmanesˈeɾ,s,sk
22,peɾmanˈeses,peɾmanesˈeɾ,s,s
24,sˈuɾso,suɾsˈiɾ,ɾs,ɾs
33,pɾebjˈenes,pɾebenˈiɾ,n,n
35,peɾmanˈeskas,peɾmanesˈeɾ,s,sk
36,desabastˈesko,desabastesˈeɾ,s,sk
38,mˈuxas,muçˈiɾ,ç,x
39,suɾxˈajs,suɾçˈiɾ,ɾç,ɾx
41,ˈaɡa,asˈeɾ,s,ɡ
44,abstˈeɾxo,absteɾçˈeɾ,ɾç,ɾx
46,desabastˈeska,desabastesˈeɾ,s,sk
50,tˈenɡas,tenˈeɾ,n,nɡ
51,pɾebˈenɡa,pɾebenˈiɾ,n,nɡ
52,desaɡɾadˈeses,desaɡɾadesˈeɾ,s,s
53,desapaɾˈese,desapaɾesˈeɾ,s,s
55,tenɡˈamos,tenˈeɾ,n,nɡ
56,inteɾpˈonɡan,inteɾponˈeɾ,n,nɡ
57,inteliçˈis,inteliçˈiɾ,ç,ç
59,tˈenɡa,tenˈeɾ,n,nɡ
64,ɾemˈeska,ɾemesˈeɾ,s,sk
65,pɾebˈenɡa,pɾebenˈiɾ,n,nɡ
66,pɾopˈonɡas,pɾoponˈeɾ,n,nɡ
67,supˈonɡa,suponˈeɾ,n,nɡ
73,mˈuxa,muçˈiɾ,ç,x
74,desbanˈeskan,desbanesˈeɾ,s,sk
78,absteɾxˈamos,absteɾçˈeɾ,ɾç,ɾx
79,ensombɾˈeska,ensombɾesˈeɾ,s,sk
91,abdˈusko,abdusˈiɾ,s,sk
92,enɾikˈese,enɾikesˈeɾ,s,s
99,pɾebˈenɡa,pɾebenˈiɾ,n,nɡ
104,meɾˈesko,meɾesˈeɾ,s,sk
106,umedˈesko,umedesˈeɾ,s,sk
107,kondˈises,kondesˈiɾ,s,s
110,enkˈoxa,enkoçˈeɾ,ç,x
111,enkˈoxan,enkoçˈeɾ,ç,x
116,suɾçˈimos,suɾçˈiɾ,ɾç,ɾç
117,edˈuskan,edusˈiɾ,s,sk
119,mantˈenɡa,mantenˈeɾ,n,nɡ
120,sˈuɾxan,suɾçˈiɾ,ɾç,ɾx
126,abdˈuska,abdusˈiɾ,s,sk
128,enkoçˈejs,enkoçˈeɾ,ç,ç
138,aɡɾadeskˈamos,aɡɾadesˈeɾ,s,sk
142,enɾikˈese,enɾikesˈeɾ,s,s
143,empekeɲesˈemos,empekeɲesˈeɾ,s,s
148,desaɡɾadˈeska,desaɡɾadesˈeɾ,s,sk
150,dispˈone,disponˈeɾ,n,n
161,espaɾsˈimos,espaɾsˈiɾ,ɾs,ɾs
162,ˈaɡan,asˈeɾ,s,ɡ
172,abstˈeɾxan,absteɾçˈeɾ,ɾç,ɾx
173,abduskˈajs,abdusˈiɾ,s,sk
174,neɡlˈixa,neɡliçˈiɾ,ç,x
183,kontˈenɡo,kontenˈeɾ,n,nɡ
189,pɾebˈenɡan,pɾebenˈiɾ,n,nɡ
190,eduskˈajs,edusˈiɾ,s,sk
193,tjˈene,tenˈeɾ,n,n
195,kontjˈenes,kontenˈeɾ,n,n
198,ofɾˈeska,ofɾesˈeɾ,s,sk
200,disponɡˈamos,disponˈeɾ,n,nɡ
201,tenɡˈajs,tenˈeɾ,n,nɡ
205,desabastˈesen,desabastesˈeɾ,s,s
207,mˈuçen,muçˈiɾ,ç,ç
209,desabastˈesen,desabastesˈeɾ,s,s
221,tenˈemos,tenˈeɾ,n,n
225,pɾobenɡˈajs,pɾobenˈiɾ,n,nɡ
226,mulxˈajs,mulçˈeɾ,lç,lx
227,ʃukstaponˈejs,ʃukstaponˈeɾ,n,n
236,indˈusko,indusˈiɾ,s,sk
238,enɾikeskˈamos,enɾikesˈeɾ,s,sk
239,ofɾˈesen,ofɾesˈeɾ,s,s
241,desabasteskˈamos,desabastesˈeɾ,s,sk
243,ɾemˈeska,ɾemesˈeɾ,s,sk
244,pɾobˈenɡan,pɾobenˈiɾ,n,nɡ
249,mˈulçen,mulçˈeɾ,lç,lç
252,mantˈenɡan,mantenˈeɾ,n,nɡ
260,enkˈoçen,enkoçˈeɾ,ç,ç
261,aɡɾadesˈejs,aɡɾadesˈeɾ,s,s
262,espˈaɾsen,espaɾsˈiɾ,ɾs,ɾs
263,intelixˈajs,inteliçˈiɾ,ç,x
265,padeskˈamos,padesˈeɾ,s,sk
266,pɾopˈonɡa,pɾoponˈeɾ,n,nɡ
270,desbaneskˈamos,desbanesˈeɾ,s,sk
272,mantjˈenen,mantenˈeɾ,n,n
274,inteɾpˈonen,inteɾponˈeɾ,n,n
275,ɾemˈeskas,ɾemesˈeɾ,s,sk
276,umedˈeskan,umedesˈeɾ,s,sk
280,abstˈeɾxa,absteɾçˈeɾ,ɾç,ɾx
281,ofɾˈeses,ofɾesˈeɾ,s,s
290,edˈusen,edusˈiɾ,s,s
295,palidesˈemos,palidesˈeɾ,s,s
297,mˈuçen,muçˈiɾ,ç,ç
300,ˈases,asˈeɾ,s,s
302,supˈones,suponˈeɾ,n,n
304,kontjˈenes,kontenˈeɾ,n,n
307,tenˈejs,tenˈeɾ,n,n
310,exˈeɾso,exeɾsˈeɾ,ɾs,ɾs
312,espˈaɾse,espaɾsˈiɾ,ɾs,ɾs
313,inteɾponɡˈajs,inteɾponˈeɾ,n,nɡ
314,pɾoponɡˈamos,pɾoponˈeɾ,n,nɡ
316,mulxˈajs,mulçˈeɾ,lç,lx
317,empekeɲˈeses,empekeɲesˈeɾ,s,s
318,pɾebjˈenes,pɾebenˈiɾ,n,n
319,akɾesˈejs,akɾesˈeɾ,s,s
320,neɡlˈixas,neɡliçˈiɾ,ç,x
324,empekeɲˈesko,empekeɲesˈeɾ,s,sk
328,pɾopˈonɡo,pɾoponˈeɾ,n,nɡ
331,elˈixan,eliçˈiɾ,ç,x
334,neɡlˈixa,neɡliçˈiɾ,ç,x
341,intelˈixa,inteliçˈiɾ,ç,x
349,mˈuxa,muçˈiɾ,ç,x
355,desaɡɾadˈesen,desaɡɾadesˈeɾ,s,s
357,kontjˈene,kontenˈeɾ,n,n
358,neɡliçˈis,neɡliçˈiɾ,ç,ç
360,indˈuska,indusˈiɾ,s,sk
363,pɾebˈenɡo,pɾebenˈiɾ,n,nɡ
365,empekeɲeskˈajs,empekeɲesˈeɾ,s,sk
366,palidˈeska,palidesˈeɾ,s,sk
367,pɾobjˈenen,pɾobenˈiɾ,n,n
373,suɾxˈajs,suɾçˈiɾ,ɾç,ɾx
374,suɾsˈamos,suɾsˈiɾ,ɾs,ɾs
376,espaɾsˈamos,espaɾsˈiɾ,ɾs,ɾs
377,ensombɾˈeses,ensombɾesˈeɾ,s,s
384,pɾebjˈenes,pɾebenˈiɾ,n,n
386,peɾmanˈeskan,peɾmanesˈeɾ,s,sk
390,deskonosˈemos,deskonosˈeɾ,s,s
391,deskonˈoska,deskonosˈeɾ,s,sk
392,palidesˈejs,palidesˈeɾ,s,s
393,pɾobenˈimos,pɾobenˈiɾ,n,n
394,ʃukstaponˈemos,ʃukstaponˈeɾ,n,n
395,deskonˈoses,deskonosˈeɾ,s,s
401,enkˈoçes,enkoçˈeɾ,ç,ç
403,abstˈeɾçen,absteɾçˈeɾ,ɾç,ɾç
409,padeskˈamos,padesˈeɾ,s,sk
411,peɾmanˈeskan,peɾmanesˈeɾ,s,sk
412,enɾikˈesen,enɾikesˈeɾ,s,s
421,kontjˈenen,kontenˈeɾ,n,n
426,ˈases,asˈeɾ,s,s
427,edˈuse,edusˈiɾ,s,s
429,padˈese,padesˈeɾ,s,s
433,elˈiçen,eliçˈiɾ,ç,ç
434,ensombɾˈeska,ensombɾesˈeɾ,s,sk
437,peɾmaneskˈajs,peɾmanesˈeɾ,s,sk
440,enɾikˈeses,enɾikesˈeɾ,s,s
441,neɡlˈixan,neɡliçˈiɾ,ç,x
445,desabastˈesen,desabastesˈeɾ,s,s
449,ɾemeskˈajs,ɾemesˈeɾ,s,sk
450,ʃukstaponˈemos,ʃukstaponˈeɾ,n,n
455,espˈaɾso,espaɾsˈiɾ,ɾs,ɾs
456,abstˈeɾxo,absteɾçˈeɾ,ɾç,ɾx
457,konbeɾçˈemos,konbeɾçˈeɾ,ɾç,ɾç
461,intelˈiçen,inteliçˈiɾ,ç,ç
464,pɾoponɡˈajs,pɾoponˈeɾ,n,nɡ
465,inteɾpˈonen,inteɾponˈeɾ,n,n
466,espˈaɾsa,espaɾsˈiɾ,ɾs,ɾs
467,meɾeskˈajs,meɾesˈeɾ,s,sk
468,meɾˈese,meɾesˈeɾ,s,s
471,pɾopˈonɡa,pɾoponˈeɾ,n,nɡ
473,desbanˈeska,desbanesˈeɾ,s,sk
475,ɾemˈeska,ɾemesˈeɾ,s,sk
476,suɾsˈimos,suɾsˈiɾ,ɾs,ɾs
477,enɾikˈeskan,enɾikesˈeɾ,s,sk
478,abstˈeɾxa,absteɾçˈeɾ,ɾç,ɾx
483,absteɾçˈemos,absteɾçˈeɾ,ɾç,ɾç
485,espˈaɾsa,espaɾsˈiɾ,ɾs,ɾs
487,aɡɾadesˈemos,aɡɾadesˈeɾ,s,s
490,meɾˈesen,meɾesˈeɾ,s,s
492,mantˈenɡo,mantenˈeɾ,n,nɡ
493,espˈaɾsen,espaɾsˈiɾ,ɾs,ɾs
495,konbˈeɾçe,konbeɾçˈeɾ,ɾç,ɾç
496,pɾebenˈimos,pɾebenˈiɾ,n,n
497,inteɾpˈonɡan,inteɾponˈeɾ,n,nɡ
502,aɡɾadˈeskan,aɡɾadesˈeɾ,s,sk
503,umedˈese,umedesˈeɾ,s,s
504,kondˈise,kondesˈiɾ,s,s
506,desapaɾˈeskan,desapaɾesˈeɾ,s,sk
509,ʃukstaponˈejs,ʃukstaponˈeɾ,n,n
512,pɾebjˈenen,pɾebenˈiɾ,n,n
513,empekeɲesˈejs,empekeɲesˈeɾ,s,s
515,padeskˈamos,padesˈeɾ,s,sk
517,elˈiçe,eliçˈiɾ,ç,ç
518,exˈeɾses,exeɾsˈeɾ,ɾs,ɾs
519,indˈusen,indusˈiɾ,s,s
521,ˈase,asˈeɾ,s,s
522,palidˈeskan,palidesˈeɾ,s,sk
524,meɾˈesen,meɾesˈeɾ,s,s
525,mantˈenɡa,mantenˈeɾ,n,nɡ
531,ɾemˈeska,ɾemesˈeɾ,s,sk
