model,num_ir_errors,num_ir_correct,total_ir_predictions,ir_present_in_verb_class,ir_not_present_in_verb_class,ir_error_rate,accuracy,accuracy_present_in_verb_class
90L_10NL_1_1,209,11616,11825,0,209,1.77,98.23,0.0
90L_10NL_1_2,191,11634,11825,34,157,1.62,98.38,17.8
90L_10NL_1_3,135,11690,11825,0,135,1.14,98.86,0.0
90L_10NL_1_4,241,11584,11825,2,239,2.04,97.96,0.83
90L_10NL_2_1,271,14194,14465,18,253,1.87,98.13,6.64
90L_10NL_2_2,164,14301,14465,1,163,1.13,98.87,0.61
90L_10NL_2_3,146,14319,14465,5,141,1.01,98.99,3.42
90L_10NL_2_4,158,14307,14465,17,141,1.09,98.91,10.76
90L_10NL_3_1,197,14983,15180,86,111,1.3,98.7,43.65
90L_10NL_3_2,120,15060,15180,22,98,0.79,99.21,18.33
90L_10NL_3_3,127,15053,15180,12,115,0.84,99.16,9.45
90L_10NL_3_4,184,14996,15180,62,122,1.21,98.79,33.7
98.6825
