10L_90NL_1_1,0.0,0.0
10L_90NL_1_2,8.74,0.0
10L_90NL_1_3,9.05,0.0
10L_90NL_1_4,70.15,1.81
10L_90NL_2_1,70.22,1.68
10L_90NL_2_2,8.79,0.0
10L_90NL_2_3,8.85,0.0
10L_90NL_2_4,73.81,1.86
10L_90NL_3_1,81.13,2.03
10L_90NL_3_2,9.85,0.0
10L_90NL_3_3,7.94,0.0
10L_90NL_3_4,73.9,1.86
50L_50NL_1_1,0.01,0.0
50L_50NL_1_2,11.18,0.0
50L_50NL_1_3,10.62,0.0
50L_50NL_1_4,17.73,0.0
50L_50NL_2_1,0.0,0.0
50L_50NL_2_2,10.54,0.0
50L_50NL_2_3,10.95,0.0
50L_50NL_2_4,20.12,0.0
50L_50NL_3_1,0.0,0.0
50L_50NL_3_2,10.48,0.0
50L_50NL_3_3,10.75,0.0
50L_50NL_3_4,16.84,0.0
90L_10NL_1_1,12.13,0.0
90L_10NL_1_2,10.6,0.0
90L_10NL_1_3,11.17,0.0
90L_10NL_1_4,11.22,0.0
90L_10NL_2_1,10.88,0.0
90L_10NL_2_2,11.83,0.0
90L_10NL_2_3,11.41,0.0
90L_10NL_2_4,11.71,0.0
90L_10NL_3_1,12.65,0.0
90L_10NL_3_2,12.08,0.0
90L_10NL_3_3,11.96,0.0
90L_10NL_3_4,12.96,0.0
61.88,87.42,88.62,5.03,3.95,1.79,73.29,65.37,26.83,2.53,11.27,9.69
