model,num_er_errors,num_er_correct,total_er_predictions,er_present_in_verb_class,er_not_present_in_verb_class,er_error_rate,accuracy,accuracy_present_in_verb_class
90L_10NL_1_1,134,27586,27720,33,101,0.48,99.52,24.63
90L_10NL_1_2,416,27304,27720,327,89,1.5,98.5,78.61
90L_10NL_1_3,45,27675,27720,42,3,0.16,99.84,93.33
90L_10NL_1_4,144,27576,27720,137,7,0.52,99.48,95.14
90L_10NL_2_1,287,24793,25080,178,109,1.14,98.86,62.02
90L_10NL_2_2,303,24777,25080,49,254,1.21,98.79,16.17
90L_10NL_2_3,387,24693,25080,76,311,1.54,98.46,19.64
90L_10NL_2_4,351,24729,25080,115,236,1.4,98.6,32.76
90L_10NL_3_1,659,23046,23705,320,339,2.78,97.22,48.56
90L_10NL_3_2,893,22812,23705,153,740,3.77,96.23,17.13
90L_10NL_3_3,435,23270,23705,58,377,1.84,98.16,13.33
90L_10NL_3_4,503,23202,23705,44,459,2.12,97.88,8.75
