src1_sf,src2_sf,tgt_sf
nɡ,nɡ,nɡ
s,s,sk
sk,sk,s
sk,sk,sk
ç,x,ç
ɾx,ɾx,ɾç
s,sk,sk
ns,ns,ns
nɡ,nɡ,nɡ
s,sk,sk
nɡ,n,nɡ
ɾç,ɾx,ɾx
s,sk,s
s,sk,sk
s,sk,sk
sk,sk,sk
nɡ,nɡ,n
nɡ,n,nɡ
nɡ,n,nɡ
l,lɡ,lɡ
s,sk,sk
sk,sk,s
s,sk,sk
ɾs,ɾs,ɾs
s,sk,sk
ɡ,ɡ,ɡ
nɡ,nɡ,nɡ
s,sk,sk
ɾç,ɾx,ɾx
s,sk,sk
s,sk,sk
sk,sk,sk
s,s,sk
s,s,sk
nɡ,n,nɡ
s,s,s
sk,sk,sk
x,x,ç
ɾx,ɾx,ɾx
n,nɡ,n
jɡ,jɡ,jɡ
ç,x,ç
s,sk,sk
n,nɡ,n
nç,nx,nx
n,nɡ,nɡ
s,sk,sk
sk,sk,s
s,sk,s
s,ɡ,ɡ
p,p,b
sk,sk,s
s,sk,sk
ç,ç,ç
ɾç,ɾx,ɾx
s,sk,sk
s,sk,s
nɡ,n,n
sk,sk,s
s,s,sk
s,ɡ,s
nç,nç,nx
s,s,sk
s,sk,sk
ɡ,ɡ,ɡ
sk,sk,sk
ç,x,ç
sk,sk,s
s,sk,sk
n,nɡ,n
nɡ,nɡ,nɡ
n,nɡ,n
s,s,s
s,sk,s
s,sk,sk
nx,nx,nç
sk,sk,s
ç,ç,x
s,sk,s
sk,sk,sk
nɡ,n,n
sk,sk,sk
s,sk,sk
sk,sk,sk
s,ɡ,ɡ
s,sk,s
sk,sk,sk
ns,ns,ns
nɡ,n,nɡ
s,sk,sk
sk,sk,sk
sk,sk,sk
sk,sk,s
sk,sk,sk
n,nɡ,nɡ
s,sk,sk
s,sk,sk
s,ɡ,ɡ
lç,lx,lx
ɾç,ɾx,ɾç
s,sk,s
s,sk,sk
n,n,nɡ
nk,nk,nk
ç,x,ç
s,sk,s
s,s,s
sk,sk,sk
nk,nk,nk
s,sk,s
lç,lx,lç
ç,ç,x
s,sk,sk
nɡ,nɡ,nɡ
sk,sk,s
s,s,sk
ns,ns,ns
s,sk,sk
s,sk,sk
nɡ,nɡ,nɡ
s,sk,sk
lç,lx,lx
n,n,nɡ
nç,nç,nx
nɡ,nɡ,nɡ
lç,lx,lx
ɾç,ɾx,ɾx
sk,sk,sk
s,sk,s
s,ɡ,s
nɡ,nɡ,n
s,s,sk
sk,sk,s
s,s,sk
nɡ,nɡ,n
s,sk,sk
x,x,ç
ɡ,ɡ,ɡ
nç,nç,nx
ç,ç,ç
n,nɡ,n
s,sk,sk
nç,nx,nç
nɡ,n,n
s,s,sk
sk,sk,s
ç,x,x
ɾs,ɾs,ɾs
sk,sk,s
ns,ns,ns
s,s,s
nɡ,n,nɡ
nx,nx,nç
nɡ,nɡ,nɡ
nk,nk,nk
n,nɡ,nɡ
s,sk,sk
nç,nx,nç
nç,nx,nç
sk,sk,sk
ç,x,ç
ns,ns,ns
ɾs,ɾs,ɾs
s,sk,sk
ɾx,ɾx,ɾç
s,sk,s
sk,sk,sk
s,s,sk
s,s,s
s,ɡ,ɡ
,,jɡ
sk,sk,sk
nx,nx,nç
s,s,sk
nç,nx,nç
ç,x,x
ɾç,ɾx,ɾç
s,sk,s
nç,nx,nx
sk,sk,sk
ɾs,ɾs,ɾs
ɡ,ɡ,ɡ
sk,sk,sk
s,sk,s
s,sk,sk
sk,sk,sk
ɾç,ɾx,ɾx
sk,sk,s
nɡ,nɡ,n
nç,nx,nx
sk,sk,sk
b,p,b
,jɡ,
sk,sk,s
s,sk,sk
n,n,nɡ
s,sk,sk
nɡ,n,n
s,sk,sk
s,sk,sk
l,lɡ,l
n,nɡ,n
nɡ,n,nɡ
s,s,s
sk,sk,sk
nɡ,nɡ,nɡ
s,s,s
ɾs,ɾs,ɾs
ls,ls,ls
s,sk,s
s,s,sk
s,s,s
ç,ç,ç
s,sk,sk
s,sk,sk
s,ɡ,s
sk,sk,s
sk,sk,s
s,s,s
s,ɡ,ɡ
sk,sk,sk
s,sk,sk
ç,x,x
nɡ,nɡ,nɡ
sk,sk,sk
s,sk,s
nɡ,nɡ,n
b,p,p
sk,sk,s
s,ɡ,ɡ
ɾx,ɾx,ɾx
sɡ,sɡ,sɡ
sk,sk,s
s,sk,s
sk,sk,s
sk,sk,sk
s,sk,sk
s,sk,s
nɡ,n,nɡ
,jɡ,jɡ
s,sk,s
sk,sk,s
sk,sk,sk
s,sk,sk
sk,sk,sk
ɾç,ɾç,ɾx
x,x,x
s,sk,s
s,sk,sk
s,sk,sk
n,nɡ,nɡ
,jɡ,
s,sk,s
ns,ns,ns
sk,sk,s
ɾs,ɾs,ɾs
s,sk,s
s,sk,sk
nç,nx,nç
sk,sk,s
s,sk,sk
sk,sk,s
ç,ç,ç
ɾx,ɾx,ɾx
sk,sk,s
sk,sk,sk
x,x,x
ç,x,ç
sk,sk,sk
sk,sk,s
s,sk,s
n,nɡ,nɡ
sk,sk,sk
s,sk,sk
sk,sk,s
lç,lx,lç
s,sk,sk
s,sk,sk
n,nɡ,nɡ
n,n,nɡ
,jɡ,jɡ
n,nɡ,n
sk,sk,sk
s,sk,sk
sk,sk,s
n,nɡ,nɡ
ɾx,ɾx,ɾx
s,sk,sk
sk,sk,sk
ç,x,x
s,ɡ,ɡ
sk,sk,s
s,sk,sk
s,s,s
s,sk,sk
n,nɡ,nɡ
s,s,sk
jɡ,jɡ,
sk,sk,s
s,s,s
,jɡ,jɡ
s,sk,s
sk,sk,s
sk,sk,sk
s,sk,sk
s,sk,sk
s,sk,s
s,ɡ,ɡ
s,s,sk
sk,sk,s
s,ɡ,ɡ
ç,x,x
s,sk,s
s,sk,sk
sk,sk,sk
sk,sk,s
jɡ,jɡ,
s,sk,sk
ɾx,ɾx,ɾç
s,sk,sk
sk,sk,sk
ç,x,x
s,ɡ,s
nx,nx,nx
jɡ,jɡ,
s,sk,sk
s,s,sk
sk,sk,s
n,nɡ,n
lɡ,l,l
b,p,p
nç,nx,nx
s,sk,s
s,ɡ,ɡ
ç,x,ç
s,sk,sk
s,sk,sk
sk,sk,sk
s,ɡ,ɡ
s,sk,s
s,sk,s
n,n,nɡ
s,s,s
s,s,sk
sk,sk,s
x,x,ç
sk,sk,s
ɾç,ɾx,ɾx
sk,sk,sk
sk,sk,sk
lx,lx,lx
ls,ls,ls
s,sk,sk
l,l,lɡ
s,sk,sk
s,s,sk
ɾç,ɾx,ɾç
sk,sk,s
sk,sk,s
sk,sk,s
n,nɡ,nɡ
x,x,ç
lɡ,lɡ,lɡ
sk,sk,s
s,sk,s
n,nɡ,nɡ
s,sk,sk
s,sk,sk
ç,x,ç
s,ɡ,ɡ
nk,nk,nk
s,ɡ,ɡ
x,x,ç
l,lɡ,lɡ
x,x,x
nɡ,n,n
sk,sk,sk
sk,sk,sk
s,sk,sk
ç,x,x
sk,sk,s
sk,sk,s
ɾs,ɾs,ɾs
ç,x,ç
ɡ,ɡ,s
s,sk,sk
ɡ,ɡ,ɡ
nɡ,n,nɡ
s,sk,sk
nç,nç,nç
sk,sk,s
x,x,ç
nɡ,nɡ,n
s,sk,s
ɾç,ɾx,ɾç
sk,sk,s
s,s,sk
nç,nx,nx
sk,sk,sk
nɡ,nɡ,n
nɡ,nɡ,nɡ
n,nɡ,nɡ
s,sk,sk
ns,ns,ns
nɡ,n,nɡ
sk,sk,sk
s,ɡ,s
s,sk,sk
sk,sk,s
s,sk,s
nɡ,n,nɡ
s,s,sk
s,sk,sk
ɡ,ɡ,s
ns,ns,ns
s,ɡ,ɡ
s,s,sk
ɾç,ɾx,ɾx
nç,nx,nx
s,s,s
sk,sk,s
s,s,sk
s,sk,sk
s,sk,sk
s,sk,sk
s,sk,s
ç,x,x
n,nɡ,nɡ
x,x,x
nɡ,nɡ,nɡ
sk,sk,s
s,sk,sk
ɾç,ɾx,ɾx
nç,nx,nç
s,sk,s
n,nɡ,n
nɡ,n,nɡ
s,s,sk
s,s,sk
s,s,s
ç,ç,x
nɡ,nɡ,nɡ
n,nɡ,n
ɾç,ɾx,ɾç
s,s,s
s,sk,sk
s,sk,s
nx,nx,nç
s,s,s
sk,sk,s
ns,ns,ns
nɡ,n,n
,jɡ,jɡ
s,sk,s
s,s,s
,,
s,sk,sk
ɾs,ɾs,ɾs
ns,ns,ns
s,sk,sk
nk,nk,nk
,jɡ,jɡ
sk,sk,s
s,sk,s
s,s,sk
s,sk,s
s,sk,s
ç,x,x
ɾx,ɾx,ɾç
sk,sk,s
s,sk,sk
s,s,s
s,sk,sk
n,nɡ,nɡ
