src1_sf,src2_sf,tgt_sf
s,sk,sk
ɡ,ɡ,ɡ
p,p,p
sk,sk,s
sk,sk,s
s,sk,s
sk,sk,sk
s,sk,sk
s,sk,s
sk,sk,s
sk,sk,s
s,sk,sk
s,sk,s
s,sk,sk
sk,sk,s
s,s,ɡ
ɾs,ɾs,ɾs
nɡ,n,nɡ
s,sk,s
s,sk,sk
s,sk,sk
n,nɡ,nɡ
ç,ç,x
s,s,sk
ɡ,ɡ,ɡ
s,s,ɡ
nɡ,n,n
nɡ,nɡ,nɡ
s,s,s
sk,sk,s
s,sk,s
nç,nx,nç
nɡ,n,nɡ
n,n,nɡ
,jɡ,
n,nɡ,n
nɡ,n,nɡ
l,lɡ,lɡ
s,sk,s
lç,lç,lx
ɾç,ɾç,ɾx
nɡ,nɡ,n
s,s,sk
jɡ,jɡ,jɡ
s,s,sk
s,s,ɡ
ç,x,x
,jɡ,jɡ
s,sk,s
s,s,s
nɡ,nɡ,n
ɾç,ɾx,ɾx
s,s,s
s,s,sk
s,ɡ,ɡ
ns,ns,ns
ls,ls,ls
sk,sk,sk
ɾç,ɾx,ɾç
s,ɡ,ɡ
ls,ls,ls
s,sk,sk
ç,x,x
ɾç,ɾx,ɾç
s,s,s
nç,nç,nç
s,sk,sk
sk,sk,s
sk,sk,s
s,sk,s
s,ɡ,s
s,s,sk
s,s,sk
s,sk,sk
nɡ,n,n
s,s,sk
lç,lx,lx
ç,x,ç
nç,nx,nç
s,sk,sk
s,s,sk
ɾç,ɾx,ɾç
s,sk,sk
n,nɡ,n
s,sk,sk
n,nɡ,n
sk,sk,s
nɡ,nɡ,n
,jɡ,jɡ
s,sk,sk
s,sk,sk
s,sk,sk
s,sk,s
ç,x,ç
s,ɡ,s
nɡ,nɡ,nɡ
s,s,sk
nç,nç,nx
n,nɡ,n
s,sk,s
s,s,sk
sk,sk,sk
nɡ,nɡ,n
ç,ç,ç
n,nɡ,nɡ
s,sk,s
s,s,sk
,,
s,sk,sk
ɡ,ɡ,s
s,sk,sk
s,sk,sk
ɾç,ɾç,ɾx
s,s,s
s,sk,s
ɾç,ɾx,ɾç
sk,sk,s
s,sk,s
sk,sk,sk
s,sk,sk
nç,nx,nx
lx,lx,lx
ns,ns,ns
sk,sk,sk
s,s,sk
nɡ,nɡ,nɡ
nɡ,n,n
sk,sk,s
sk,sk,s
k,k,k
ɾx,ɾx,ɾx
sɡ,s,s
sk,sk,sk
n,nɡ,nɡ
s,sk,sk
nɡ,nɡ,nɡ
s,s,s
nɡ,nɡ,n
nɡ,n,nɡ
s,sk,s
nɡ,nɡ,n
s,s,sɡ
sk,sk,s
s,sk,sk
s,sk,sk
s,sk,sk
sk,sk,s
ç,x,x
s,sk,s
lɡ,lɡ,l
s,sk,s
nɡ,nɡ,n
jɡ,jɡ,jɡ
sk,sk,s
ç,x,x
s,s,sk
nk,nk,nk
s,sk,s
n,nɡ,nɡ
s,sk,sk
ɾx,ɾx,ɾx
l,lɡ,l
s,s,sk
ɡ,ɡ,ɡ
sk,sk,s
nɡ,n,nɡ
sk,sk,s
nɡ,n,nɡ
s,s,s
s,sk,s
s,sk,s
sk,sk,sk
ç,x,x
s,s,sk
jɡ,jɡ,
x,x,x
jɡ,jɡ,
sk,sk,s
b,p,b
ɾç,ɾç,ɾx
s,sk,sk
s,s,sk
sk,sk,s
ç,x,ç
x,x,ç
ç,x,x
,jɡ,jɡ
s,sk,sk
s,sk,s
nç,nç,nx
x,x,ç
nɡ,n,n
jɡ,jɡ,jɡ
s,sk,sk
s,sk,sk
ɾç,ɾx,ɾx
s,sk,sk
n,n,nɡ
ɾç,ɾx,ɾç
s,sk,sk
s,sk,s
jɡ,jɡ,
s,sk,s
sk,sk,sk
ɾs,ɾs,ɾs
s,sk,s
x,x,x
lɡ,lɡ,lɡ
nɡ,nɡ,n
sk,sk,sk
,,jɡ
l,lɡ,l
nç,nx,nç
nɡ,nɡ,n
ɾs,ɾs,ɾs
x,x,ç
ç,x,x
s,s,sk
ɡ,ɡ,ɡ
s,ɡ,s
nɡ,n,n
ns,ns,ns
ç,x,x
sk,sk,sk
ɾç,ɾx,ɾç
lx,lx,lç
nɡ,nɡ,n
n,nɡ,nɡ
sk,sk,s
sk,sk,sk
n,nɡ,n
ɡ,ɡ,ɡ
x,x,ç
nç,nx,nx
n,nɡ,n
n,nɡ,n
nɡ,n,n
ç,x,x
s,sk,s
s,sk,s
sk,sk,s
nɡ,nɡ,nɡ
nx,nx,nx
n,nɡ,n
ɾx,ɾx,ɾç
s,sk,sk
k,k,k
s,sk,sk
s,sk,s
ɡ,ɡ,s
s,s,s
s,ɡ,ɡ
b,p,b
s,sɡ,sɡ
k,k,k
s,s,s
s,ɡ,s
n,n,nɡ
s,sk,s
s,sk,s
sk,sk,s
ç,x,x
ç,x,ç
s,sk,sk
n,n,nɡ
sk,sk,s
n,nɡ,nɡ
s,s,sk
s,s,s
s,sk,s
sk,sk,s
s,s,s
s,sk,s
s,sk,s
ɾç,ɾç,ɾx
sk,sk,sk
sk,sk,sk
sk,sk,s
sk,sk,sk
nɡ,n,n
s,sk,s
sk,sk,sk
s,s,sk
nɡ,n,nɡ
n,n,nɡ
ls,ls,ls
ɾs,ɾs,ɾs
s,sk,sk
sk,sk,s
sk,sk,s
s,sk,sk
ls,ls,ls
lç,lx,lç
s,s,s
nɡ,nɡ,nɡ
nɡ,n,nɡ
,jɡ,jɡ
nɡ,n,nɡ
s,s,s
s,s,s
sk,sk,s
s,sk,sk
nɡ,nɡ,n
s,sk,s
ɾs,ɾs,ɾs
ɡ,ɡ,s
s,sk,s
nɡ,nɡ,n
x,x,x
nɡ,nɡ,n
nɡ,n,n
s,s,ɡ
s,s,s
s,s,sk
nç,nx,nx
nk,nk,nk
s,sk,sk
x,x,x
nɡ,nɡ,n
ɡ,ɡ,s
ns,ns,ns
s,s,sk
sk,sk,sk
s,sk,sk
s,sk,sk
sk,sk,sk
s,sk,sk
ç,x,ç
nɡ,nɡ,n
s,sk,s
sk,sk,sk
nɡ,n,nɡ
ɾç,ɾx,ɾç
ç,x,x
nɡ,n,nɡ
ç,x,ç
sɡ,s,sɡ
n,nɡ,n
nç,nx,nç
nç,nx,nç
s,sk,sk
s,s,sk
s,sk,sk
s,sk,s
nx,nx,nx
s,sk,sk
nɡ,nɡ,n
sk,sk,sk
s,sk,sk
s,s,s
sɡ,s,s
sk,sk,sk
ɾç,ɾx,ɾx
ns,ns,ns
sk,sk,sk
nɡ,nɡ,nɡ
sk,sk,s
sk,sk,s
ç,x,x
sk,sk,s
s,sk,s
n,nɡ,nɡ
s,s,sk
ç,x,x
s,s,s
ɾs,ɾs,ɾs
nɡ,nɡ,n
sk,sk,s
s,sk,sk
sk,sk,sk
s,sk,sk
s,sk,sk
n,nɡ,n
ns,ns,ns
s,sk,sk
ns,ns,ns
s,sk,sk
s,s,sk
ç,x,x
nɡ,nɡ,nɡ
sk,sk,s
nk,nk,nk
ç,x,x
s,sk,sk
ɾç,ɾx,ɾç
nç,nx,nx
s,sk,s
sk,sk,s
nɡ,n,n
nɡ,n,nɡ
s,sk,s
x,x,x
n,nɡ,nɡ
s,s,s
sk,sk,sk
s,s,s
,jɡ,
sk,sk,s
nɡ,nɡ,n
sk,sk,s
s,sk,s
s,s,sk
s,sk,sk
s,sk,s
sk,sk,sk
n,n,nɡ
x,x,x
nɡ,n,nɡ
sk,sk,s
s,s,sk
s,s,ɡ
sk,sk,s
nx,nx,nç
sk,sk,s
s,s,s
,jɡ,jɡ
ç,x,x
nɡ,nɡ,nɡ
s,sk,sk
sk,sk,s
nɡ,nɡ,nɡ
s,s,sk
nɡ,n,n
s,ɡ,ɡ
ɾs,ɾs,ɾs
sk,sk,s
ç,ç,x
ɡ,ɡ,s
ns,ns,ns
,jɡ,
n,n,n
nɡ,nɡ,n
n,n,nɡ
s,sk,sk
nɡ,nɡ,nɡ
nɡ,nɡ,n
nɡ,n,n
ɾç,ɾx,ɾç
sk,sk,sk
ns,ns,ns
ç,x,x
nɡ,n,n
s,ɡ,s
ç,ç,x
sk,sk,sk
s,sk,sk
sk,sk,s
ɾs,ɾs,ɾs
s,sk,sk
nɡ,n,n
n,n,n
s,s,s
,jɡ,jɡ
nɡ,n,n
s,sk,s
nɡ,n,nɡ
sɡ,s,s
nɡ,nɡ,nɡ
sk,sk,s
s,sk,sk
sk,sk,sk
nk,nk,nk
sk,sk,s
nɡ,n,nɡ
s,sk,sk
n,n,nɡ
s,sk,s
ɾs,ɾs,ɾs
s,s,sk
nç,nx,nç
sk,sk,s
s,sk,sk
nɡ,nɡ,nɡ
nɡ,n,n
sk,sk,s
l,lɡ,lɡ
nɡ,n,nɡ
n,nɡ,n
s,sk,sk
s,sk,sk
sk,sk,s
s,sk,s
ɾx,ɾx,ɾç
nk,nk,nk
s,sk,sk
,jɡ,jɡ
s,sk,sk
x,x,ç
nç,nx,nç
nç,nx,nx
sk,sk,s
nɡ,nɡ,nɡ
nɡ,nɡ,nɡ
ç,ç,x
s,sk,s
ɾs,ɾs,ɾs
lɡ,lɡ,l
s,ɡ,ɡ
nç,nx,nx
nk,nk,nk
s,sk,sk
nk,nk,nk
sk,sk,sk
s,s,s
ɾs,ɾs,ɾs
s,sk,s
nç,nx,nç
sk,sk,sk
s,sk,s
s,sk,sk
nɡ,n,n
s,sk,sk
s,sk,sk
nɡ,nɡ,nɡ
s,s,sk
ç,x,ç
nɡ,nɡ,n
s,s,sk
s,sk,s
s,sk,s
s,sk,sk
nx,nx,nx
s,sk,sk
sk,sk,s
s,ɡ,ɡ
n,n,nɡ
ɡ,ɡ,s
x,x,ç
x,x,x
x,x,x
x,x,x
s,sk,s
s,sk,sk
s,s,s
s,sk,s
sk,sk,s
s,s,sk
ls,ls,ls
ns,ns,ns
s,s,sk
s,s,s
n,nɡ,nɡ
nɡ,nɡ,nɡ
ɡ,ɡ,ɡ
ç,x,x
ns,ns,ns
nx,nx,nx
s,sk,s
ç,x,x
sk,sk,sk
nç,nx,nç
nɡ,nɡ,n
sk,sk,s
sk,sk,sk
s,s,sk
s,sk,s
ç,ç,ç
