src1_sf,src2_sf,tgt_sf
sk,sk,s
x,x,ç
jɡ,jɡ,jɡ
s,sk,s
s,sk,sk
s,sk,sk
s,sk,s
s,s,s
nɡ,nɡ,nɡ
n,nɡ,n
ɡ,ɡ,ɡ
s,sk,sk
s,sk,sk
nɡ,nɡ,n
ç,x,ç
s,sk,s
sk,sk,s
k,k,k
s,sk,s
nɡ,n,n
ls,ls,ls
,jɡ,jɡ
sk,sk,sk
s,s,s
s,sk,sk
ɡ,ɡ,ɡ
ns,ns,ns
s,sk,sk
ç,x,ç
ɾç,ɾx,ɾç
s,ɡ,s
nɡ,n,nɡ
s,sk,sk
n,n,nɡ
s,ɡ,ɡ
ɾx,ɾx,ɾx
nç,nx,nç
s,sk,sk
s,sk,s
nɡ,nɡ,nɡ
s,sk,sk
n,nɡ,nɡ
n,nɡ,n
s,sk,sk
nç,nx,nç
s,s,s
s,sk,sk
n,nɡ,n
n,nɡ,nɡ
sk,sk,sk
n,nɡ,nɡ
s,sk,sk
s,sk,s
nk,nk,nk
nɡ,nɡ,nɡ
s,s,sk
ç,x,ç
sk,sk,s
nɡ,nɡ,n
jɡ,jɡ,jɡ
n,nɡ,nɡ
nç,nx,nx
ns,ns,ns
ɾs,ɾs,ɾs
s,sk,sk
n,nɡ,nɡ
ç,ç,ç
nɡ,n,n
s,s,s
lɡ,l,lɡ
ɾç,ɾx,ɾç
n,nɡ,n
ɾx,ɾx,ɾx
nɡ,n,nɡ
nɡ,nɡ,nɡ
nx,nx,nx
n,nɡ,n
s,sk,s
sk,sk,sk
n,nɡ,nɡ
ç,ç,ç
n,nɡ,nɡ
s,sk,sk
ç,x,x
s,sk,sk
ɾx,ɾx,ɾx
s,sk,sk
nɡ,nɡ,n
s,ɡ,ɡ
sk,sk,s
n,nɡ,nɡ
ç,x,x
nç,nx,nç
s,s,sk
s,s,sk
s,sk,sk
sk,sk,s
s,s,sk
nɡ,nɡ,n
s,s,s
nɡ,nɡ,n
ç,ç,x
nɡ,nɡ,nɡ
sk,sk,sk
n,nɡ,nɡ
nɡ,n,nɡ
sk,sk,s
k,k,k
sk,sk,s
s,s,sk
n,nɡ,nɡ
s,sk,sk
,jɡ,jɡ
s,sk,sk
nɡ,nɡ,n
s,sk,sk
s,sk,sk
nɡ,nɡ,n
sk,sk,sk
s,ɡ,s
n,nɡ,nɡ
s,sk,sk
ç,x,x
s,sk,sk
n,nɡ,n
s,sk,sk
sk,sk,s
nx,nx,nx
sk,sk,s
s,sk,s
nɡ,n,nɡ
ç,ç,x
ç,x,x
sk,sk,s
jɡ,jɡ,jɡ
s,sk,sk
sk,sk,s
sk,sk,sk
s,s,sk
