src1_sf,src2_sf,tgt_sf
lɡ,lɡ,l
nɡ,n,nɡ
nç,nx,nç
ns,ns,ns
s,sk,sk
x,x,x
s,ɡ,ɡ
ns,ns,ns
s,s,sk
s,sk,sk
s,s,sk
ɾx,ɾx,ɾç
ns,ns,ns
ɾs,ɾs,ɾs
ç,x,x
ɾç,ɾx,ɾx
x,x,x
ɾç,ɾç,ɾx
ɾs,ɾs,ɾs
s,sk,s
ns,ns,ns
ɡ,ɡ,s
s,sk,s
s,ɡ,ɡ
s,s,sk
ɾç,ɾx,ɾx
nɡ,nɡ,n
s,sk,s
nç,nx,nx
s,sk,s
s,s,sk
sk,sk,s
ɡ,ɡ,ɡ
s,s,s
n,nɡ,nɡ
s,ɡ,s
ç,x,x
ɾx,ɾx,ɾç
ç,x,ç
x,x,x
ç,x,ç
ç,x,x
ɡ,ɡ,s
n,nɡ,n
n,nɡ,nɡ
ɡ,ɡ,ɡ
s,ɡ,ɡ
s,sk,s
ɾç,ɾç,ɾç
s,s,ɡ
ɾç,ɾç,ɾx
sk,sk,sk
n,nɡ,nɡ
n,nɡ,n
ɡ,ɡ,s
nx,nx,nç
s,sk,sk
x,x,ç
n,nɡ,n
ç,x,x
ç,x,ç
x,x,ç
nç,nx,nx
s,sk,sk
s,sk,sk
n,n,n
x,x,ç
sk,sk,sk
x,x,x
s,sk,sk
s,sk,s
ns,ns,ns
nɡ,n,nɡ
n,nɡ,n
ç,x,x
ç,x,ç
n,nɡ,n
nɡ,n,n
ɾç,ɾx,ɾç
ç,ç,x
sk,sk,s
nɡ,nɡ,nɡ
ç,x,x
s,sk,sk
sk,sk,sk
sk,sk,sk
s,s,sk
sk,sk,sk
ç,ç,ç
sk,sk,s
ɡ,ɡ,ɡ
sk,sk,sk
x,x,ç
nɡ,nɡ,n
ɾç,ɾx,ɾx
ç,x,x
ns,ns,ns
s,ɡ,ɡ
x,x,x
ç,x,x
sk,sk,s
s,sk,s
s,s,sk
sk,sk,s
s,sk,sk
x,x,ç
s,sk,s
ns,ns,ns
s,sk,sk
s,s,sk
s,sk,sk
ç,x,x
ns,ns,ns
s,sk,s
s,s,s
ɾs,ɾs,ɾs
s,sk,sk
x,x,x
s,sk,sk
sk,sk,s
s,sk,sk
nɡ,nɡ,n
s,sk,sk
s,sk,s
ns,ns,ns
s,sk,sk
s,sk,s
n,nɡ,n
n,nɡ,n
n,nɡ,nɡ
ns,ns,ns
sk,sk,s
n,nɡ,nɡ
x,x,ç
ç,ç,x
ç,x,ç
sk,sk,sk
s,sk,sk
sk,sk,sk
ç,x,ç
s,s,s
x,x,ç
sk,sk,s
s,ɡ,s
s,sk,sk
s,sk,s
l,lɡ,lɡ
ç,x,x
ç,x,ç
ɾs,ɾs,ɾs
s,ɡ,s
s,sk,sk
nɡ,nɡ,nɡ
n,n,nɡ
sk,sk,s
n,nɡ,n
x,x,ç
sk,sk,sk
nx,nx,nç
sk,sk,s
sk,sk,sk
ɾs,ɾs,ɾs
s,ɡ,s
ɾs,ɾs,ɾs
ç,x,ç
ns,ns,ns
x,x,x
ɾs,ɾs,ɾs
s,s,sk
s,ɡ,ɡ
s,sk,s
ɾç,ɾç,ɾx
n,nɡ,n
s,sk,s
n,nɡ,n
ns,ns,ns
ç,x,ç
nç,nç,nx
nɡ,nɡ,nɡ
ç,ç,x
s,sk,sk
n,n,nɡ
sk,sk,sk
n,nɡ,nɡ
sk,sk,sk
ç,x,x
ns,ns,ns
s,sk,sk
ç,x,ç
s,s,s
x,x,x
ç,ç,x
ç,x,x
sk,sk,sk
x,x,x
ç,x,x
