src1_sf,src2_sf,tgt_sf
n,n,nɡ
nç,nç,nx
nɡ,nɡ,nɡ
nɡ,nɡ,n
s,sk,s
n,nɡ,nɡ
s,sk,sk
ç,x,x
jɡ,jɡ,jɡ
ɡ,ɡ,s
ɾs,ɾs,ɾs
s,s,sk
lɡ,lɡ,l
ɾs,ɾs,ɾs
s,sk,sk
nɡ,n,n
ç,x,x
s,s,sk
n,nɡ,n
ç,ç,x
s,sk,s
s,sk,s
s,sk,s
s,sk,s
ɾs,ɾs,ɾs
sk,sk,s
s,sk,sk
ɾs,ɾs,ɾs
s,sk,s
sk,sk,sk
sk,sk,s
nɡ,nɡ,nɡ
nç,nç,nç
nɡ,nɡ,n
s,sk,sk
s,sk,sk
s,sk,sk
s,sk,sk
ç,x,x
ɾç,ɾx,ɾx
s,sk,sk
s,ɡ,ɡ
,jɡ,jɡ
s,ɡ,s
ɾx,ɾx,ɾx
nɡ,nɡ,n
s,sk,sk
s,sk,s
ɡ,ɡ,s
jɡ,jɡ,jɡ
n,nɡ,nɡ
nɡ,n,nɡ
s,s,s
s,sk,s
nɡ,nɡ,nɡ
n,n,nɡ
n,nɡ,nɡ
ç,x,ç
s,sk,s
nɡ,nɡ,nɡ
sk,sk,s
,jɡ,jɡ
,jɡ,jɡ
nç,nx,nx
s,s,sk
nɡ,nɡ,nɡ
n,nɡ,nɡ
nɡ,nɡ,nɡ
s,sk,s
nx,nx,nç
n,nɡ,n
sk,sk,s
nç,nx,nç
x,x,x
s,sk,sk
nɡ,n,nɡ
,,
ls,ls,ls
ɾx,ɾx,ɾx
s,sk,sk
ɾx,ɾx,ɾx
nç,nx,nç
s,ɡ,ɡ
ç,x,x
nɡ,nɡ,nɡ
nɡ,nɡ,n
s,sk,s
n,n,n
s,s,s
s,sk,s
ç,x,ç
s,s,sk
s,sk,s
s,sk,s
sk,sk,sk
sk,sk,s
nɡ,nɡ,n
s,s,sɡ
s,sk,s
n,n,nɡ
ls,ls,ls
sɡ,s,s
nç,nx,nx
s,sk,s
s,sk,sk
lɡ,lɡ,lɡ
s,sk,sk
s,ɡ,s
s,sk,sk
n,nɡ,nɡ
ç,ç,x
ç,x,x
s,sk,sk
n,nɡ,nɡ
s,sk,sk
ç,x,x
ɾç,ɾx,ɾç
s,sk,sk
s,sk,sk
n,n,nɡ
ɾx,ɾx,ɾx
ç,x,x
s,s,sk
ç,x,ç
ɡ,ɡ,s
s,s,s
s,s,sk
s,s,sk
x,x,ç
s,ɡ,ɡ
nx,nx,nç
nɡ,nɡ,nɡ
sk,sk,sk
sk,sk,s
s,sk,sk
ɾs,ɾs,ɾs
sk,sk,sk
l,l,lɡ
sk,sk,sk
nx,nx,nx
s,sk,s
s,sk,s
s,sk,s
s,sk,s
ç,x,x
nç,nx,nç
sk,sk,sk
l,lɡ,l
s,sk,sk
s,sk,s
nɡ,nɡ,n
x,x,x
nç,nç,nx
x,x,ç
s,ɡ,s
sk,sk,s
s,s,sk
ç,x,x
s,sk,sk
sk,sk,s
s,ɡ,s
ɾs,ɾs,ɾs
s,ɡ,ɡ
s,sk,sk
s,ɡ,ɡ
s,sk,s
k,k,k
sk,sk,s
n,n,nɡ
nɡ,nɡ,n
sk,sk,sk
s,s,sk
ɾç,ɾx,ɾx
s,sk,sk
ç,x,x
s,sk,s
x,x,ç
s,sk,s
jɡ,jɡ,jɡ
sk,sk,sk
s,ɡ,ɡ
nk,nk,nk
s,sk,sk
n,nɡ,nɡ
s,s,sk
l,lɡ,lɡ
nk,nk,nk
x,x,ç
s,s,s
nɡ,n,nɡ
sk,sk,sk
s,sk,sk
n,nɡ,nɡ
n,nɡ,n
sk,sk,sk
nɡ,n,n
sk,sk,sk
n,nɡ,nɡ
s,s,sk
s,sk,s
nɡ,nɡ,nɡ
nɡ,nɡ,nɡ
l,lɡ,lɡ
n,nɡ,nɡ
ɾx,ɾx,ɾx
sk,sk,s
ɾs,ɾs,ɾs
x,x,ç
nx,nx,nç
s,sk,s
ç,x,ç
ɡ,ɡ,s
n,nɡ,nɡ
s,sk,sk
s,ɡ,ɡ
x,x,x
s,sk,sk
n,nɡ,n
nk,nk,nk
s,sk,sk
s,sk,sk
nɡ,n,n
ɾs,ɾs,ɾs
nɡ,n,nɡ
s,ɡ,ɡ
nɡ,n,nɡ
lç,lx,lx
n,nɡ,n
s,sk,s
s,ɡ,s
sk,sk,sk
nç,nç,nx
s,sk,s
s,sk,s
n,n,n
n,nɡ,n
sk,sk,sk
nç,nx,nx
s,sk,sk
s,sk,s
s,ɡ,s
s,s,sk
ɾs,ɾs,ɾs
s,sk,sk
nɡ,n,nɡ
,jɡ,jɡ
sk,sk,s
s,sk,sk
s,sk,s
lx,lx,lç
s,sk,s
s,sk,sk
n,nɡ,nɡ
ls,ls,ls
s,sk,s
s,ɡ,s
ɾs,ɾs,ɾs
s,s,sk
ç,x,x
sk,sk,s
ç,x,ç
s,sk,s
ɾs,ɾs,ɾs
ç,ç,x
s,sk,sk
s,sk,sk
nɡ,nɡ,nɡ
ɡ,ɡ,ɡ
ç,x,ç
ɾç,ɾx,ɾx
s,s,sk
k,k,k
n,n,n
sk,sk,s
n,nɡ,n
sk,sk,sk
s,sk,sk
sk,sk,s
s,ɡ,ɡ
s,s,s
ɾx,ɾx,ɾx
sk,sk,s
nɡ,nɡ,n
lɡ,l,lɡ
sk,sk,s
ɡ,ɡ,ɡ
s,s,sk
s,sk,s
lɡ,lɡ,l
lɡ,lɡ,lɡ
s,s,s
nɡ,nɡ,nɡ
s,sk,sk
sk,sk,s
sk,sk,s
s,sk,s
ls,ls,ls
x,x,ç
s,sk,sk
x,x,x
s,ɡ,s
s,s,sk
nɡ,nɡ,n
l,lɡ,lɡ
nɡ,nɡ,n
s,sk,s
s,sk,sk
nɡ,n,n
ç,x,x
s,sk,sk
ɾs,ɾs,ɾs
s,sk,s
ɾs,ɾs,ɾs
n,n,nɡ
n,n,nɡ
nɡ,nɡ,nɡ
lx,lx,lx
sk,sk,s
nɡ,nɡ,n
sk,sk,s
ç,ç,x
n,n,n
s,sk,s
s,s,ɡ
s,sk,sk
ɾç,ɾx,ɾx
s,sk,s
l,lɡ,lɡ
n,nɡ,nɡ
s,sk,s
n,n,nɡ
ç,x,x
sk,sk,sk
sk,sk,s
x,x,x
n,nɡ,n
s,sk,s
s,sk,s
n,n,nɡ
s,ɡ,s
nɡ,n,nɡ
ç,x,x
ɡ,ɡ,ɡ
ɾç,ɾx,ɾx
s,sk,s
s,ɡ,s
s,sk,sk
sk,sk,sk
nx,nx,nx
ç,x,x
s,sk,sk
s,s,s
ɡ,ɡ,s
k,k,k
s,sk,s
s,sk,s
s,sk,s
nɡ,nɡ,n
ç,x,ç
sk,sk,s
s,s,sk
nç,nx,nx
sk,sk,sk
nɡ,n,nɡ
sk,sk,s
sk,sk,sk
sk,sk,sk
nɡ,n,n
nç,nx,nç
n,nɡ,nɡ
s,s,sk
nç,nx,nx
lɡ,lɡ,lɡ
ɾç,ɾx,ɾx
ɾs,ɾs,ɾs
sk,sk,s
ɾs,ɾs,ɾs
s,sk,s
s,sk,sk
sk,sk,sk
s,sk,sk
s,sk,sk
sk,sk,s
s,s,s
nɡ,nɡ,n
s,sk,sk
s,sk,sk
ɡ,ɡ,ɡ
nk,nk,nk
sk,sk,s
s,sk,s
s,sk,sk
s,sk,s
nɡ,n,n
n,n,n
sk,sk,s
s,s,sk
nɡ,n,nɡ
sk,sk,s
s,sk,sk
s,ɡ,s
ç,x,ç
jɡ,jɡ,jɡ
ɾx,ɾx,ɾç
ɾs,ɾs,ɾs
x,x,ç
nç,nx,nx
s,sk,sk
,jɡ,
sk,sk,sk
ɾç,ɾx,ɾx
s,sk,sk
s,sk,s
s,s,sk
s,sk,s
s,sk,sk
s,s,sk
s,sk,s
s,sk,s
ɾs,ɾs,ɾs
sk,sk,s
nɡ,nɡ,n
nɡ,nɡ,nɡ
sk,sk,sk
s,s,s
s,sk,s
s,ɡ,s
sk,sk,s
s,sk,sk
sk,sk,s
s,sk,sk
lɡ,lɡ,l
ɾç,ɾx,ɾx
ç,x,ç
s,sk,sk
s,sk,s
s,sk,sk
sk,sk,sk
s,sk,s
sk,sk,s
s,sk,s
ç,ç,x
s,sk,s
sk,sk,sk
s,sk,sk
s,s,s
k,k,k
s,sk,sk
l,l,l
sk,sk,sk
nɡ,nɡ,n
nç,nç,nx
s,s,s
nç,nç,nx
sk,sk,sk
ɾs,ɾs,ɾs
ɾç,ɾç,ɾx
