src1_sf,src2_sf,tgt_sf
s,sk,sk
ɾs,ɾs,ɾs
s,sk,sk
x,x,ç
n,nɡ,nɡ
nç,nx,nç
ç,x,ç
ɾx,ɾx,ɾx
ɾs,ɾs,ɾs
s,ɡ,ɡ
s,sk,sk
n,n,nɡ
ɾs,ɾs,ɾs
ɾç,ɾç,ɾç
n,nɡ,n
s,s,sk
s,sk,s
x,x,x
s,sk,s
n,nɡ,n
ç,x,x
nç,nx,nç
ç,ç,ç
ç,ç,x
s,ɡ,ɡ
s,sk,s
ɾç,ɾx,ɾx
ɾs,ɾs,ɾs
sk,sk,s
nç,nx,nç
nç,nç,nç
s,sk,sk
ç,x,ç
n,nɡ,n
s,sk,sk
sk,sk,s
sk,sk,sk
s,ɡ,s
ç,x,x
sk,sk,s
s,sk,s
ç,x,x
nɡ,nɡ,nɡ
s,ɡ,ɡ
ns,ns,ns
ɾs,ɾs,ɾs
s,s,ɡ
s,sk,sk
ɾç,ɾç,ɾx
ç,x,x
ns,ns,ns
s,sk,s
x,x,x
ç,x,x
ɡ,ɡ,s
s,sk,sk
nɡ,n,nɡ
s,s,sk
sk,sk,sk
sk,sk,s
ɾç,ɾx,ɾç
ç,x,x
s,s,sk
s,s,sk
s,sk,sk
ç,x,ç
s,sk,s
ɾç,ɾx,ɾx
l,lɡ,lɡ
n,nɡ,nɡ
ɾx,ɾx,ɾç
n,nɡ,nɡ
s,ɡ,ɡ
s,sk,sk
ç,x,ç
x,x,x
s,sk,sk
sk,sk,sk
nɡ,nɡ,n
s,sk,sk
nɡ,nɡ,n
nɡ,nɡ,nɡ
ɡ,ɡ,s
s,sk,s
ɾç,ɾx,ɾç
nx,nx,nx
n,nɡ,nɡ
sk,sk,s
s,sk,sk
sk,sk,s
s,sk,sk
nɡ,n,n
sk,sk,s
sk,sk,s
ns,ns,ns
n,nɡ,nɡ
s,ɡ,ɡ
s,s,sk
s,sk,s
s,sk,s
ɡ,ɡ,ɡ
s,s,s
sk,sk,s
s,sk,sk
n,nɡ,nɡ
s,ɡ,ɡ
nɡ,n,nɡ
n,nɡ,nɡ
sk,sk,s
ɾs,ɾs,ɾs
nɡ,n,n
s,s,sk
sk,sk,sk
sk,sk,sk
n,nɡ,n
s,sk,sk
s,sk,s
x,x,ç
s,sk,sk
ç,x,x
n,nɡ,nɡ
x,x,ç
s,sk,sk
ɾx,ɾx,ɾç
n,n,n
s,s,sk
n,nɡ,nɡ
sk,sk,sk
ɾx,ɾx,ɾç
ç,x,x
sk,sk,sk
nx,nx,nx
ç,x,ç
lɡ,lɡ,lɡ
sk,sk,sk
s,sk,s
s,sk,sk
ç,x,x
n,nɡ,n
sk,sk,sk
sk,sk,sk
s,sk,sk
nɡ,n,nɡ
s,sk,sk
n,n,n
nç,nx,nx
nɡ,nɡ,nɡ
s,sk,sk
x,x,ç
ɾç,ɾx,ɾx
ç,x,ç
nɡ,n,nɡ
nx,nx,nx
sk,sk,sk
s,sk,sk
s,s,sk
n,nɡ,n
x,x,ç
x,x,ç
ɾx,ɾx,ɾç
s,sk,s
ç,ç,x
ç,x,x
nɡ,nɡ,n
s,s,s
s,s,sk
x,x,ç
sk,sk,s
ɾs,ɾs,ɾs
ɾx,ɾx,ɾx
s,sk,sk
s,s,sk
ɾs,ɾs,ɾs
n,nɡ,n
s,sk,s
nɡ,n,nɡ
s,sk,sk
nç,nx,nç
ç,x,ç
ɾç,ɾx,ɾx
n,nɡ,n
ɾx,ɾx,ɾç
n,nɡ,nɡ
n,nɡ,n
sk,sk,sk
x,x,ç
s,ɡ,ɡ
ɾs,ɾs,ɾs
lɡ,lɡ,lɡ
ɾs,ɾs,ɾs
sk,sk,sk
s,sk,sk
ç,x,x
s,sk,sk
nç,nç,nx
ç,x,x
ç,x,x
lɡ,lɡ,l
s,sk,s
l,l,lɡ
ɾs,ɾs,ɾs
sk,sk,sk
sk,sk,s
sk,sk,s
nɡ,nɡ,nɡ
s,sk,s
s,sk,sk
l,l,l
s,sk,sk
x,x,ç
s,s,sk
s,sk,sk
nɡ,n,n
s,sk,s
s,sk,sk
x,x,ç
x,x,ç
s,sk,sk
ç,x,ç
x,x,x
s,ɡ,ɡ
n,nɡ,n
s,sk,s
ɾç,ɾx,ɾx
s,sk,s
ç,ç,x
ç,x,ç
sk,sk,s
ns,ns,ns
s,sk,sk
ç,x,x
nɡ,n,n
nɡ,nɡ,nɡ
ɾç,ɾx,ɾx
nç,nx,nx
sk,sk,s
s,sk,sk
s,sk,s
s,s,s
n,n,nɡ
s,s,s
ns,ns,ns
s,sk,s
nç,nç,nx
nx,nx,nx
s,ɡ,s
s,sk,s
n,nɡ,nɡ
s,ɡ,s
sk,sk,s
ç,x,x
nx,nx,nç
ç,x,x
lɡ,lɡ,lɡ
s,sk,sk
ɾs,ɾs,ɾs
nɡ,nɡ,n
nɡ,nɡ,nɡ
x,x,x
sk,sk,s
sk,sk,s
nx,nx,nç
ɾç,ɾx,ɾx
n,nɡ,n
s,sk,s
ç,ç,x
s,sk,s
ɾs,ɾs,ɾs
ɾç,ɾç,ɾx
s,sk,sk
x,x,ç
sk,sk,s
s,sk,s
ɾç,ɾx,ɾx
nɡ,nɡ,nɡ
lɡ,lɡ,lɡ
s,ɡ,ɡ
ns,ns,ns
x,x,ç
s,sk,s
s,s,sk
l,lɡ,lɡ
ç,x,x
sk,sk,sk
sk,sk,s
ç,x,ç
ç,ç,x
s,sk,sk
nç,nç,nx
ɾç,ɾx,ɾç
s,sk,sk
s,sk,s
ç,x,x
sk,sk,sk
x,x,x
n,n,nɡ
s,s,s
ɡ,ɡ,ɡ
x,x,x
s,sk,sk
ns,ns,ns
ç,x,ç
x,x,ç
nç,nx,nç
s,sk,sk
s,s,s
l,lɡ,lɡ
ç,x,ç
s,sk,sk
ɡ,ɡ,ɡ
lɡ,lɡ,l
ns,ns,ns
ɾç,ɾç,ɾç
sk,sk,s
ç,ç,x
s,sk,s
ns,ns,ns
s,ɡ,ɡ
s,ɡ,s
sk,sk,sk
ç,x,x
ɾs,ɾs,ɾs
ns,ns,ns
sk,sk,sk
nɡ,nɡ,nɡ
sk,sk,s
s,sk,sk
s,sk,sk
n,n,n
nç,nx,nx
sk,sk,sk
x,x,ç
nɡ,nɡ,n
nx,nx,nx
s,ɡ,ɡ
nɡ,nɡ,nɡ
ç,ç,x
l,l,lɡ
ɾç,ɾx,ɾx
s,sk,s
s,ɡ,s
l,lɡ,l
ɾç,ɾx,ɾx
sk,sk,s
sk,sk,sk
ɡ,ɡ,ɡ
s,sk,sk
s,s,sk
ɾç,ɾx,ɾç
s,sk,sk
nç,nx,nx
s,ɡ,s
s,sk,sk
s,sk,sk
l,lɡ,l
sk,sk,sk
ɾç,ɾx,ɾx
ɾs,ɾs,ɾs
ç,x,x
ns,ns,ns
ɾç,ɾç,ɾx
s,sk,sk
ç,ç,ç
s,sk,sk
nɡ,nɡ,n
n,n,nɡ
ns,ns,ns
ɾs,ɾs,ɾs
n,nɡ,nɡ
s,sk,sk
s,s,s
nɡ,nɡ,n
ɾç,ɾx,ɾç
s,sk,s
ɾs,ɾs,ɾs
ç,x,ç
s,s,sk
n,n,n
ɾs,ɾs,ɾs
s,sk,s
ɡ,ɡ,ɡ
s,s,s
s,ɡ,ɡ
nɡ,nɡ,nɡ
sk,sk,s
sk,sk,sk
ns,ns,ns
n,nɡ,n
ɾs,ɾs,ɾs
s,sk,s
s,sk,sk
ɾç,ɾx,ɾç
x,x,x
n,n,nɡ
ç,x,ç
ɾx,ɾx,ɾç
s,s,s
x,x,ç
s,sk,s
s,s,s
ɾç,ɾx,ɾx
ɾs,ɾs,ɾs
l,lɡ,lɡ
nx,nx,nç
ç,x,ç
s,sk,s
ç,x,x
sk,sk,sk
s,sk,sk
lɡ,lɡ,lɡ
l,l,lɡ
ɾç,ɾç,ɾx
nç,nx,nx
n,n,nɡ
sk,sk,sk
ç,x,ç
ç,x,ç
s,sk,s
nç,nx,nx
sk,sk,sk
s,sk,s
sk,sk,sk
l,lɡ,l
l,lɡ,l
n,nɡ,n
l,lɡ,l
nç,nx,nx
s,sk,sk
ns,ns,ns
ç,x,x
x,x,ç
nɡ,nɡ,n
ɡ,ɡ,ɡ
nɡ,n,n
s,sk,s
l,lɡ,lɡ
ɾx,ɾx,ɾç
nɡ,n,n
s,sk,sk
s,sk,sk
ɾs,ɾs,ɾs
nɡ,nɡ,n
sk,sk,sk
s,ɡ,ɡ
nɡ,nɡ,n
s,sk,s
s,s,ɡ
nç,nx,nx
n,nɡ,n
s,sk,s
s,sk,s
ɡ,ɡ,s
x,x,x
nɡ,nɡ,n
ns,ns,ns
ɾs,ɾs,ɾs
s,sk,s
nɡ,n,n
nç,nx,nx
n,n,n
s,sk,s
s,sk,sk
sk,sk,sk
ɾç,ɾç,ɾç
ç,x,ç
nɡ,nɡ,nɡ
n,nɡ,n
s,ɡ,s
ç,x,ç
sk,sk,s
s,sk,sk
s,sk,s
nɡ,n,nɡ
sk,sk,sk
s,s,s
s,sk,sk
s,sk,sk
s,s,sk
ns,ns,ns
s,sk,sk
s,sk,s
ɡ,ɡ,ɡ
s,sk,s
s,sk,sk
x,x,x
x,x,ç
ç,x,ç
ns,ns,ns
n,nɡ,nɡ
n,nɡ,nɡ
s,sk,s
ç,x,x
s,ɡ,s
n,nɡ,nɡ
nç,nx,nx
ɾs,ɾs,ɾs
x,x,ç
s,sk,sk
ç,x,ç
n,nɡ,nɡ
nç,nç,nx
s,sk,s
nɡ,nɡ,n
s,ɡ,s
nç,nç,nx
sk,sk,sk
ɾs,ɾs,ɾs
s,sk,s
nɡ,nɡ,n
x,x,x
s,s,s
nç,nç,nç
x,x,ç
s,sk,sk
ç,x,x
ç,x,x
s,sk,s
x,x,ç
s,sk,sk
s,sk,sk
nɡ,nɡ,n
nç,nx,nç
nɡ,n,nɡ
nɡ,nɡ,nɡ
x,x,x
s,sk,s
lɡ,lɡ,l
n,nɡ,nɡ
l,l,lɡ
s,sk,sk
nɡ,n,nɡ
ɾx,ɾx,ɾç
s,s,ɡ
nɡ,n,nɡ
nç,nx,nç
lɡ,lɡ,lɡ
nɡ,n,n
ç,x,x
sk,sk,sk
ç,x,ç
s,sk,sk
