src1_sf,src2_sf,tgt_sf
s,sk,sk
sk,sk,sk
s,s,sk
x,x,ç
sk,sk,sk
ɾs,ɾs,ɾs
ç,x,x
n,nɡ,n
s,sk,s
lç,lx,lx
n,nɡ,nɡ
s,sk,s
nɡ,n,nɡ
n,nɡ,nɡ
sk,sk,s
sk,sk,sk
s,sk,s
s,sk,s
s,sk,sk
nɡ,n,n
jɡ,jɡ,jɡ
n,nɡ,n
sk,sk,s
s,s,s
s,sk,sk
s,sk,sk
s,sk,sk
ç,x,x
s,sk,s
s,sk,s
nɡ,nɡ,n
ç,ç,x
s,s,sk
sk,sk,s
n,nɡ,nɡ
ɡ,ɡ,s
sk,sk,s
s,sk,sk
s,sk,s
,jɡ,jɡ
ɾç,ɾx,ɾx
nɡ,nɡ,n
nɡ,nɡ,n
x,x,ç
ɾs,ɾs,ɾs
s,sk,sk
sk,sk,s
s,s,sk
nx,nx,nx
nɡ,nɡ,n
n,n,nɡ
nɡ,nɡ,n
lx,lx,lx
ɡ,ɡ,ɡ
s,sk,sk
s,sk,sk
ɾç,ɾx,ɾx
s,s,sk
s,s,sk
ç,x,x
x,x,ç
ç,x,x
ç,x,x
n,nɡ,nɡ
s,sk,sk
s,sk,sk
s,sk,sk
ɾs,ɾs,ɾs
ɾs,ɾs,ɾs
ɾx,ɾx,ɾx
sk,sk,sk
n,nɡ,n
s,s,s
s,sk,sk
lɡ,lɡ,lɡ
l,l,lɡ
s,sk,sk
s,sk,sk
l,lɡ,lɡ
ç,x,x
s,sɡ,s
s,s,s
sk,sk,sk
sk,sk,sk
sk,sk,s
s,sk,sk
s,sk,s
n,n,n
s,sk,s
s,sk,sk
ɡ,ɡ,ɡ
s,sk,s
sk,sk,sk
n,n,nɡ
sk,sk,sk
s,sk,sk
s,sk,sk
s,sk,s
nx,nx,nx
s,sk,s
s,sk,sk
s,sk,sk
s,sk,s
n,nɡ,n
nɡ,nɡ,n
sk,sk,s
s,s,sk
s,sk,s
s,sk,s
jɡ,jɡ,jɡ
s,sk,sk
s,sk,sk
s,s,s
s,s,sk
jɡ,jɡ,
s,sk,sk
sk,sk,sk
s,sk,s
lç,lx,lx
ç,x,ç
s,sk,sk
sk,sk,s
ç,x,x
ç,ç,x
s,s,sk
s,sk,s
sk,sk,s
