src1_sf,src2_sf,tgt_sf
s,sk,sk
s,sk,sk
sk,sk,sk
s,sk,s
nɡ,nɡ,n
s,sk,sk
s,s,sk
sk,sk,s
sk,sk,s
n,nɡ,nɡ
s,sk,s
nç,nx,nx
s,sk,sk
n,n,n
s,sk,sk
n,n,nɡ
ç,ç,x
nɡ,n,n
s,sk,sk
nç,nx,nç
s,sk,s
s,s,s
s,sk,s
sk,sk,sk
lɡ,lɡ,l
n,nɡ,nɡ
s,s,sk
s,s,s
nx,nx,nx
nɡ,nɡ,nɡ
nk,nk,nk
jɡ,jɡ,jɡ
n,nɡ,nɡ
nɡ,nɡ,n
ɾs,ɾs,ɾs
s,sk,sk
lɡ,l,l
s,sk,sk
sk,sk,sk
s,sk,s
s,sk,s
s,sk,s
,jɡ,jɡ
s,sk,s
nɡ,nɡ,nɡ
ç,ç,ç
s,sk,sk
s,sk,sk
s,s,s
nç,nç,nx
s,s,sk
n,n,nɡ
ɡ,ɡ,s
s,ɡ,ɡ
sk,sk,s
sk,sk,s
ç,x,x
nɡ,nɡ,n
s,s,s
,,
s,sk,s
sk,sk,s
s,sk,sk
x,x,ç
s,s,s
n,nɡ,n
s,s,s
s,sk,s
ç,ç,x
n,n,nɡ
s,s,sk
nɡ,n,nɡ
s,ɡ,s
s,s,s
x,x,ç
nɡ,n,n
sɡ,sɡ,s
x,x,x
nɡ,nɡ,nɡ
s,sk,sk
,jɡ,
l,l,lɡ
s,sk,sk
s,sk,s
s,sk,sk
sk,sk,sk
nɡ,n,n
s,s,sk
n,nɡ,nɡ
ç,ç,x
sk,sk,sk
nɡ,nɡ,nɡ
x,x,ç
sk,sk,sk
nɡ,n,n
ç,ç,x
sk,sk,sk
s,s,sk
lç,lç,lx
ç,x,ç
sk,sk,sk
s,sk,sk
s,sk,s
s,sk,sk
sk,sk,sk
n,nɡ,n
s,sk,sk
s,sk,sk
s,sk,s
s,sk,sk
sk,sk,sk
nç,nx,nç
x,x,ç
,jɡ,jɡ
sk,sk,sk
n,nɡ,nɡ
s,sk,sk
ɡ,ɡ,ɡ
n,n,n
nɡ,n,n
sk,sk,sk
s,sk,sk
s,sk,sk
s,sk,sk
n,nɡ,nɡ
s,sk,s
s,sk,sk
n,nɡ,n
s,sk,sk
s,sɡ,sɡ
nç,nx,nx
s,s,s
b,p,b
s,sk,s
nɡ,n,nɡ
ɡ,ɡ,ɡ
sk,sk,s
s,s,sk
n,nɡ,nɡ
nç,nç,nx
nɡ,nɡ,nɡ
s,s,sk
lɡ,lɡ,lɡ
s,sk,sk
s,s,s
nɡ,nɡ,n
s,s,sk
ɡ,ɡ,s
s,sk,sk
sk,sk,sk
sk,sk,s
s,s,sk
nɡ,nɡ,nɡ
s,ɡ,ɡ
ɾç,ɾç,ɾx
s,ɡ,ɡ
nç,nx,nx
ɾç,ɾx,ɾx
lɡ,lɡ,lɡ
s,s,sk
nɡ,nɡ,n
ɡ,ɡ,ɡ
ɾs,ɾs,ɾs
s,ɡ,ɡ
s,sk,sk
ɡ,ɡ,ɡ
s,sk,sk
ɾs,ɾs,ɾs
s,sk,s
s,s,s
ɡ,ɡ,s
nɡ,nɡ,nɡ
jɡ,jɡ,jɡ
s,ɡ,s
s,ɡ,ɡ
s,sk,s
sk,sk,sk
ns,ns,ns
ɾç,ɾx,ɾx
s,sk,sk
n,n,nɡ
s,sk,s
s,sk,sk
s,sk,s
sk,sk,sk
s,sk,sk
s,sk,s
s,sk,sk
n,nɡ,nɡ
s,sk,sk
s,sk,s
s,s,sk
s,sk,s
sk,sk,s
s,sk,sk
ç,x,ç
ç,x,x
ns,ns,ns
sk,sk,s
s,sk,s
s,sk,s
nɡ,n,n
,jɡ,jɡ
s,sk,s
sk,sk,s
s,s,s
sk,sk,sk
ɾç,ɾx,ɾx
s,s,s
s,sk,sk
x,x,ç
sk,sk,sk
sk,sk,s
n,n,nɡ
ç,ç,x
ns,ns,ns
s,sk,sk
s,sk,sk
s,s,s
x,x,ç
ls,ls,ls
s,sk,s
ç,x,ç
n,nɡ,nɡ
n,nɡ,nɡ
ɾç,ɾx,ɾx
s,sk,s
n,nɡ,n
sɡ,sɡ,sɡ
x,x,x
ɾx,ɾx,ɾx
s,sk,s
x,x,ç
s,sk,s
s,sk,sk
s,ɡ,s
n,n,n
sk,sk,s
s,sk,s
nɡ,nɡ,n
s,sk,sk
s,sk,sk
s,ɡ,ɡ
nɡ,nɡ,nɡ
ç,x,x
ç,x,ç
s,sk,s
n,n,nɡ
s,sk,s
l,lɡ,l
s,sk,s
nç,nç,nx
s,sk,s
n,n,nɡ
x,x,ç
s,s,s
,,jɡ
