src1_sf,src2_sf,tgt_sf
sk,sk,sk
nɡ,n,n
s,sk,sk
ç,x,x
nk,nk,nk
s,sk,s
s,sk,sk
x,x,ç
s,sk,sk
s,sk,s
s,sk,s
ç,x,x
sk,sk,sk
sk,sk,s
nk,nk,nk
sk,sk,sk
x,x,ç
sk,sk,sk
ç,x,ç
s,sk,s
ç,x,ç
nk,nk,nk
nɡ,nɡ,n
lx,lx,lx
n,n,n
nk,nk,nk
sk,sk,s
ç,x,x
sk,sk,sk
s,sk,sk
jɡ,jɡ,jɡ
s,sk,s
s,s,s
,jɡ,jɡ
s,ɡ,ɡ
,jɡ,jɡ
ç,x,ç
n,nɡ,n
s,s,sk
nk,nk,nk
sk,sk,s
s,s,s
ɾs,ɾs,ɾs
ç,ç,ç
ç,ç,ç
s,s,sk
s,sk,sk
nɡ,nɡ,n
nk,nk,nk
x,x,x
s,sk,s
ç,x,x
s,sk,sk
jɡ,jɡ,
s,sk,s
jɡ,jɡ,
s,sk,s
s,sk,s
n,nɡ,nɡ
x,x,x
jɡ,jɡ,jɡ
,jɡ,jɡ
s,sk,sk
s,sk,sk
nɡ,n,nɡ
s,s,s
sk,sk,s
s,sk,sk
ç,x,ç
jɡ,jɡ,
s,ɡ,s
ɾs,ɾs,ɾs
sk,sk,sk
nɡ,n,n
s,s,s
sk,sk,sk
sk,sk,s
,jɡ,jɡ
lç,lx,lx
n,n,n
n,nɡ,n
sk,sk,s
ɾs,ɾs,ɾs
s,sk,sk
s,s,sk
x,x,ç
s,sk,sk
lx,lx,lx
s,s,ɡ
s,s,sk
ç,x,x
jɡ,jɡ,jɡ
n,nɡ,nɡ
s,s,sk
nk,nk,nk
s,sk,sk
x,x,ç
ɾs,ɾs,ɾs
sk,sk,sk
nɡ,nɡ,n
s,sk,sk
nɡ,n,nɡ
x,x,x
ç,x,ç
ç,x,x
,jɡ,
jɡ,jɡ,jɡ
ɾs,ɾs,ɾs
nɡ,nɡ,nɡ
jɡ,jɡ,
nɡ,nɡ,nɡ
n,nɡ,n
ɡ,ɡ,s
x,x,x
s,sk,sk
ɡ,ɡ,ɡ
s,sk,s
,jɡ,jɡ
s,sk,s
s,sk,sk
sk,sk,s
nk,nk,nk
sk,sk,s
ç,ç,ç
s,sk,s
ç,x,x
n,nɡ,n
sk,sk,s
s,sk,s
s,ɡ,ɡ
s,sk,sk
n,nɡ,n
sk,sk,sk
s,sk,s
ɾs,ɾs,ɾs
s,s,sk
s,sk,sk
nɡ,n,nɡ
n,nɡ,nɡ
s,sk,sk
,jɡ,jɡ
s,s,sk
nɡ,nɡ,nɡ
s,sk,sk
lç,lx,lç
sk,sk,s
s,sk,sk
x,x,x
nk,nk,nk
s,s,sk
nɡ,nɡ,n
lç,lx,lx
s,sk,sk
s,sk,sk
nk,nk,nk
s,s,sk
ç,x,x
s,sk,sk
nk,nk,nk
sk,sk,sk
ç,x,x
sk,sk,s
nɡ,n,n
n,nɡ,nɡ
s,sk,s
sk,sk,s
s,s,sk
ɾs,ɾs,ɾs
ç,x,ç
ç,x,ç
n,nɡ,n
sk,sk,sk
ɾs,ɾs,ɾs
s,s,ɡ
ç,x,x
ç,x,x
ɾs,ɾs,ɾs
nɡ,nɡ,nɡ
ɡ,ɡ,ɡ
x,x,ç
lç,lç,lx
ç,x,x
sk,sk,sk
s,sk,sk
s,s,sk
s,sk,sk
sk,sk,s
n,nɡ,n
s,sk,sk
s,sk,s
s,sk,s
nɡ,n,n
nk,nk,nk
nɡ,n,nɡ
x,x,x
s,sk,s
ç,x,ç
s,sk,sk
,jɡ,jɡ
sk,sk,s
x,x,x
n,nɡ,n
,jɡ,
nk,nk,nk
nk,nk,nk
s,sk,s
s,s,ɡ
s,s,sk
,jɡ,
s,sk,sk
,jɡ,jɡ
nk,nk,nk
sk,sk,s
nɡ,nɡ,n
s,sk,sk
x,x,x
s,sk,sk
,jɡ,jɡ
nɡ,n,n
s,sk,sk
n,n,nɡ
,,jɡ
ç,x,x
n,nɡ,nɡ
nɡ,nɡ,n
n,n,nɡ
s,s,sk
lx,lx,lx
ç,x,x
s,s,s
nk,nk,nk
jɡ,jɡ,
s,sk,sk
nɡ,n,n
ɡ,ɡ,s
ç,x,x
ɾs,ɾs,ɾs
sk,sk,sk
sk,sk,s
s,sk,sk
nɡ,n,nɡ
sk,sk,sk
ɾs,ɾs,ɾs
sk,sk,s
,jɡ,
n,n,nɡ
s,sk,s
x,x,ç
ɾs,ɾs,ɾs
ɾs,ɾs,ɾs
nk,nk,nk
ç,x,x
nk,nk,nk
n,nɡ,nɡ
jɡ,jɡ,jɡ
ç,x,ç
lç,lç,lx
sk,sk,sk
x,x,x
nk,nk,nk
ç,x,x
s,sk,s
s,sk,sk
jɡ,jɡ,jɡ
x,x,ç
s,sk,s
nɡ,nɡ,nɡ
,jɡ,jɡ
s,sk,sk
ç,x,x
ç,x,x
sk,sk,s
ç,x,x
ç,x,x
s,s,s
s,sk,s
s,sk,s
,jɡ,jɡ
s,s,s
ç,x,ç
sk,sk,s
jɡ,jɡ,jɡ
s,sk,sk
s,sk,sk
s,sk,sk
sk,sk,s
lç,lx,lç
ɾs,ɾs,ɾs
sk,sk,sk
sk,sk,s
s,ɡ,s
s,sk,sk
s,sk,sk
s,sk,s
nk,nk,nk
ɾs,ɾs,ɾs
nɡ,nɡ,n
nɡ,n,n
s,s,s
s,s,sk
x,x,ç
sk,sk,s
s,ɡ,s
s,sk,sk
s,sk,sk
s,s,sk
ɾs,ɾs,ɾs
s,sk,s
nɡ,n,nɡ
s,s,s
s,sk,sk
ɾs,ɾs,ɾs
s,sk,sk
ç,x,x
s,ɡ,ɡ
,jɡ,
sk,sk,sk
s,sk,s
s,s,s
s,sk,s
sk,sk,sk
s,sk,s
,jɡ,
,jɡ,
ɾs,ɾs,ɾs
s,sk,s
nk,nk,nk
jɡ,jɡ,jɡ
s,ɡ,ɡ
sk,sk,s
nk,nk,nk
s,sk,sk
nk,nk,nk
nɡ,nɡ,nɡ
ɾs,ɾs,ɾs
s,sk,sk
sk,sk,sk
nɡ,nɡ,nɡ
lx,lx,lx
s,sk,sk
x,x,ç
nɡ,n,nɡ
nɡ,nɡ,n
lx,lx,lx
,jɡ,jɡ
s,sk,sk
,jɡ,
nk,nk,nk
nɡ,n,nɡ
s,sk,sk
sk,sk,s
nk,nk,nk
sk,sk,s
s,ɡ,s
s,sk,sk
