src1_sf,src2_sf,tgt_sf
s,sk,sk
nɡ,nɡ,nɡ
nɡ,nɡ,n
n,nɡ,n
nx,nx,nx
s,sk,sk
nɡ,nɡ,n
ɾs,ɾs,ɾs
ç,x,x
s,sk,sk
n,nɡ,nɡ
s,s,sk
s,sk,s
ɾs,ɾs,ɾs
x,x,x
s,s,s
ç,x,x
s,ɡ,s
ɡ,ɡ,s
ɾs,ɾs,ɾs
s,sk,sk
ç,x,ç
lɡ,lɡ,lɡ
s,sk,sk
sk,sk,s
ns,ns,ns
nɡ,n,nɡ
n,nɡ,nɡ
nɡ,n,nɡ
lɡ,lɡ,lɡ
nx,nx,nx
nɡ,nɡ,nɡ
x,x,x
s,sk,s
l,lɡ,lɡ
ns,ns,ns
sk,sk,sk
lɡ,lɡ,l
nɡ,nɡ,nɡ
s,sk,s
ɾs,ɾs,ɾs
sk,sk,s
ɾs,ɾs,ɾs
nɡ,n,nɡ
n,nɡ,nɡ
s,s,sk
x,x,x
ɾs,ɾs,ɾs
n,n,nɡ
n,nɡ,nɡ
s,sk,sk
ns,ns,ns
sk,sk,sk
ç,x,x
s,sk,sk
nɡ,nɡ,nɡ
nɡ,nɡ,n
ç,x,x
ç,x,x
x,x,x
x,x,ç
nɡ,nɡ,nɡ
x,x,ç
ç,ç,x
l,lɡ,lɡ
n,n,nɡ
sk,sk,s
x,x,ç
sk,sk,sk
s,sk,s
n,nɡ,nɡ
n,nɡ,nɡ
n,n,n
lɡ,lɡ,l
n,nɡ,n
sk,sk,sk
n,nɡ,n
nɡ,n,nɡ
s,s,sk
x,x,x
s,sk,s
ɾs,ɾs,ɾs
n,nɡ,n
nɡ,nɡ,n
ɡ,ɡ,s
x,x,ç
s,ɡ,s
x,x,x
x,x,x
sk,sk,sk
s,sk,s
n,nɡ,n
ç,x,x
s,sk,sk
s,sk,s
s,s,sk
s,s,sk
s,ɡ,s
sk,sk,s
nx,nx,nx
ç,ç,x
ç,x,x
n,n,nɡ
ɾs,ɾs,ɾs
s,sk,s
nɡ,nɡ,n
ç,x,x
sk,sk,s
s,sk,s
n,n,nɡ
n,n,n
s,s,sk
sk,sk,sk
ç,x,x
s,sk,sk
s,s,ɡ
sk,sk,sk
ç,x,ç
nç,nx,nx
s,sk,sk
ç,x,x
ɡ,ɡ,s
s,ɡ,s
nɡ,nɡ,nɡ
lɡ,lɡ,l
ns,ns,ns
sk,sk,s
n,n,nɡ
s,sk,sk
ns,ns,ns
s,s,sk
x,x,ç
ç,x,x
n,n,n
sk,sk,sk
nç,nx,nx
s,s,sk
n,nɡ,nɡ
ç,x,x
s,ɡ,ɡ
ç,x,x
s,ɡ,s
nx,nx,nx
ç,ç,x
s,s,sk
n,nɡ,nɡ
ɡ,ɡ,s
ɾx,ɾx,ɾç
s,ɡ,s
ns,ns,ns
nx,nx,nx
nx,nx,nx
s,s,ɡ
sk,sk,s
sk,sk,sk
s,sk,sk
nɡ,nɡ,n
s,sk,sk
x,x,x
ɡ,ɡ,s
x,x,x
nç,nx,nx
sk,sk,sk
nɡ,nɡ,n
ɾç,ɾç,ɾx
ɾs,ɾs,ɾs
s,sk,s
s,s,sk
s,sk,s
s,sk,sk
nɡ,nɡ,n
s,s,sk
n,nɡ,nɡ
n,nɡ,nɡ
n,nɡ,nɡ
s,s,sk
s,ɡ,s
nɡ,n,nɡ
ç,x,x
x,x,x
n,n,nɡ
sk,sk,sk
sk,sk,sk
ns,ns,ns
s,ɡ,ɡ
nɡ,nɡ,n
ns,ns,ns
s,ɡ,ɡ
n,nɡ,nɡ
s,s,s
s,sk,sk
s,s,sk
n,nɡ,n
n,n,n
ç,x,ç
lɡ,lɡ,l
x,x,ç
s,sk,sk
s,sk,sk
nɡ,n,nɡ
nɡ,nɡ,n
n,nɡ,nɡ
s,sk,sk
ç,x,x
s,s,ɡ
ɡ,ɡ,ɡ
sk,sk,sk
s,sk,sk
s,ɡ,ɡ
x,x,x
ç,x,x
s,sk,s
s,ɡ,s
sk,sk,s
n,nɡ,nɡ
ç,x,x
s,sk,sk
l,lɡ,l
lɡ,lɡ,lɡ
ɾç,ɾx,ɾx
n,nɡ,n
n,n,n
ç,x,x
s,s,ɡ
n,nɡ,n
nɡ,nɡ,nɡ
ɾç,ɾx,ɾç
x,x,ç
sk,sk,s
sk,sk,s
s,s,sk
nɡ,n,nɡ
nɡ,nɡ,nɡ
s,ɡ,s
x,x,ç
ns,ns,ns
sk,sk,sk
s,ɡ,ɡ
s,sk,sk
s,sk,sk
x,x,ç
ç,ç,x
s,s,ɡ
ɾç,ɾx,ɾx
s,s,sk
s,sk,s
ç,ç,x
ç,x,ç
ɾs,ɾs,ɾs
n,nɡ,n
x,x,ç
l,lɡ,lɡ
sk,sk,s
ç,x,x
nç,nx,nç
n,nɡ,n
ns,ns,ns
nç,nx,nx
s,sk,s
nɡ,nɡ,n
nɡ,nɡ,nɡ
s,sk,sk
sk,sk,s
lɡ,lɡ,lɡ
s,sk,sk
s,sk,sk
ç,x,x
x,x,ç
s,s,sk
ns,ns,ns
ç,x,x
ɾs,ɾs,ɾs
n,nɡ,n
n,nɡ,n
l,lɡ,lɡ
s,s,s
n,nɡ,nɡ
n,nɡ,nɡ
x,x,ç
ç,x,ç
ɡ,ɡ,s
l,l,lɡ
ɾç,ɾç,ɾx
nɡ,nɡ,nɡ
s,s,sk
sk,sk,s
x,x,ç
l,lɡ,lɡ
sk,sk,s
nç,nx,nç
nx,nx,nx
s,ɡ,s
s,s,sk
s,s,sk
nç,nç,nç
ç,x,ç
ɾs,ɾs,ɾs
n,nɡ,nɡ
s,sk,s
l,lɡ,l
x,x,ç
s,s,sk
nɡ,nɡ,n
ɾs,ɾs,ɾs
nç,nx,nx
l,lɡ,lɡ
n,nɡ,n
s,sk,s
s,sk,s
sk,sk,sk
nç,nx,nx
l,lɡ,lɡ
n,n,nɡ
n,n,nɡ
s,s,ɡ
s,sk,sk
n,nɡ,nɡ
l,lɡ,lɡ
ç,x,x
n,nɡ,n
nɡ,nɡ,nɡ
sk,sk,s
ç,ç,x
ns,ns,ns
ç,x,x
ç,x,ç
n,nɡ,nɡ
ç,x,x
ɾç,ɾç,ɾx
nx,nx,nx
nɡ,nɡ,n
n,n,nɡ
s,s,sk
ɾs,ɾs,ɾs
n,nɡ,nɡ
ç,x,x
s,s,sk
sk,sk,s
ç,x,ç
ɾs,ɾs,ɾs
s,sk,sk
sk,sk,sk
nɡ,n,n
n,nɡ,n
s,sk,s
ç,x,x
ɾs,ɾs,ɾs
l,l,lɡ
nx,nx,nx
ç,x,x
ns,ns,ns
sk,sk,s
nɡ,nɡ,nɡ
ɾx,ɾx,ɾx
sk,sk,sk
ç,x,x
ç,x,x
ç,x,x
ç,x,x
ɾs,ɾs,ɾs
s,ɡ,ɡ
s,s,sk
s,ɡ,ɡ
ns,ns,ns
s,s,sk
ns,ns,ns
s,sk,s
ç,ç,ç
n,n,n
sk,sk,sk
ɾç,ɾx,ɾx
s,sk,sk
ç,x,ç
s,sk,sk
ç,x,ç
s,sk,sk
x,x,ç
s,sk,s
ɡ,ɡ,s
s,sk,s
n,nɡ,n
ɾç,ɾç,ɾx
sk,sk,sk
ç,ç,x
ɡ,ɡ,s
ɾs,ɾs,ɾs
ɾs,ɾs,ɾs
s,ɡ,s
s,s,s
ç,ç,ç
ns,ns,ns
ɾs,ɾs,ɾs
s,sk,sk
nɡ,n,nɡ
ç,x,x
n,nɡ,nɡ
sk,sk,sk
nɡ,nɡ,n
n,nɡ,n
nç,nx,nç
ç,x,x
l,lɡ,lɡ
s,sk,s
s,ɡ,ɡ
nɡ,n,nɡ
n,n,nɡ
n,nɡ,nɡ
n,nɡ,n
sk,sk,sk
x,x,x
n,n,nɡ
l,lɡ,lɡ
s,sk,s
nɡ,n,nɡ
ns,ns,ns
ç,x,x
nɡ,n,n
n,nɡ,nɡ
ç,x,ç
ç,x,x
sk,sk,sk
n,nɡ,nɡ
n,n,nɡ
n,nɡ,nɡ
n,nɡ,n
ns,ns,ns
nɡ,n,nɡ
ç,x,x
s,sk,s
n,nɡ,n
s,ɡ,ɡ
x,x,x
s,sk,s
s,sk,sk
ɾx,ɾx,ɾx
l,lɡ,lɡ
nɡ,nɡ,nɡ
s,s,sk
nɡ,nɡ,nɡ
ns,ns,ns
s,sk,s
sk,sk,sk
s,s,s
x,x,x
x,x,x
ɡ,ɡ,s
n,n,nɡ
ç,x,x
ɾs,ɾs,ɾs
l,l,l
ç,ç,x
ɡ,ɡ,s
ç,x,x
nɡ,n,n
s,s,s
x,x,ç
s,ɡ,ɡ
nɡ,n,nɡ
n,nɡ,nɡ
ç,ç,ç
sk,sk,sk
s,ɡ,ɡ
x,x,ç
x,x,ç
