src1_sf,src2_sf,tgt_sf
lx,lx,lç
nɡ,n,nɡ
s,sɡ,sɡ
n,nɡ,n
nɡ,nɡ,n
n,nɡ,nɡ
s,sk,sk
ç,x,ç
s,s,sk
s,sk,sk
s,s,sk
s,s,s
sk,sk,sk
k,k,k
nɡ,nɡ,nɡ
,,jɡ
k,k,k
s,sk,s
n,nɡ,n
s,sk,sk
nɡ,nɡ,nɡ
ç,x,ç
sk,sk,s
ɾç,ɾx,ɾx
nɡ,nɡ,nɡ
ɾç,ɾç,ɾç
nç,nx,nx
sk,sk,s
sk,sk,sk
s,s,s
ç,x,x
jɡ,jɡ,
k,k,k
s,sk,s
n,nɡ,n
nç,nx,nx
n,nɡ,nɡ
ɾç,ɾx,ɾç
sk,sk,s
nɡ,n,n
ɾç,ɾx,ɾx
s,sk,sk
n,n,nɡ
nɡ,n,n
ç,ç,x
n,nɡ,nɡ
jɡ,jɡ,
ç,ç,ç
sɡ,s,s
s,sk,sk
s,sk,s
ɾx,ɾx,ɾx
s,sk,sk
lç,lx,lx
n,nɡ,nɡ
s,s,sk
sk,sk,s
sk,sk,s
jɡ,jɡ,jɡ
s,s,sk
ç,x,ç
l,l,l
s,sk,sk
nɡ,n,n
n,nɡ,n
n,n,n
s,sk,s
nɡ,n,nɡ
n,nɡ,n
s,sk,sk
s,sk,sk
n,nɡ,nɡ
s,sk,s
ç,ç,x
sk,sk,sk
ç,x,x
nɡ,nɡ,nɡ
ɾç,ɾx,ɾx
l,lɡ,lɡ
ç,x,ç
nɡ,nɡ,n
,jɡ,jɡ
s,ɡ,s
s,s,sk
n,n,nɡ
s,sk,sk
nɡ,nɡ,nɡ
nk,nk,nk
s,sk,sk
n,nɡ,nɡ
s,s,sk
nk,nk,nk
,,
s,sk,sk
s,sk,sk
n,nɡ,n
s,sk,sk
n,nɡ,n
nɡ,nɡ,nɡ
s,sk,sk
nɡ,nɡ,nɡ
,jɡ,jɡ
,,jɡ
nɡ,nɡ,n
s,sk,sk
nɡ,nɡ,nɡ
s,sk,sk
ɾx,ɾx,ɾç
s,sk,sk
nɡ,nɡ,nɡ
s,s,s
s,sk,sk
sk,sk,sk
nk,nk,nk
ç,ç,x
ç,x,ç
s,sk,sk
nx,nx,nç
s,s,ɡ
l,lɡ,lɡ
ç,ç,x
s,sk,sk
nɡ,nɡ,n
s,sk,s
n,nɡ,nɡ
s,sk,sk
sk,sk,s
s,s,sk
n,n,nɡ
sk,sk,sk
ç,x,x
nɡ,nɡ,n
s,s,s
s,sk,sk
s,ɡ,ɡ
ç,x,ç
n,n,nɡ
s,sɡ,s
s,ɡ,ɡ
s,sk,sk
sk,sk,sk
n,nɡ,nɡ
ç,x,x
s,s,s
s,ɡ,s
sk,sk,sk
ɾx,ɾx,ɾx
s,sk,sk
,jɡ,
sk,sk,sk
,jɡ,
k,k,k
s,s,s
sk,sk,sk
s,sk,s
n,n,nɡ
nɡ,n,n
s,sk,s
n,n,n
nɡ,n,n
ç,x,x
sk,sk,sk
s,s,s
s,sk,sk
sk,sk,sk
s,sk,sk
nɡ,n,n
s,s,s
n,n,n
s,sk,sk
s,sk,s
s,sk,sk
ɾç,ɾx,ɾx
sk,sk,sk
s,sk,sk
nɡ,nɡ,n
s,sk,s
s,s,s
s,sk,s
nɡ,nɡ,nɡ
nɡ,nɡ,nɡ
s,s,sk
ɾs,ɾs,ɾs
s,ɡ,ɡ
sk,sk,s
ɾç,ɾx,ɾx
s,sk,sk
s,sk,sk
sk,sk,s
nç,nç,nx
sk,sk,s
nɡ,nɡ,nɡ
ç,x,ç
n,nɡ,nɡ
sk,sk,sk
s,sk,s
n,nɡ,n
sk,sk,s
s,sk,s
nɡ,nɡ,nɡ
n,nɡ,n
s,sk,sk
n,nɡ,n
sɡ,s,s
sk,sk,sk
,jɡ,
nɡ,n,nɡ
,jɡ,
s,s,ɡ
nk,nk,nk
nɡ,n,nɡ
nɡ,nɡ,nɡ
jɡ,jɡ,jɡ
s,sk,sk
k,k,k
s,sk,s
s,sk,s
l,lɡ,lɡ
ɡ,ɡ,s
s,s,s
sk,sk,s
,jɡ,jɡ
n,n,nɡ
s,s,sk
s,s,sk
n,n,n
s,sk,sk
ç,x,ç
s,sk,sk
s,sk,s
nɡ,nɡ,nɡ
s,s,sk
sk,sk,s
s,sk,sk
x,x,ç
sk,sk,s
ç,x,x
sk,sk,sk
s,s,sk
n,n,n
ɾx,ɾx,ɾx
s,sk,sk
nɡ,nɡ,n
s,sk,sk
n,nɡ,n
sk,sk,s
s,sk,sk
ç,x,x
sk,sk,s
ɾç,ɾx,ɾx
s,sk,sk
n,nɡ,nɡ
nk,nk,nk
sk,sk,s
sk,sk,s
ɾs,ɾs,ɾs
s,sk,s
n,n,n
s,sk,s
nɡ,nɡ,nɡ
s,s,s
nɡ,n,nɡ
x,x,x
s,sk,sk
n,n,nɡ
sk,sk,sk
sk,sk,s
ɡ,ɡ,s
,jɡ,
s,sk,sk
lx,lx,lx
sk,sk,s
sk,sk,s
nɡ,n,nɡ
sk,sk,sk
s,sk,sk
n,nɡ,n
s,sk,sk
nç,nx,nç
s,sk,sk
ɾç,ɾx,ɾx
x,x,x
n,nɡ,nɡ
ç,ç,x
n,nɡ,nɡ
nɡ,nɡ,n
sk,sk,sk
s,ɡ,ɡ
x,x,ç
s,sk,sk
sk,sk,s
nɡ,n,n
nɡ,nɡ,n
n,nɡ,nɡ
nç,nx,nx
x,x,x
ç,x,ç
nɡ,n,nɡ
s,s,sɡ
nç,nx,nç
,jɡ,
s,sk,s
s,sk,sk
ɡ,ɡ,s
sk,sk,sk
ɾç,ɾx,ɾx
ç,x,ç
s,sk,sk
s,s,sk
s,sk,sk
s,sk,sk
n,nɡ,n
jɡ,jɡ,
ç,x,ç
,,jɡ
k,k,k
,jɡ,jɡ
,jɡ,jɡ
s,sk,sk
x,x,ç
sk,sk,s
ç,ç,x
,jɡ,jɡ
nç,nx,nx
s,sk,s
s,s,s
n,nɡ,n
lx,lx,lç
ɾç,ɾç,ɾx
n,n,n
s,sk,s
n,nɡ,n
ɾx,ɾx,ɾç
x,x,ç
jɡ,jɡ,jɡ
nɡ,n,n
ç,x,ç
nç,nç,nx
sk,sk,sk
n,nɡ,n
nɡ,nɡ,nɡ
sk,sk,s
sk,sk,s
n,nɡ,nɡ
sk,sk,s
n,n,nɡ
s,s,s
ç,ç,x
s,sk,sk
sk,sk,s
ç,x,x
s,sk,s
n,nɡ,nɡ
x,x,ç
ɾx,ɾx,ɾç
ç,x,ç
s,sk,sk
sk,sk,s
n,nɡ,nɡ
ɾç,ɾx,ɾç
ɡ,ɡ,s
sk,sk,s
s,s,s
nɡ,nɡ,nɡ
k,k,k
x,x,ç
,jɡ,
n,nɡ,nɡ
ɾx,ɾx,ɾç
s,s,s
s,s,sk
nɡ,n,nɡ
s,sk,sk
sk,sk,s
x,x,ç
s,s,sk
s,sk,sk
lç,lx,lx
sk,sk,s
nɡ,nɡ,n
ɡ,ɡ,s
s,sk,sk
ɾç,ɾx,ɾx
s,sk,s
s,s,s
sk,sk,s
ɡ,ɡ,s
nɡ,nɡ,nɡ
n,n,nɡ
n,nɡ,n
x,x,x
s,sk,sk
sk,sk,sk
s,sk,sk
s,sk,sk
s,sk,sk
nɡ,n,nɡ
sk,sk,sk
ç,x,x
jɡ,jɡ,jɡ
sk,sk,sk
s,sk,sk
sk,sk,s
,,jɡ
s,s,sk
s,sk,sk
n,nɡ,nɡ
sk,sk,sk
ɾç,ɾx,ɾç
s,sk,sk
s,s,sk
sk,sk,s
nɡ,n,nɡ
s,sk,sk
sk,sk,sk
s,sk,sk
sk,sk,sk
sk,sk,s
sk,sk,sk
s,sk,sk
nɡ,nɡ,n
s,sk,s
s,sk,sk
s,s,sk
,jɡ,
x,x,x
sk,sk,sk
nç,nx,nx
s,s,s
s,s,s
s,sk,sk
nɡ,nɡ,n
s,sk,sk
nç,nç,nx
s,ɡ,s
s,sk,sk
sk,sk,s
s,s,sk
s,sk,sk
ɾç,ɾx,ɾx
n,nɡ,n
n,nɡ,nɡ
n,nɡ,n
sk,sk,s
nɡ,n,nɡ
,jɡ,jɡ
s,sk,sk
s,sk,sk
s,s,s
s,sk,s
nɡ,n,nɡ
nɡ,nɡ,nɡ
nɡ,n,nɡ
s,s,sk
nɡ,nɡ,n
n,n,nɡ
nç,nx,nx
x,x,ç
,jɡ,
s,s,s
s,sk,s
n,n,n
nɡ,nɡ,nɡ
n,n,nɡ
s,sk,s
s,ɡ,ɡ
ɾç,ɾç,ɾx
sk,sk,sk
s,s,sk
s,ɡ,s
sk,sk,sk
,jɡ,jɡ
nɡ,nɡ,n
s,sk,sk
n,n,nɡ
s,sk,sk
nɡ,nɡ,nɡ
sk,sk,s
s,sk,s
sk,sk,s
nk,nk,nk
s,sk,sk
sk,sk,s
nɡ,nɡ,n
nɡ,nɡ,n
nk,nk,nk
s,s,s
s,sk,s
s,sk,s
s,sk,sk
sk,sk,s
jɡ,jɡ,jɡ
k,k,k
ɡ,ɡ,s
sk,sk,sk
s,s,sk
nɡ,n,nɡ
,,jɡ
s,s,s
sk,sk,s
ç,x,x
nk,nk,nk
ç,x,ç
ɡ,ɡ,ɡ
sk,sk,s
ɡ,ɡ,s
x,x,ç
sk,sk,sk
nɡ,nɡ,nɡ
n,nɡ,nɡ
s,sk,s
s,sk,s
sk,sk,sk
l,lɡ,l
s,sk,s
n,n,nɡ
nx,nx,nx
s,s,s
ɾs,ɾs,ɾs
s,sk,sk
s,sk,s
nɡ,nɡ,nɡ
n,n,nɡ
s,s,sk
sk,sk,s
sk,sk,sk
s,sk,s
sk,sk,s
nɡ,n,nɡ
n,nɡ,n
nɡ,nɡ,n
x,x,x
n,n,n
ç,x,ç
s,sk,s
ç,x,ç
s,sk,s
n,n,nɡ
s,s,s
,jɡ,jɡ
n,nɡ,n
,jɡ,
s,sk,s
n,nɡ,n
n,nɡ,n
s,sk,s
jɡ,jɡ,
n,nɡ,nɡ
n,nɡ,n
n,nɡ,nɡ
sk,sk,sk
s,s,sk
s,sk,sk
n,nɡ,n
ç,x,ç
s,sk,sk
nɡ,nɡ,n
s,s,s
ç,x,x
ç,x,x
lç,lx,lx
nɡ,nɡ,nɡ
s,sk,sk
s,s,ɡ
nɡ,n,n
,jɡ,
s,sk,s
sk,sk,sk
s,sk,s
n,nɡ,nɡ
sk,sk,sk
nɡ,nɡ,n
s,sk,s
ɾx,ɾx,ɾx
sk,sk,sk
ɾx,ɾx,ɾç
s,sk,s
n,n,nɡ
sk,sk,s
n,n,nɡ
ç,x,ç
nç,nx,nx
s,s,sk
s,s,s
s,sk,s
s,sk,sk
s,sk,sk
s,sk,s
s,sk,s
ç,x,x
s,ɡ,s
n,nɡ,nɡ
s,sk,sk
x,x,x
nɡ,nɡ,n
s,sk,sk
x,x,x
s,s,s
sk,sk,s
n,nɡ,n
s,ɡ,s
sk,sk,sk
s,s,ɡ
nɡ,nɡ,n
sk,sk,s
l,l,l
nɡ,n,nɡ
ç,x,x
sk,sk,sk
sk,sk,s
jɡ,jɡ,
s,sk,s
nç,nx,nx
,jɡ,jɡ
nɡ,nɡ,n
nç,nç,nç
s,sk,sk
s,s,s
ɾs,ɾs,ɾs
ç,ç,x
nç,nx,nx
s,sk,s
,,jɡ
s,s,sk
ç,x,ç
s,sk,s
nɡ,nɡ,nɡ
,jɡ,jɡ
s,sk,s
ɾç,ɾx,ɾç
n,nɡ,n
s,s,sk
nɡ,nɡ,nɡ
n,nɡ,nɡ
jɡ,jɡ,jɡ
s,ɡ,s
n,nɡ,n
s,sk,s
s,ɡ,s
ɾç,ɾx,ɾx
sk,sk,s
ɡ,ɡ,s
ç,ç,x
ɾç,ɾx,ɾx
n,nɡ,nɡ
sk,sk,s
sk,sk,s
ç,ç,x
lɡ,lɡ,l
nɡ,n,nɡ
nk,nk,nk
s,sk,sk
n,n,nɡ
l,lɡ,lɡ
sk,sk,sk
sk,sk,sk
sk,sk,sk
n,nɡ,nɡ
sk,sk,s
s,ɡ,ɡ
s,sk,sk
s,sk,sk
nɡ,n,nɡ
s,sk,s
ɡ,ɡ,s
ɾx,ɾx,ɾx
sk,sk,sk
s,sk,s
sk,sk,sk
ɾç,ɾx,ɾç
s,s,sk
n,nɡ,n
n,nɡ,nɡ
s,sk,s
ɡ,ɡ,ɡ
sk,sk,sk
s,sk,sk
s,s,sk
x,x,x
n,nɡ,n
s,sk,sk
ç,ç,x
s,sk,s
nɡ,nɡ,nɡ
s,ɡ,ɡ
n,n,nɡ
x,x,x
ɾx,ɾx,ɾx
s,s,sk
s,sk,s
s,sk,sk
s,sk,sk
nɡ,nɡ,nɡ
sk,sk,sk
sk,sk,sk
sk,sk,s
s,s,sk
x,x,ç
sk,sk,sk
ç,x,x
s,sk,sk
s,sk,s
ɾç,ɾx,ɾç
ɡ,ɡ,ɡ
ɾx,ɾx,ɾx
n,nɡ,n
nɡ,nɡ,n
s,s,sk
n,n,nɡ
,jɡ,
sk,sk,s
sk,sk,sk
n,n,nɡ
n,nɡ,nɡ
sk,sk,s
lç,lx,lx
s,sk,s
jɡ,jɡ,jɡ
nɡ,n,nɡ
sk,sk,sk
n,nɡ,nɡ
nɡ,nɡ,nɡ
n,nɡ,nɡ
x,x,x
s,sk,sk
nɡ,nɡ,nɡ
s,ɡ,s
s,ɡ,ɡ
x,x,ç
s,sk,s
n,n,nɡ
n,nɡ,n
sk,sk,s
s,ɡ,ɡ
n,n,nɡ
ɡ,ɡ,s
ç,ç,x
s,s,s
nk,nk,nk
sk,sk,s
s,s,s
,jɡ,jɡ
s,ɡ,s
nɡ,nɡ,n
sk,sk,s
ç,x,x
s,sk,sk
nɡ,nɡ,nɡ
nɡ,nɡ,n
s,sk,s
nɡ,n,nɡ
ç,x,ç
ç,x,x
s,s,sk
,jɡ,jɡ
s,sk,sk
k,k,k
sk,sk,s
sk,sk,s
nɡ,nɡ,nɡ
s,sk,sk
n,nɡ,n
sɡ,s,sɡ
jɡ,jɡ,jɡ
nɡ,nɡ,nɡ
s,sk,s
nɡ,nɡ,nɡ
s,sɡ,sɡ
s,sk,sk
sk,sk,sk
sk,sk,sk
n,n,n
n,nɡ,nɡ
s,sk,sk
s,sk,s
ɾx,ɾx,ɾx
n,nɡ,nɡ
n,nɡ,n
sk,sk,sk
sk,sk,sk
n,n,nɡ
s,s,sk
nɡ,nɡ,nɡ
x,x,x
n,nɡ,nɡ
sk,sk,sk
sk,sk,sk
sk,sk,sk
,jɡ,
s,sk,s
s,sk,s
s,sk,s
s,sk,s
jɡ,jɡ,
s,sk,sk
s,sk,s
s,sk,s
ç,x,x
ɾs,ɾs,ɾs
nɡ,nɡ,nɡ
sk,sk,s
k,k,k
s,ɡ,ɡ
s,ɡ,ɡ
n,nɡ,nɡ
n,n,nɡ
s,sk,sk
x,x,ç
sk,sk,sk
s,sk,s
,,jɡ
ç,x,x
s,sk,s
s,sk,sk
nɡ,n,n
s,sk,s
x,x,ç
nç,nx,nx
sk,sk,s
n,n,n
sk,sk,sk
s,sk,s
ç,x,x
,jɡ,jɡ
k,k,k
sk,sk,sk
n,n,nɡ
n,n,n
ç,x,x
sk,sk,sk
jɡ,jɡ,jɡ
ɡ,ɡ,s
s,sk,s
n,nɡ,nɡ
ç,x,ç
nɡ,nɡ,n
s,sk,s
s,s,sk
n,nɡ,n
ɾç,ɾç,ɾç
n,nɡ,nɡ
sk,sk,s
,,jɡ
ɾç,ɾx,ɾç
s,sk,s
n,n,nɡ
s,sk,s
sk,sk,sk
x,x,x
s,sk,sk
,jɡ,jɡ
s,sk,sk
s,sk,sk
s,s,s
sk,sk,sk
s,sk,sk
s,sk,s
n,nɡ,nɡ
ç,x,ç
ç,ç,x
sk,sk,sk
sk,sk,s
nɡ,n,nɡ
nɡ,nɡ,n
s,sk,sk
x,x,x
n,nɡ,n
sk,sk,sk
n,nɡ,nɡ
k,k,k
s,sk,sk
n,nɡ,n
s,sk,sk
nç,nx,nx
s,sk,s
x,x,ç
s,sk,s
s,s,s
s,s,sk
ç,x,ç
ɾs,ɾs,ɾs
s,s,s
s,sk,sk
jɡ,jɡ,
s,sk,s
x,x,ç
s,sk,sk
s,sk,sk
s,s,sk
s,sk,sk
s,sk,s
ɾç,ɾx,ɾx
x,x,ç
s,sk,s
ç,x,ç
s,sk,sk
nç,nx,nx
n,n,nɡ
s,sk,sk
s,sk,s
nɡ,nɡ,n
sk,sk,sk
s,sk,s
s,s,sk
nk,nk,nk
ç,x,x
nɡ,nɡ,n
sk,sk,sk
sk,sk,s
s,s,s
s,s,s
s,sk,sk
nç,nx,nx
s,s,ɡ
s,ɡ,ɡ
sk,sk,sk
nɡ,nɡ,n
ɡ,ɡ,s
sk,sk,s
n,nɡ,nɡ
s,sk,s
s,sk,s
nɡ,nɡ,n
s,sk,sk
s,sk,s
ɾx,ɾx,ɾç
s,ɡ,ɡ
nɡ,nɡ,nɡ
ç,ç,x
n,n,n
ɾç,ɾx,ɾç
nɡ,nɡ,nɡ
s,sk,sk
n,n,n
s,sk,sk
sk,sk,sk
lɡ,lɡ,l
s,sk,s
ç,x,x
n,n,nɡ
s,sk,sk
s,sk,sk
sk,sk,sk
sk,sk,sk
s,sk,s
sk,sk,s
ɡ,ɡ,ɡ
n,nɡ,n
s,sk,s
s,sk,sk
nɡ,n,nɡ
s,s,sk
s,sk,s
n,nɡ,nɡ
s,s,sk
n,nɡ,n
