src1_sf,src2_sf,tgt_sf
n,nɡ,nɡ
ç,x,ç
s,sk,sk
sk,sk,sk
s,sk,sk
s,s,sk
s,sk,sk
ç,x,x
x,x,x
x,x,x
ç,x,x
n,nɡ,nɡ
s,sk,sk
s,sk,sk
sk,sk,s
,,jɡ
nk,nk,nk
x,x,ç
s,sk,sk
sk,sk,s
s,s,s
ɾs,ɾs,ɾs
ç,x,ç
jɡ,jɡ,jɡ
nɡ,nɡ,nɡ
nɡ,nɡ,n
ɾs,ɾs,ɾs
ɾs,ɾs,ɾs
x,x,x
ɾs,ɾs,ɾs
sk,sk,s
nɡ,n,nɡ
s,sk,sk
s,sk,s
,jɡ,jɡ
nɡ,nɡ,n
nk,nk,nk
s,sk,sk
ɡ,ɡ,ɡ
sk,sk,sk
sk,sk,s
ɾs,ɾs,ɾs
s,sk,sk
,jɡ,jɡ
nɡ,n,nɡ
x,x,ç
sk,sk,s
nɡ,nɡ,nɡ
ç,x,ç
ɾs,ɾs,ɾs
nɡ,n,n
s,s,s
nk,nk,nk
nɡ,nɡ,n
ç,x,ç
s,sk,sk
s,sk,s
lç,lç,lx
nɡ,nɡ,n
s,s,s
ç,x,x
jɡ,jɡ,jɡ
ç,x,x
s,sk,sk
lx,lx,lx
jɡ,jɡ,jɡ
ɡ,ɡ,s
ç,x,x
,jɡ,jɡ
lç,lç,lx
,,jɡ
sk,sk,sk
s,s,s
s,s,sk
s,ɡ,s
nk,nk,nk
ç,x,ç
jɡ,jɡ,jɡ
,jɡ,jɡ
nɡ,nɡ,n
sk,sk,s
sk,sk,s
x,x,ç
sk,sk,s
ç,x,ç
x,x,ç
,jɡ,jɡ
s,sk,sk
s,s,sk
s,sk,s
ç,x,ç
ç,x,x
lx,lx,lx
s,sk,sk
ç,x,ç
ç,x,x
x,x,ç
s,sk,s
sk,sk,sk
s,sk,sk
,,jɡ
s,sk,sk
s,sk,sk
s,sk,sk
,jɡ,jɡ
s,sk,s
nk,nk,nk
ç,x,x
s,sk,s
s,s,sk
n,n,nɡ
s,sk,sk
n,n,nɡ
s,sk,sk
,jɡ,jɡ
x,x,x
s,sk,s
sk,sk,sk
s,sk,sk
sk,sk,sk
ɡ,ɡ,ɡ
ç,x,x
lç,lç,lx
n,nɡ,nɡ
nk,nk,nk
nk,nk,nk
ç,x,ç
,jɡ,jɡ
s,sk,s
s,sk,s
,jɡ,jɡ
,,
sk,sk,sk
s,s,s
s,sk,sk
jɡ,jɡ,
ɾs,ɾs,ɾs
ç,x,ç
sk,sk,s
sk,sk,s
ç,ç,ç
ç,ç,ç
nk,nk,nk
s,sk,s
ç,ç,ç
n,nɡ,nɡ
s,sk,sk
sk,sk,sk
sk,sk,s
ç,x,x
s,s,sk
n,nɡ,nɡ
jɡ,jɡ,jɡ
s,sk,sk
lx,lx,lç
nk,nk,nk
s,sk,sk
lx,lx,lç
s,s,sk
ɾs,ɾs,ɾs
x,x,ç
s,s,ɡ
ç,x,x
,,jɡ
s,sk,s
s,sk,sk
nɡ,nɡ,n
nɡ,nɡ,nɡ
s,sk,sk
s,sk,s
n,n,n
ç,x,x
nk,nk,nk
x,x,ç
s,sk,s
s,sk,s
s,sk,sk
,jɡ,
s,ɡ,ɡ
,jɡ,jɡ
sk,sk,sk
ɾs,ɾs,ɾs
ç,x,ç
jɡ,jɡ,
s,sk,s
nɡ,nɡ,n
ɡ,ɡ,s
ç,ç,x
jɡ,jɡ,
sk,sk,s
ç,ç,x
s,sk,s
s,sk,sk
,jɡ,
s,ɡ,ɡ
s,sk,sk
sk,sk,s
s,sk,s
jɡ,jɡ,jɡ
x,x,x
s,s,s
sk,sk,s
nɡ,n,n
ç,ç,x
sk,sk,sk
ɡ,ɡ,s
ɾs,ɾs,ɾs
s,sk,s
s,s,s
s,s,sk
s,sk,s
s,sk,s
lç,lx,lx
s,sk,sk
s,sk,s
,jɡ,
nk,nk,nk
s,sk,s
s,sk,s
ɡ,ɡ,s
ç,x,x
,,
nɡ,nɡ,n
sk,sk,sk
s,sk,s
s,sk,sk
s,sk,sk
s,s,sk
lx,lx,lx
s,sk,sk
s,sk,sk
s,s,sk
nɡ,n,nɡ
,jɡ,jɡ
s,sk,sk
s,sk,sk
s,sk,sk
ɾs,ɾs,ɾs
nɡ,nɡ,nɡ
n,n,n
s,ɡ,s
lx,lx,lx
s,s,sk
nɡ,n,nɡ
,jɡ,
s,sk,s
ɡ,ɡ,ɡ
ç,x,x
ɾs,ɾs,ɾs
ɾs,ɾs,ɾs
s,sk,sk
s,sk,s
nɡ,n,n
sk,sk,sk
sk,sk,s
lx,lx,lç
jɡ,jɡ,
ɾs,ɾs,ɾs
jɡ,jɡ,
nk,nk,nk
s,s,sk
s,sk,s
x,x,x
n,nɡ,n
sk,sk,sk
n,n,n
nɡ,nɡ,nɡ
s,s,s
sk,sk,sk
nk,nk,nk
nɡ,n,nɡ
s,ɡ,ɡ
s,s,sk
sk,sk,sk
s,s,sk
s,sk,sk
sk,sk,sk
s,sk,s
s,sk,s
x,x,x
s,sk,s
ç,x,x
n,nɡ,n
s,sk,sk
s,sk,sk
s,ɡ,ɡ
nɡ,nɡ,nɡ
s,sk,sk
nɡ,nɡ,nɡ
