src1_sf,src2_sf,tgt_sf
s,sk,sk
sk,sk,s
sk,sk,sk
s,sk,s
s,sk,sk
s,sk,sk
sk,sk,s
sk,sk,s
n,n,nɡ
s,s,sk
s,sk,sk
sk,sk,s
sk,sk,sk
nx,nx,nç
sk,sk,sk
ns,ns,ns
s,ɡ,ɡ
nk,nk,nk
sk,sk,s
ɾç,ɾx,ɾx
ɾx,ɾx,ɾx
jɡ,jɡ,
nɡ,nɡ,n
ç,x,x
sk,sk,s
sk,sk,s
s,sk,sk
,jɡ,
sk,sk,s
s,sk,sk
s,sk,sk
s,s,s
s,sk,s
n,nɡ,nɡ
s,sk,s
nɡ,nɡ,nɡ
s,sk,s
ç,x,x
nç,nx,nx
s,sk,s
ɾs,ɾs,ɾs
ç,x,ç
s,s,sk
s,s,sk
n,nɡ,n
s,sk,s
s,s,s
s,s,sk
n,n,nɡ
s,sk,sk
n,n,nɡ
s,sk,sk
nɡ,nɡ,n
lx,lx,lç
s,sk,sk
,,jɡ
s,s,s
nç,nx,nç
s,s,sk
nɡ,n,nɡ
s,sk,sk
sɡ,sɡ,s
s,s,s
s,sk,s
s,sk,s
sk,sk,sk
n,n,nɡ
s,s,sk
n,nɡ,nɡ
nɡ,n,nɡ
sk,sk,s
s,sk,s
n,nɡ,n
s,sk,sk
lç,lx,lç
s,sk,sk
s,s,sk
x,x,ç
ç,ç,x
nç,nç,nx
b,p,b
s,s,s
x,x,x
s,sk,sk
lç,lx,lç
sk,sk,s
sk,sk,s
nk,nk,nk
s,s,s
sk,sk,s
sk,sk,s
s,s,sk
s,sk,sk
s,s,sk
n,nɡ,nɡ
n,nɡ,n
sk,sk,s
x,x,x
sk,sk,sk
nɡ,n,nɡ
s,sk,s
ç,x,x
s,s,ɡ
s,sk,s
s,ɡ,ɡ
s,sk,sk
sk,sk,sk
n,nɡ,n
,jɡ,jɡ
n,nɡ,nɡ
s,sk,s
sk,sk,sk
s,ɡ,ɡ
ç,x,x
s,sk,sk
nɡ,n,nɡ
sk,sk,sk
s,ɡ,s
ɾx,ɾx,ɾç
x,x,x
ɾç,ɾç,ɾç
ç,x,ç
nɡ,nɡ,nɡ
lɡ,lɡ,lɡ
x,x,x
s,sk,sk
s,sk,sk
sk,sk,s
ns,ns,ns
,jɡ,
nk,nk,nk
ɾs,ɾs,ɾs
nx,nx,nç
k,k,k
s,sk,sk
s,sk,s
ns,ns,ns
s,s,sk
ɾs,ɾs,ɾs
s,sk,sk
s,sk,s
s,sk,s
ç,x,ç
s,sk,s
s,sk,sk
s,sk,sk
sk,sk,sk
sk,sk,s
sk,sk,s
s,sk,s
s,sk,s
s,sk,s
s,s,sk
sk,sk,s
s,sk,sk
ç,x,ç
s,sk,sk
s,sk,s
s,sk,sk
ns,ns,ns
nɡ,n,n
s,sk,sk
s,sk,s
s,sk,sk
nɡ,nɡ,nɡ
s,sk,s
s,sk,s
s,sk,sk
ns,ns,ns
nç,nç,nx
ɾç,ɾx,ɾx
nç,nx,nç
s,sk,s
nɡ,nɡ,nɡ
ɾs,ɾs,ɾs
sk,sk,sk
n,nɡ,nɡ
s,sk,sk
sk,sk,s
s,sk,sk
ɾç,ɾx,ɾx
s,sk,sk
n,nɡ,nɡ
l,lɡ,lɡ
sk,sk,s
s,sk,sk
ç,x,x
nç,nx,nx
sk,sk,sk
s,sk,sk
n,nɡ,nɡ
s,sk,s
lx,lx,lx
s,sk,sk
ɾs,ɾs,ɾs
sk,sk,s
n,nɡ,nɡ
ɾs,ɾs,ɾs
s,sk,s
lç,lx,lx
s,sk,sk
,,jɡ
s,sɡ,sɡ
s,sk,sk
sk,sk,sk
,jɡ,jɡ
s,sk,s
s,sk,s
n,nɡ,nɡ
sk,sk,sk
ls,ls,ls
s,s,s
n,n,nɡ
s,s,sk
nɡ,n,nɡ
nɡ,n,n
s,sk,s
s,s,s
s,sk,sk
s,s,sk
s,sk,sk
ɾx,ɾx,ɾç
ɾs,ɾs,ɾs
s,sk,sk
s,sk,s
s,sk,s
n,nɡ,n
nɡ,n,nɡ
s,sk,s
s,sk,sk
sk,sk,s
nɡ,n,n
s,sk,sk
n,nɡ,nɡ
ç,x,ç
n,nɡ,n
sk,sk,s
nç,nx,nç
nk,nk,nk
s,sk,s
s,sk,sk
s,sk,sk
lç,lç,lx
nɡ,nɡ,nɡ
s,sk,sk
lç,lç,lx
s,s,s
s,sk,sk
nɡ,n,nɡ
s,sk,sk
sk,sk,sk
ç,x,x
ns,ns,ns
n,n,n
s,s,s
s,sk,sk
nɡ,n,nɡ
sk,sk,s
s,ɡ,ɡ
s,sk,s
s,sk,sk
sk,sk,s
ɾx,ɾx,ɾç
n,nɡ,n
sk,sk,s
s,sk,s
sk,sk,s
ɾx,ɾx,ɾx
ɾç,ɾç,ɾx
ls,ls,ls
s,sk,sk
s,sk,s
ɾç,ɾx,ɾç
s,ɡ,s
nk,nk,nk
s,s,sk
ç,x,x
s,s,s
s,sk,s
s,sk,s
l,lɡ,lɡ
nɡ,n,nɡ
nɡ,n,n
ç,ç,ç
lç,lç,lx
s,sk,s
s,sk,sk
nɡ,nɡ,nɡ
s,sk,sk
s,sk,sk
ɾs,ɾs,ɾs
nɡ,nɡ,n
ɾç,ɾx,ɾx
n,nɡ,nɡ
s,sk,s
s,sk,sk
sk,sk,sk
s,ɡ,s
s,s,sk
n,nɡ,nɡ
n,nɡ,n
n,nɡ,nɡ
n,nɡ,n
s,sk,sk
s,sk,sk
s,sk,s
sk,sk,s
n,nɡ,n
sk,sk,s
s,sk,s
x,x,x
nɡ,nɡ,nɡ
sk,sk,sk
sk,sk,sk
nɡ,nɡ,n
x,x,ç
s,sk,sk
s,ɡ,ɡ
sk,sk,sk
s,sk,s
ɾç,ɾç,ɾx
,jɡ,jɡ
s,sk,sk
sk,sk,sk
x,x,ç
s,sk,s
,jɡ,
nɡ,nɡ,n
n,nɡ,n
x,x,ç
sk,sk,sk
nç,nx,nç
s,sk,sk
ç,x,x
s,sk,sk
nɡ,n,nɡ
s,sk,sk
nɡ,nɡ,nɡ
x,x,ç
ɾx,ɾx,ɾx
s,s,sk
sk,sk,s
s,sk,sk
s,sk,s
nɡ,n,nɡ
s,sk,s
s,ɡ,s
sk,sk,s
,jɡ,jɡ
sk,sk,s
ç,x,x
s,ɡ,s
nɡ,n,n
n,nɡ,nɡ
sk,sk,sk
b,p,p
s,s,ɡ
s,sk,sk
ɾç,ɾx,ɾx
sk,sk,sk
x,x,ç
n,nɡ,nɡ
