src1_sf,src2_sf,tgt_sf
s,sk,s
s,ɡ,ɡ
nɡ,n,nɡ
sk,sk,s
s,sk,s
ns,ns,ns
ɡ,ɡ,ɡ
s,sk,sk
ɾs,ɾs,ɾs
ç,x,ç
s,ɡ,s
ɾç,ɾç,ɾx
s,ɡ,s
s,ɡ,s
ç,x,x
l,lɡ,l
sk,sk,sk
nɡ,nɡ,nɡ
s,sk,sk
x,x,ç
s,sk,s
ɾs,ɾs,ɾs
s,s,s
x,x,ç
s,sk,sk
n,nɡ,n
nç,nx,nx
s,sk,sk
sk,sk,sk
n,nɡ,n
s,sk,sk
n,nɡ,n
ns,ns,ns
ns,ns,ns
sk,sk,s
nɡ,nɡ,nɡ
s,ɡ,ɡ
nɡ,nɡ,nɡ
n,nɡ,n
ç,x,x
s,sk,s
s,sk,sk
n,nɡ,nɡ
s,sk,sk
s,sk,s
x,x,ç
s,ɡ,ɡ
nɡ,n,n
x,x,x
s,sk,sk
ɾs,ɾs,ɾs
nɡ,n,n
ç,x,x
s,ɡ,s
s,sk,sk
nɡ,nɡ,n
nx,nx,nç
x,x,x
s,s,s
x,x,ç
ɾs,ɾs,ɾs
s,sk,sk
nɡ,nɡ,nɡ
s,sk,sk
s,ɡ,s
ɾs,ɾs,ɾs
sk,sk,sk
sk,sk,sk
s,sk,s
nɡ,n,n
x,x,ç
nɡ,nɡ,nɡ
s,sk,s
ç,x,x
ç,x,x
s,sk,s
ɾç,ɾç,ɾç
n,nɡ,nɡ
s,ɡ,s
s,ɡ,s
s,ɡ,ɡ
ç,x,ç
s,sk,sk
s,sk,sk
s,sk,sk
s,sk,sk
ns,ns,ns
ç,x,x
ɾç,ɾx,ɾx
n,nɡ,n
sk,sk,s
ç,x,x
ç,ç,x
ç,x,x
s,ɡ,s
ç,ç,x
s,s,sk
nɡ,nɡ,n
nɡ,n,n
n,nɡ,nɡ
n,n,n
sk,sk,s
l,lɡ,lɡ
lɡ,lɡ,l
s,sk,sk
ɾs,ɾs,ɾs
x,x,ç
nɡ,nɡ,n
ɾç,ɾx,ɾç
ns,ns,ns
s,sk,sk
s,sk,s
sk,sk,sk
s,sk,s
n,nɡ,nɡ
ɾç,ɾx,ɾx
lɡ,lɡ,lɡ
ɡ,ɡ,s
s,s,s
s,sk,s
l,lɡ,l
ɾç,ɾx,ɾç
nɡ,nɡ,n
l,lɡ,lɡ
nɡ,nɡ,n
n,n,n
nɡ,nɡ,n
x,x,x
ɾs,ɾs,ɾs
ç,x,x
s,sk,s
s,sk,s
ç,x,x
x,x,ç
ns,ns,ns
s,sk,s
n,nɡ,nɡ
s,sk,s
ɾx,ɾx,ɾx
ç,x,x
s,s,s
sk,sk,sk
nx,nx,nç
n,n,n
s,sk,sk
sk,sk,s
s,sk,sk
sk,sk,sk
nɡ,n,nɡ
x,x,ç
l,l,lɡ
nx,nx,nç
nç,nx,nç
ç,ç,x
sk,sk,s
s,s,ɡ
ɾç,ɾx,ɾx
l,lɡ,lɡ
sk,sk,s
s,s,sk
ç,x,x
ç,ç,x
n,n,nɡ
s,ɡ,ɡ
s,sk,s
ç,x,x
n,nɡ,n
nx,nx,nç
l,lɡ,lɡ
ɾs,ɾs,ɾs
nɡ,nɡ,n
ɡ,ɡ,s
nç,nx,nç
n,n,n
sk,sk,s
lɡ,lɡ,lɡ
ç,x,x
ç,x,x
s,sk,sk
s,ɡ,ɡ
ç,x,x
ɡ,ɡ,ɡ
ɾs,ɾs,ɾs
s,ɡ,ɡ
s,sk,sk
ç,x,x
sk,sk,s
nɡ,nɡ,nɡ
s,s,sk
ns,ns,ns
ɾs,ɾs,ɾs
s,s,sk
n,nɡ,nɡ
ɾs,ɾs,ɾs
s,sk,sk
n,nɡ,nɡ
s,s,s
ɾç,ɾç,ɾx
ɾs,ɾs,ɾs
ç,ç,x
s,sk,s
x,x,ç
ç,x,ç
ç,x,x
ɾs,ɾs,ɾs
ç,x,ç
s,sk,sk
sk,sk,s
s,sk,sk
s,sk,sk
s,sk,sk
n,nɡ,nɡ
ç,ç,x
ns,ns,ns
sk,sk,sk
s,sk,sk
n,nɡ,n
s,sk,sk
s,s,s
nɡ,n,n
sk,sk,s
sk,sk,sk
l,lɡ,l
sk,sk,sk
x,x,ç
sk,sk,sk
sk,sk,s
s,sk,s
ç,x,x
ç,x,x
s,sk,s
s,ɡ,ɡ
s,sk,s
s,sk,s
nɡ,nɡ,nɡ
n,nɡ,nɡ
nɡ,nɡ,n
nɡ,nɡ,n
l,lɡ,l
ɾx,ɾx,ɾx
x,x,ç
ç,ç,x
sk,sk,s
s,sk,s
s,sk,sk
ɾs,ɾs,ɾs
ɾx,ɾx,ɾç
sk,sk,sk
ç,ç,x
ns,ns,ns
sk,sk,s
ɡ,ɡ,ɡ
s,sk,s
ç,x,ç
ɾs,ɾs,ɾs
sk,sk,s
s,s,s
ç,ç,x
nç,nx,nç
x,x,ç
ɾs,ɾs,ɾs
ç,x,x
s,sk,sk
ç,x,ç
s,sk,sk
ç,x,x
s,s,s
s,sk,sk
x,x,ç
n,n,n
x,x,ç
nɡ,n,nɡ
ç,ç,x
x,x,x
sk,sk,sk
s,sk,s
x,x,x
s,sk,sk
s,sk,s
n,nɡ,n
